experiment,task,seed_group,baseline_variant,guided_variant,rollout_steps,comparison_type,claim_level,baseline_reward_mean,guided_reward_mean,reward_delta_guided_minus_baseline,baseline_target_body_error_mean,guided_target_body_error_mean,target_body_error_delta_guided_minus_baseline,target_body_error_ratio_guided_over_baseline,baseline_done_count_total,guided_done_count_total,done_count_delta_guided_minus_baseline,baseline_teacher_action_mse_mean,guided_teacher_action_mse_mean,teacher_action_mse_delta_guided_minus_baseline,baseline_base_action_mse_mean,guided_base_action_mse_mean,base_action_mse_delta_guided_minus_baseline,guidance_cost_delta_mean,guidance_grad_norm_mean,source_json,video_path,notes
official_csv_loop_task_conditioned_latent_guidance_multiseed,composed,seed_group_0_existing,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.027184648,0.027122783,-6.1865071e-05,0.07697273,0.078862838,0.001890108,1.0245556,,25,,,0.0097271978,,,0.0062011737,,8.9702499e-05,0.094092017,res/level_c/official_csv_loop_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,joystick,seed_group_1,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.026828871,0.026485925,-0.0003429453,0.078198805,0.081185929,0.002987124,1.0381991,,25,,,0.0088066374,,,0.0058314103,,8.6427831e-05,0.092517693,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,waypoint,seed_group_1,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.025224746,0.0245598,-0.00066494615,0.079418927,0.080004461,0.00058553368,1.0073727,,24,,,0.0099245149,,,0.0061382122,,1.8656952e-05,0.042725453,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,obstacle_avoidance,seed_group_1,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.026257065,0.025382846,-0.00087421888,0.079707019,0.079661056,-4.5962632e-05,0.99942336,,25,,,0.0095108898,,,0.0060407374,,1.1682211e-05,0.033058026,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,composed,seed_group_1,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.0266605,0.027629155,0.0009686544,0.079501122,0.076843902,-0.0026572198,0.96657632,,24,,,0.0085784564,,,0.0060910469,,8.373406e-05,0.090623538,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_1/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,joystick,seed_group_2,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.026355522,0.026889738,0.00053421614,0.078805231,0.078151435,-0.0006537959,0.99170365,,24,,,0.0093467754,,,0.0062880458,,8.2634265e-05,0.090352152,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,waypoint,seed_group_2,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.026422496,0.0262675,-0.0001549957,0.081467807,0.081399165,-6.8642199e-05,0.99915743,,25,,,0.0087454889,,,0.0060378254,,1.8119812e-05,0.04219444,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,obstacle_avoidance,seed_group_2,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.026950725,0.023520036,-0.0034306899,0.080935024,0.082158513,0.0012234896,1.0151169,,26,,,0.0097087248,,,0.0063680826,,1.0171762e-05,0.030911068,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_task_conditioned_latent_guidance_multiseed,composed,seed_group_2,denoised_latent,task_conditioned_guided,299,approximately_comparable,local_virtual_task_conditioned_receding_horizon_latent_guidance_multiseed,0.024736658,0.026401465,0.0016648074,0.083779328,0.078558318,-0.0052210093,0.93768141,,24,,,0.0091320445,,,0.0059758018,,8.242834e-05,0.089908769,res/level_c/official_csv_loop_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Three local virtual seed groups for report-level guided-vs-unguided trend analysis only.
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,joystick,full_bundle_seed_group_0,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.022738767,,,0.082537718,,,,25,,,0.015896403,,,0.0074027481,,6.4107586e-05,,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Full-bundle local virtual task-conditioned rollout over the 40-motion official CSV-loop public bundle.
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,waypoint,full_bundle_seed_group_0,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.021866609,,,0.080972597,,,,24,,,0.014620931,,,0.0072378199,,1.7337974e-05,,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Full-bundle local virtual task-conditioned rollout over the 40-motion official CSV-loop public bundle.
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,obstacle_avoidance,full_bundle_seed_group_0,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.025711375,,,0.08061827,,,,26,,,0.01049443,,,0.0069801842,,9.606066e-06,,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Full-bundle local virtual task-conditioned rollout over the 40-motion official CSV-loop public bundle.
official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout,composed,full_bundle_seed_group_0,denoised_latent,task_conditioned_guided,299,qualitative_only,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,,0.021387747,,,0.081863426,,,,25,,,0.011648776,,,0.0069984997,,5.6947653e-05,,res/level_c/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout_eval/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,Full-bundle local virtual task-conditioned rollout over the 40-motion official CSV-loop public bundle.
