phase_or_time,Fx_mean,Fx_min,Fx_max,Fy_mean,Fy_min,Fy_max,Fz_mean,Fz_min,Fz_max
0.0,-0.02709219593214772,-0.029389423451176972,-0.024347733256145483,0.010825245733241142,-0.008748276910210045,0.05028270261811242,0.004990386722197278,-0.01699456399005903,0.03614185913155967
1.0,-0.031152639137081106,-0.037136425940526865,-0.027354109056580613,0.00813804380167035,-0.007289493346135027,0.04168009414858554,-0.0020221872435026806,-0.023495666636488183,0.028009145960255364
2.0,-0.036323187867485084,-0.04653739847276549,-0.030311597366481566,0.006522932559540628,-0.004480656144027305,0.03513251799278665,-0.008229505813837969,-0.02980380929432415,0.020046683627640345
3.0,-0.04228259105404707,-0.05570876673373141,-0.032963037288733225,0.006187481157850947,-0.00604455811415245,0.030763508513667197,-0.01213331204859895,-0.033743790391775136,0.01309991397533619
4.0,-0.04968240865023447,-0.0653760864056481,-0.035201617284602214,0.008002402875130063,-0.009343270799562993,0.02950224126549412,-0.011897823082915914,-0.03425644077870212,0.010028060826835212
5.0,-0.05717097680806886,-0.07329180672444376,-0.03715122530750231,0.011048635304198855,-0.011115451826608103,0.031253984485744665,-0.005511183079730222,-0.02980003086282496,0.012949177104643382
6.0,-0.06469325069300438,-0.07986419922030082,-0.03859328418649617,0.015546858823914728,-0.011052925822850378,0.03523838684293681,0.008342596007376626,-0.01902790314926493,0.02777179383037878
7.0,-0.07216012589889644,-0.08834868872838951,-0.039445992276544696,0.02118647873796998,-0.009605284001509352,0.04097050227606847,0.0304169142131282,-0.00021378220232817226,0.054241215891884215
8.0,-0.07937104788043525,-0.10327679331463259,-0.03989788930763197,0.027936298607321927,-0.0071331101982228555,0.04808002704763209,0.06385641133949646,0.03267182629935156,0.08983788612884827
9.0,-0.08645991906230797,-0.12160151043168546,-0.039999552252383615,0.03551796031964527,-0.003964506120321902,0.05558568885878775,0.11241891683153843,0.07972094325523814,0.13503749967385617
10.0,-0.09138043989925407,-0.13528775880964153,-0.03979014112220123,0.04230012122159071,2.0624561524626975e-05,0.06245564762124333,0.17166956436911035,0.13438834014555956,0.19684983248850638
11.0,-0.09412637730903992,-0.14666469882982952,-0.039355020786948164,0.048202957275208506,0.0041621296684614525,0.06681843185156261,0.24055313201014156,0.20173031961392876,0.2698511719579903
12.0,-0.09466771394444663,-0.15477520471445042,-0.038854631627122625,0.052960632212572634,0.00786479160256312,0.06925690282098959,0.31730909202764646,0.28156319259972656,0.3438079758222583
13.0,-0.09231403376048536,-0.15891640355636544,-0.03828271232129564,0.056515223963218376,0.011493701953970743,0.07708456744898586,0.4072518969147448,0.38420895081386475,0.4318104180845142
14.0,-0.08671651544621567,-0.15720297206796174,-0.02265625363306935,0.058823862456601546,0.015055068283380891,0.08574804527685095,0.5088315739596427,0.491391355960377,0.5358796906273289
15.0,-0.0798114984154571,-0.1499628341817854,-0.006390698165051686,0.05935854793467022,0.019358215297830685,0.09173930720348812,0.6062781580071458,0.5736966568461302,0.6509942153656746
16.0,-0.07317078984934479,-0.13749517675239764,0.0005781943921809697,0.05920449799620401,0.022845362909424745,0.09677195527647368,0.6828586006202965,0.6248677151550063,0.7557921148501365
17.0,-0.06180319720369494,-0.12023987644579148,0.018645196469173637,0.05804861513791568,0.026316172237386685,0.1007441458850147,0.7715779759541588,0.7198293900197199,0.858674363014827
18.0,-0.0468907264761012,-0.10190461913629394,0.04340479526837776,0.055994651412611944,0.029733696922010524,0.10371140667188007,0.8658419826895646,0.8039660620978222,0.957235279000954
19.0,-0.029620110526427476,-0.08882701101756375,0.06776295261643435,0.053455903082953934,0.02198246048374658,0.10555729474440018,0.9610417067270727,0.8786980703771573,1.0607806817723322
20.0,-0.013803224285611173,-0.07536713442401798,0.08753855274072439,0.051420954853262736,0.016386421154575774,0.10586319580133918,1.0433758758583749,0.9367647140832118,1.1543255569141224
21.0,0.0006397574274672434,-0.06402581337745472,0.10501079319885603,0.049990957517557055,0.014590581489310498,0.10499168924006332,1.1129699593217428,0.9879758270980552,1.2283401755784278
22.0,0.013630415316212542,-0.053939912545693865,0.11959759779115346,0.04939733157478627,0.016214988385598043,0.10299750463024067,1.1755868770297577,1.0346568794049988,1.294506082977162
