task	window_index	scale	direction	unguided_final_cost	guided_final_cost	cost_delta	unguided_final_primary	guided_final_primary	primary_delta	primary_improved	mean_gradient_norm	nonzero_gradient_steps	final_mse_to_clean_prediction	cost_trace_first	cost_trace_last	step_count	finite
joystick	1540	0.0	lower_is_better	0.5119804739952087	0.5119804739952087	0.0	0.024380022659897804	0.024380022659897804	0.0	False	0.0	0	4.4637240570466474e-09	2.0693278312683105	0.5119804739952087	20	True
joystick	1540	2e-05	lower_is_better	0.5119804739952087	0.4850359559059143	0.026944518089294434	0.024380022659897804	0.023096950724720955	-0.0012830719351768494	True	1.5322308003902436	20	0.000987816834822297	2.0693204402923584	0.4850359559059143	20	True
joystick	1540	5e-05	lower_is_better	0.5119804739952087	0.4848303198814392	0.02715015411376953	0.024380022659897804	0.023087158799171448	-0.0012928638607263565	True	1.5321612983942032	20	0.00098781893029809	2.0693094730377197	0.4848303198814392	20	True
joystick	1540	0.0001	lower_is_better	0.5119804739952087	0.48448723554611206	0.02749323844909668	0.024380022659897804	0.023070821538567543	-0.0013092011213302612	True	1.5320446282625197	20	0.0009878253331407905	2.06929087638855	0.48448723554611206	20	True
joystick	1540	0.0002	lower_is_better	0.5119804739952087	0.4838012456893921	0.02817922830581665	0.024380022659897804	0.02303815446794033	-0.0013418681919574738	True	1.531811660528183	20	0.0009878353448584676	2.069254159927368	0.4838012456893921	20	True
waypoint	1540	0.0	lower_is_better	0.778228759765625	0.778228759765625	0.0	0.07533308118581772	0.07533308118581772	0.0	False	0.0	0	4.4637240570466474e-09	0.7644166946411133	0.778228759765625	20	True
waypoint	1540	2e-05	lower_is_better	0.778228759765625	0.7120632529258728	0.0661655068397522	0.07533308118581772	0.06621379405260086	-0.009119287133216858	True	1.1228283196687698	20	0.000987814855761826	0.7644132375717163	0.7120632529258728	20	True
waypoint	1540	5e-05	lower_is_better	0.778228759765625	0.7118238210678101	0.06640493869781494	0.07533308118581772	0.06618695706129074	-0.009146124124526978	True	1.1227761596441268	20	0.0009878143901005387	0.7644082307815552	0.7118238210678101	20	True
waypoint	1540	0.0001	lower_is_better	0.778228759765625	0.7114264965057373	0.0668022632598877	0.07533308118581772	0.06614240258932114	-0.009190678596496582	True	1.1226897299289704	20	0.000987812876701355	0.764399528503418	0.7114264965057373	20	True
waypoint	1540	0.0002	lower_is_better	0.778228759765625	0.7106283903121948	0.06760036945343018	0.07533308118581772	0.06605283170938492	-0.0092802494764328	True	1.1225159794092179	20	0.0009878115961328149	0.7643826007843018	0.7106283903121948	20	True
obstacle_avoidance	1540	0.0	higher_is_better	1615.042236328125	1615.042236328125	0.0	-0.23791290819644928	-0.23791290819644928	0.0	False	0.0	0	4.4637240570466474e-09	718.5747680664062	1615.042236328125	20	True
obstacle_avoidance	1540	2e-05	higher_is_better	1615.042236328125	1620.0164794921875	-4.9742431640625	-0.23791290819644928	-0.23410482704639435	0.0038080811500549316	True	469.2505401611328	20	0.000988511834293604	718.5462036132812	1620.0164794921875	20	True
obstacle_avoidance	1540	5e-05	higher_is_better	1615.042236328125	1612.7598876953125	2.2823486328125	-0.23791290819644928	-0.23284606635570526	0.0050668418407440186	True	469.2056350708008	20	0.0009897127747535706	718.5032348632812	1612.7598876953125	20	True
obstacle_avoidance	1540	0.0001	higher_is_better	1615.042236328125	1600.727783203125	14.314453125	-0.23791290819644928	-0.2307475209236145	0.007165387272834778	True	469.1308120727539	20	0.0009921304881572723	718.4315185546875	1600.727783203125	20	True
obstacle_avoidance	1540	0.0002	higher_is_better	1615.042236328125	1576.89501953125	38.147216796875	-0.23791290819644928	-0.22654838860034943	0.011364519596099854	True	468.9808883666992	20	0.0009985286742448807	718.2880859375	1576.89501953125	20	True
inpainting	1540	0.0	lower_is_better	0.0010944134555757046	0.0010944134555757046	0.0	0.0467849001288414	0.0467849001288414	0.0	False	0.0	0	4.4637240570466474e-09	0.0013791871024295688	0.0010944134555757046	20	True
