phase_or_time,Fx,Fy,Fz
0.0,2.3237965047771914e-05,0.0002510664165365881,-0.0006031789550162379
1.0,-0.001337305599406623,0.0015351806857066541,-0.008418108953785355
2.0,-0.002869358778713393,0.002992896644671835,-0.013784676501228568
3.0,-0.004318772528948488,0.004547480386113586,-0.01373585327616549
4.0,-0.004845687245782575,0.0055844910115321975,-0.005449584172413301
5.0,-0.00309134633500624,0.0050360938391357515,0.013054226818167676
6.0,0.002458335011919033,0.0017629428918271622,0.04213746380798501
7.0,0.012890149192105871,-0.004870081324246942,0.0801332668183671
8.0,0.028243889630625366,-0.014452510992748628,0.12369010325425286
9.0,0.0471131221196841,-0.0253196161394281,0.16891559273687684
10.0,0.06672446017046575,-0.034906842950655756,0.21293662614167902
11.0,0.08361411432761605,-0.04063473881136165,0.2552797127036333
12.0,0.09474623516380078,-0.040936982813198464,0.2985738121257804
13.0,0.098653259347704,-0.03588264904183727,0.3483270115735126
14.0,0.09609838924215433,-0.02705866558515974,0.4117737089208847
15.0,0.08991645121620383,-0.01680652187257277,0.4960160376233555
16.0,0.08402097001464219,-0.007235061835501784,0.6058898173120153
17.0,0.0819506142030954,0.0005035018988366907,0.7421152633561036
18.0,0.08558850007011684,0.006376908067375543,0.9003045077402745
19.0,0.09465478714888753,0.011105572223425496,1.0712645400665122
20.0,0.1072059772085243,0.015556382915941873,1.242710233197488
21.0,0.12083584870011291,0.020225323490900417,1.402001869728933
22.0,0.13388713759467308,0.02497440325233654,1.5390409748905984
23.0,0.14601772127806395,0.029012461549187036,1.648326173528706
24.0,0.15790077474345215,0.03106493007015351,1.729548254647365
25.0,0.17037159882569228,0.02970714158866428,1.7867583576485584
26.0,0.18360975951388525,0.023797369677292724,1.826652345922384
27.0,0.19682073572432113,0.01285826191508901,1.8566543738094927
28.0,0.20850536831238414,-0.002743006923666318,1.8833289555762316
29.0,0.21706306822339216,-0.021859166498159912,1.9113917263913622
30.0,0.2213621441940701,-0.04281734968444655,1.9433592607992833
31.0,0.2210270417131152,-0.06377048394812772,1.97972644170509
32.0,0.21639728648664452,-0.0830417283039294,2.019485496575001
33.0,0.208267830114101,-0.09937234323450259,2.060789386702342
34.0,0.1975719693476021,-0.11203209584903141,2.101592074607198
35.0,0.18513073558470086,-0.1208039448094219,2.1401463979223445
36.0,0.17151626737864006,-0.12588420105919584,2.1752932527555022
37.0,0.15701949463777864,-0.1277494596505519,2.2065268177373554
38.0,0.14169590018788034,-0.12703545875591302,2.2338643621666545
39.0,0.12546138648302124,-0.12444769255323058,2.257580755069304
40.0,0.10820081663938734,-0.1206914723616467,2.2778885893910017
41.0,0.08984833824230005,-0.11639757043632441,2.294663496123793
42.0,0.07041918467033889,-0.11204083174887455,2.3073180384967027
43.0,0.05000550805436505,-0.10787732880260292,2.3148803102031956
44.0,0.028767005538876407,-0.10392730779287769,2.3162386550461815
45.0,0.006936095069625101,-0.10001188320772088,2.3104383512996742
46.0,-0.015170220181546493,-0.09583782354467284,2.2969128018778533
47.0,-0.03715398127963305,-0.09111627696342929,2.275581706841096
48.0,-0.05856882970528883,-0.08568396967153753,2.2468035693952855
49.0,-0.07897821019336866,-0.07958233656368079,2.2112131028600017
50.0,-0.09802082942563269,-0.0730614470400408,2.169510118651215
51.0,-0.1154569538360351,-0.06650475554427172,2.1222847034450463
52.0,-0.13117769214986766,-0.06030129665612621,2.069945682409279
53.0,-0.14517873910080636,-0.05471516362143019,2.0127678844151693
54.0,-0.15751387724582439,-0.04980647393101021,1.9510176985755368
55.0,-0.16824932412743174,-0.04543584880900911,1.885087194602238
56.0,-0.17743976866063174,-0.04134623874335011,1.8155702934995341
57.0,-0.18513535111579707,-0.037282286517034496,1.7432411943547574
58.0,-0.19140928257065098,-0.033094144236112434,1.6689419036947686
59.0,-0.19638290301393263,-0.028784577277760345,1.5934348552302435
60.0,-0.2002270127963909,-0.024488007289647448,1.5172932509638626
61.0,-0.2031328476018066,-0.020402189962933494,1.4408727109071133
62.0,-0.20526446110450386,-0.016711496125749795,1.3643575643252663
63.0,-0.20671405044866872,-0.01353670062117372,1.2878409067635088
64.0,-0.20747791076044927,-0.010924247727271037,1.2113989495245736
65.0,-0.2074614294242314,-0.008864805523029692,1.135144813316191
66.0,-0.20651110833880065,-0.00732033167552724,1.0592670238294
67.0,-0.20445792564295082,-0.006240049081521898,0.9840597019676148
68.0,-0.20115148730887017,-0.005555002594953679,0.9099417350973348
69.0,-0.19647975223146877,-0.00515809509114267,0.8374544982213978
70.0,-0.19038541253914476,-0.004892135619686732,0.7672270016565292
71.0,-0.18288557866327293,-0.0045680922811320674,0.6999008574171238
72.0,-0.17408846790044855,-0.004018416402116678,0.6360188609847098
73.0,-0.16419809082693748,-0.0031675324250558697,0.5759067742659569
74.0,-0.15350205287082852,-0.002087355773101543,0.5196032783499608
75.0,-0.1423422314782359,-0.0010073106933984315,0.466888015728369
76.0,-0.13107332052638151,-0.0002607957276189225,0.41741349154406604
77.0,-0.12001592831349846,-0.00016974523920957617,0.3708876833181604
78.0,-0.10941050760027848,-0.0009007545120873535,0.3272185602332794
79.0,-0.09938259347399805,-0.0023582750926542375,0.286545274693637
80.0,-0.08993136173776287,-0.004179756391616895,0.2491361663950639
81.0,-0.0809446510906066,-0.005852054684308953,0.2151976147610535
82.0,-0.07223547934616424,-0.006904600622582835,0.18468205712059427
83.0,-0.06359515613625505,-0.007090368358833675,0.15719427478588877
84.0,-0.05485689661915756,-0.006465965370651638,0.13206301433768838
85.0,-0.045958431597125426,-0.005332383183274195,0.10857271820314562
86.0,-0.03698892965421798,-0.0040742331556010624,0.08626381458380984
87.0,-0.028203671206356695,-0.002990234345197955,0.06515562958840262
88.0,-0.019991043082618547,-0.002202960351692248,0.04576983533120903
89.0,-0.012790923105728392,-0.0016761699719723307,0.028935495286175138
90.0,-0.00698608438629666,-0.0013002429518604633,0.015467700832759737
91.0,-0.0027996254055150634,-0.000978510055930566,0.00585391829571428
92.0,-0.0002295364352550872,-0.0006692121396378588,5.7428036527775237e-05
93.0,0.0009556070020874049,-0.000380015561499428,-0.0025014371146381037
94.0,0.001153309386706655,-0.00013925150729629017,-0.0027870808977234593
95.0,0.0008179167822626958,3.0814345869205794e-05,-0.0018820304013939546
96.0,0.0003468040869063873,0.0001262966792354101,-0.0007174758379572835
97.0,-7.112502309684877e-08,0.00015962873302938744,0.0001100681967138835
98.0,-0.00012841555999683902,0.00014964799419231136,0.00039613934846656127
99.0,-8.697272734968388e-05,0.00011156628347913548,0.00026775345258345966
100.0,-8.449491590482053e-06,5.244531760505424e-05,4.1980914990110807e-05
