phase_or_time,Fx_mean,Fx_min,Fx_max,Fy_mean,Fy_min,Fy_max,Fz_mean,Fz_min,Fz_max
0.0,-0.0006175822958432043,-0.0266811049795923,0.107646432488848,0.005923603840665718,-0.0634277084863995,0.0478785676948279,0.03204713299525012,0.0149916063928326,0.0661620192295002
1.0,-0.003003452882210833,-0.0470283630193069,0.103340580031568,0.016696474537951814,-0.0787130574170554,0.0849937153014812,0.0805804209811178,0.025481037833038,0.24070858935305
2.0,-0.007340707564222083,-0.0684162325330768,0.0896591065048159,0.024694956065130145,-0.115967591674027,0.120908644952502,0.14753761524964035,0.0288351377954604,0.464667218388985
3.0,-0.013323229756034593,-0.102609382785235,0.0596251346331451,0.021602351546577452,-0.153543062511387,0.162379913057272,0.22216143403615435,0.0318383133063179,0.667025172682438
4.0,-0.0197623276412178,-0.127788332138019,0.0562910670606946,0.005243478265046396,-0.188864907307383,0.179607858150393,0.2947738267652479,0.0363299448372524,0.862148291697345
5.0,-0.025489343528582176,-0.132898747246814,0.0606533389326518,-0.0186801832554312,-0.273349738405404,0.156841215108565,0.3643886279585134,0.0432417818280478,1.08004246308381
6.0,-0.029565623612102482,-0.1427456477616,0.0768601114477794,-0.042615780752850725,-0.348436080787831,0.102516853188965,0.43438691538043156,0.0519073557328002,1.26212033877361
7.0,-0.031114292705490716,-0.161457616273892,0.0688298086957168,-0.06258382045960796,-0.40040659650125,0.0735361645668975,0.5055804402241136,0.0612106474295265,1.48000904961779
8.0,-0.02944396639402498,-0.173126341511316,0.0657889640119661,-0.07837372571573442,-0.420404412233194,0.070809415485153,0.574687519823301,0.0704047694022295,1.65428911511526
9.0,-0.02439416194055155,-0.177023867478279,0.0675291356157351,-0.09116365292124737,-0.419169395089373,0.0705160931585732,0.637262200532743,0.0761575420965266,1.6962571639238
10.0,-0.016562312084950334,-0.17296519528602,0.0809112572225032,-0.10193978887140384,-0.407723211826195,0.0712580514044375,0.6907525240615039,0.0825778945192178,1.64837521650809
11.0,-0.007162497116420855,-0.162193659375455,0.090334325979389,-0.11123203638254593,-0.392793434312211,0.0712395333866895,0.7352993251396406,0.0902311573755845,1.56138535244321
12.0,0.0024385652031550576,-0.147574671635331,0.101106667110838,-0.11927614257707465,-0.392717356944295,0.0677380947084063,0.7728368486466205,0.0996836814352168,1.58642034936202
13.0,0.011242231683296909,-0.128425697337586,0.108948249743925,-0.12612824367879885,-0.387692403621174,0.0619093229101478,0.8058186441636905,0.111699941595419,1.59087790086304
14.0,0.01881385151255568,-0.114071110648651,0.112384729514808,-0.13176673546881887,-0.38428202314048,0.0541891544983007,0.8364067106068394,0.127482407082229,1.57754598935651
15.0,0.02509628736806263,-0.103430572906782,0.118537758869106,-0.13615203321860314,-0.396253116248541,0.0464133347780983,0.8660177201818973,0.148515303251647,1.55343796200282
16.0,0.030132892585194707,-0.0911633869783683,0.129323342451876,-0.1392238945917373,-0.402079732696109,0.0399836881179971,0.8951515233799607,0.175142878778986,1.53743364927291
17.0,0.03396028934527797,-0.078163821977697,0.139171473420003,-0.14091969169068302,-0.412365795702084,0.0385226352353838,0.9235290377934974,0.207296007921476,1.53593741969865
18.0,0.03665027456622373,-0.0692100527297578,0.148483757736868,-0.14122372378940296,-0.414802013869553,0.0362636511371035,0.9504361468640691,0.225407700373655,1.53374185161615
19.0,0.03835865876640835,-0.0658164853712649,0.157049511061205,-0.1402022346801076,-0.410203641788511,0.0318224154697151,0.9750683814858521,0.248698052173509,1.54968080873457
20.0,0.039308325082175945,-0.0614905061708338,0.163791233675925,-0.1379944299501193,-0.401219510196884,0.0244402607429533,0.9967446323626249,0.280235299084541,1.58876491865994
21.0,0.03973268195313521,-0.0566212120687336,0.167013734851064,-0.13478128437603015,-0.389104123014353,0.0158606331869731,1.0149769089697058,0.320059557653838,1.61435954577881
22.0,0.03984143747072184,-0.052726946930316,0.16664295970053,-0.1307665816868257,-0.373114247575577,0.019031163552508,1.0295063792956392,0.366241772798664,1.62746701672647
23.0,0.03979641088308097,-0.0554906358585035,0.164192548357737,-0.12613885543719683,-0.354143122594106,0.0259088372817816,1.0402114511389375,0.417497165241064,1.62837442767647
24.0,0.03971898429474408,-0.0561882998476427,0.160878887856658,-0.12106299511634203,-0.334916098048218,0.030200608333413,1.0470657087690762,0.454905170928349,1.61811497237089
