action_abs_mean,cumulative_done_count,cumulative_done_rate_of_attempted_env_steps,done_count,done_rate_of_envs,error_anchor_pos,error_body_pos,error_joint_pos,reward_mean,step
0.03187299519777298,2048.0,0.0033444816053511705,2048.0,1.0,0.05985111743211746,43.29466247558594,0.897921621799469,0.02082785591483116,0
0.032146237790584564,4095.0,0.006687330163043478,2047.0,0.99951171875,0.059376418590545654,0.5663188695907593,0.890418291091919,0.02434515208005905,1
0.03236318379640579,6142.0,0.010030178720735786,2047.0,0.99951171875,0.059404101222753525,0.5526559352874756,0.8899612426757812,0.024528615176677704,2
0.03253476321697235,8189.0,0.013373027278428094,2047.0,0.99951171875,0.05956552177667618,0.5496403574943542,0.8911150097846985,0.02419445291161537,3
0.03231525793671608,10236.0,0.0167158758361204,2047.0,0.99951171875,0.05959061533212662,0.5510300397872925,0.8977895379066467,0.02463291957974434,4
0.03210313618183136,12283.0,0.020058724393812708,2047.0,0.99951171875,0.05973603576421738,0.547311007976532,0.9065483808517456,0.024810215458273888,5
0.03243855759501457,14330.0,0.023401572951505016,2047.0,0.99951171875,0.05960556119680405,0.5421688556671143,0.8818385004997253,0.02412169799208641,6
0.03224989026784897,16377.0,0.026744421509197324,2047.0,0.99951171875,0.059675730764865875,0.5495238900184631,0.9055419564247131,0.024611152708530426,7
0.032357193529605865,18424.0,0.030087270066889632,2047.0,0.99951171875,0.05955551564693451,0.5641118288040161,0.9016969799995422,0.023927710950374603,8
0.0319499671459198,20471.0,0.033430118624581937,2047.0,0.99951171875,0.05983190983533859,0.5586011409759521,0.9041013717651367,0.023943711072206497,9
0.032075732946395874,22518.0,0.03677296718227425,2047.0,0.99951171875,0.059145234525203705,0.555952787399292,0.9038119316101074,0.02420160546898842,10
0.032080672681331635,24565.0,0.04011581573996655,2047.0,0.99951171875,0.059777919203042984,0.5584686398506165,0.89991694688797,0.024315426126122475,11
0.03183608874678612,26612.0,0.043458664297658864,2047.0,0.99951171875,0.05981358140707016,0.5540614724159241,0.8853175640106201,0.02426757663488388,12
0.032097529619932175,28660.0,0.04680314590301003,2048.0,1.0,0.05979066714644432,0.5545820593833923,0.9134914875030518,0.024854397401213646,13
0.03207488730549812,30708.0,0.05014762750836121,2048.0,1.0,0.059542957693338394,0.5570894479751587,0.8894387483596802,0.024247169494628906,14
0.032449640333652496,32756.0,0.053492109113712376,2048.0,1.0,0.059285059571266174,0.5530498027801514,0.896885335445404,0.023804880678653717,15
0.03210454806685448,34804.0,0.056836590719063544,2048.0,1.0,0.059354912489652634,0.5496074557304382,0.8964272737503052,0.024612009525299072,16
0.031845126301050186,36852.0,0.06018107232441471,2048.0,1.0,0.05964197590947151,0.555492639541626,0.9119101762771606,0.024427935481071472,17
0.03214643523097038,38900.0,0.06352555392976589,2048.0,1.0,0.05954141914844513,0.5584313869476318,0.8930509090423584,0.02399381250143051,18
0.03219316899776459,40948.0,0.06687003553511706,2048.0,1.0,0.05952368676662445,0.5383689403533936,0.8944960832595825,0.024251481518149376,19
0.032021041959524155,42996.0,0.07021451714046822,2048.0,1.0,0.05972372367978096,0.5403047800064087,0.9019550085067749,0.02508465014398098,20
0.03191900625824928,45044.0,0.07355899874581939,2048.0,1.0,0.059703074395656586,0.5483283996582031,0.8892428874969482,0.0241287499666214,21
0.032050710171461105,47092.0,0.07690348035117058,2048.0,1.0,0.05945589020848274,0.5347999334335327,0.9077112078666687,0.024281661957502365,22
0.032325755804777145,49140.0,0.08024796195652174,2048.0,1.0,0.059520311653614044,0.5511318445205688,0.9054165482521057,0.02441675402224064,23
0.032275207340717316,51188.0,0.08359244356187291,2048.0,1.0,0.05958067625761032,0.5512364506721497,0.9085960388183594,0.02431160770356655,24
0.032224252820014954,53236.0,0.08693692516722408,2048.0,1.0,0.05928017199039459,0.5403128862380981,0.8968442678451538,0.024112408980727196,25
0.03195996209979057,55283.0,0.09027977372491638,2047.0,0.99951171875,0.05952848494052887,0.5375611782073975,0.9048410654067993,0.024504950270056725,26
0.03217748925089836,57330.0,0.09362262228260869,2047.0,0.99951171875,0.05937300622463226,0.5439119338989258,0.8928384184837341,0.024409141391515732,27
0.03209846839308739,59377.0,0.09696547084030101,2047.0,0.99951171875,0.05997253954410553,0.5367021560668945,0.9073220491409302,0.02455245330929756,28
0.03232310712337494,61423.0,0.10030668635033445,2046.0,0.9990234375,0.05959762632846832,0.5357111692428589,0.8877590894699097,0.023985624313354492,29
