split	window_count	token_count	noisy_tau_mse	pred_tau_mse	tau_mse_reduction_vs_noisy
train	1540	32340	0.06733144819736481	0.011048291809856892	0.8359118642826207
validation	330	6930	0.06842823326587677	0.008891399949789047	0.8700624066203542
test	330	6930	0.06615763157606125	0.009039249271154404	0.8633680037236218
