family,sample_count,motion_count,root_speed_mean,root_speed_std,latent_norm_mean,reward_mean,done_fraction
dance,61777,8,0.0843920322729569,1.092455975376345,0.4625474387539545,0.03010819547195769,1.0
fallAndGetUp,43963,6,0.3812531882148033,3.24451394703853,0.6471672635751278,0.017794576887866984,0.9876941973932625
fight,23948,3,0.555441358283105,3.9780751586337355,0.7489730664573528,0.016482133154885035,1.0
fightAndSports,11973,2,0.09446530393272734,0.5387950294194163,0.553189676099935,0.030291581045608144,1.0
jumps,27412,3,0.26865934448732604,1.4733076987772655,0.6235013867395378,0.024174978171384042,1.0
run,30502,4,0.549602521454442,4.36517215663839,0.6578249066612707,0.02280543037354907,1.0
sprint,13220,2,0.7081282945183126,8.669514026591102,0.5970381108186187,0.02288165621108301,1.0
walk,93381,12,0.26477857837903834,2.3770320745528206,0.6021871264363572,0.02256450683440673,1.0
