task,split,best_scale,base_cost_mean,guided_cost_mean,cost_delta_mean,positive_delta_fraction,gradient_norm_mean,window_count
composed,test,0.01,0.13988688742111585,0.13988675315015014,1.3442815566111549e-07,1.0,0.00016278258632598078,114278
composed,validation,0.01,0.13990751152334138,0.13990737801374076,1.34035279289899e-07,1.0,0.00016234536597416467,114279
latent_magnitude,test,0.01,0.11901230336546838,0.11901228391779571,1.9498624107200997e-08,0.956728329361982,5.1881786297770337e-05,114278
latent_magnitude,validation,0.01,0.11903488614247765,0.11903486686174758,1.9445644389929056e-08,0.9550048565233253,5.1746582623528336e-05,114279
latent_smoothness,test,0.01,0.2361072249304122,0.23610714097091356,8.494788485637105e-08,1.0,0.00012842866025746595,114278
latent_smoothness,validation,0.01,0.2361799870778568,0.23617990214388496,8.471328198126758e-08,1.0,0.00012810901260368391,114279
velocity_command,test,0.01,0.0689588508139757,0.06895872204413564,1.2860802116589543e-07,1.0,0.0001586158346599156,114278
velocity_command,validation,0.01,0.0689590264247268,0.06895889772192713,1.2825747559507022e-07,1.0,0.00015818807094430075,114279
