action_abs_mean,dones,frame,ik_error_max_m,ik_error_mean_m,pelvis_error_m,rewards,root_x,root_y,root_z,time_s,torso_error_m,trace_reference_error_max_m,trace_reference_error_mean_m
0.1881285309791565,1.0,0,0.570861946884127,0.1628423565100421,0.0,0.027829967439174652,-0.0970633327960968,0.03271952271461487,0.7794023156166077,0.0,0.0028133048194823058,0.5436044099907147,0.18428990769228187
0.18517626015539956,0.3363028953229399,1,0.5650072770352833,0.16441586160351823,0.0,0.021877576188414558,-0.09315711103860945,0.02839095211838826,0.7798016285046703,0.03333333333333333,0.002325193606495964,0.5388019378371124,0.18627927361951047
0.2543052084461883,0.0,2,0.5517874270925608,0.16573128167035747,0.0,0.009613547613118301,-0.08978367615117794,0.023822665239429157,0.7784882177223341,0.06666666666666667,0.0022181403338175413,0.5220042449685638,0.18818665472211654
0.3974767695689254,0.0,3,0.5313506841724255,0.16660646508638768,0.0,-0.00913386352003483,-0.08695752573570854,0.019008139185690404,0.7754154785438742,0.1,0.0022731487406152874,0.4926801635585496,0.19000653767396303
0.5202331535667513,0.0,4,0.5077157900845337,0.16687570873356666,0.0,-0.012399636986841735,-0.08501012971778224,0.014003442222862306,0.7698543256269,0.13333333333333333,0.0026381829432326805,0.4639901076039397,0.19079682615572238
0.6357872436997088,0.0,5,0.49192311981603365,0.16758149291934984,0.0,-0.01287772598363177,-0.08298150330516436,0.009516738205816272,0.763744302077389,0.16666666666666666,0.0031564514727529746,0.44437924530097106,0.19054495228584487
0.7438357175060263,0.0,6,0.48447914243016355,0.16889662347220266,0.0,-0.010562509097125724,-0.08085187083164143,0.0055942995544265815,0.7570760458508685,0.2,0.003979170956813993,0.4344105955343391,0.1893192906160859
0.8524236558274861,0.0,7,0.4757595103844104,0.1703787792338695,0.0,-0.01255437889175784,-0.0792090335740544,0.0015387509188268412,0.7478802792213541,0.23333333333333334,0.005044830837867816,0.42139596485671577,0.1881703011113463
0.9502590350425058,0.0,8,0.4668144708624572,0.17224071360405152,0.0,-0.014277649609857387,-0.07788469104764191,-0.002777741343521394,0.7371971227543922,0.26666666666666666,0.006168343575216716,0.40714275125177274,0.1876854307756835
1.0357777013014047,0.0,9,0.45766655371763243,0.17458502478346746,0.0,-0.01555776186411856,-0.07690930879262083,-0.007388522733367961,0.7248923202399953,0.3,0.007338692081746832,0.39157151904984,0.1881340481950769
1.1106134865491055,0.0,10,0.44950858522437503,0.1775897691030288,0.0,-0.017119754120325858,-0.07651000071673722,-0.01255152796712478,0.709592193962471,0.3333333333333333,0.008626754889128428,0.374024580232418,0.1898255412721195
1.1770993587965424,0.0,11,0.4416772876629526,0.18121435954392093,0.0,-0.01874476014937218,-0.07639565539519345,-0.017962082826381003,0.6926964914347388,0.36666666666666664,0.01001812890996133,0.3611513744387127,0.19318226718054815
1.2340446838026322,0.0,12,0.434187162613283,0.18543281202890455,0.0,-0.020431569306582277,-0.07659619203654588,-0.023643555028368204,0.674026022775136,0.4,0.011535879161198173,0.3565380492573319,0.1985591290802021
1.2897195999234716,0.6280623608017819,13,0.46764567106089455,0.1984160684447336,0.0,-0.024530334111908764,0.4101999607144593,0.25940736180341467,0.7418238444954888,0.43333333333333335,0.009247654720365032,0.3338719406717227,0.1054217154989648
