body_name	robot_index	urdf_index	max_abs_z_delta_m	new_z_mean_m
pelvis	0	0	0.0	0.7737202644348145
left_ankle_roll_link	24	7	0.0	0.05472046881914139
right_ankle_roll_link	25	13	0.0	0.05676112323999405
torso_link	11	16	0.0	0.8174987435340881
left_wrist_yaw_link	36	28	0.0	0.9398667216300964
right_wrist_yaw_link	37	36	0.0	0.9238723516464233
