frame,source_joint_index,time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,0,0.0,-3.40371091280319e-05,3.5736480705173324e-05,0.793849929746343,0.32890974747314083,0.007289302007471821
1,2,0.003986358642578125,-3.40371091280319e-05,3.5736480705173324e-05,0.793849929746343,0.328926244776712,0.009519065017731667
2,4,0.007999658584594727,-4.3356128475349774e-05,4.605739820306709e-05,0.7938459808886527,0.32893327203908423,0.00992850127533592
3,6,0.011999368667602539,-6.387409972091302e-05,6.934644581551953e-05,0.7938376366980306,0.3289450339045665,0.008135734709522412
4,8,0.01600503921508789,-8.897233571619219e-05,9.819318695207745e-05,0.7938271907628126,0.3289566636507014,0.010694192377208122
5,10,0.019996166229248047,-0.00011837950464906356,0.00013236889225394643,0.7938152139779088,0.3289613791135268,0.008766537008341402
6,12,0.02399468421936035,-0.00015231764913261215,0.00017183488019879386,0.7938021046996853,0.32898154520180783,0.009542288706268602
7,14,0.02800464630126953,-0.00019198398306250513,0.00021733009141479962,0.793786354846457,0.3289945599370122,0.012075095306750756
8,16,0.03200125694274902,-0.00023399482711668974,0.0002654965599547079,0.7937698029523909,0.32901401977769323,0.01099586416365065
9,18,0.03598666191101074,-0.0002807930146358765,0.00031963245377843863,0.7937513524345282,0.3290275311165746,0.01305438724331656
10,20,0.03997993469238281,-0.0003312924484620805,0.0003783384084208422,0.7937314593680013,0.32903766387407185,0.012272015761921247
11,22,0.04398155212402344,-0.00038552993209050224,0.00044165427816011596,0.793710135428747,0.329041087014424,0.012261108340743673
12,24,0.048048973083496094,-0.0004439121751412388,0.0005095057294415851,0.7936871694611649,0.3290572760341657,0.011039661803555771
13,26,0.05198860168457031,-0.0005051732517021238,0.000581966990128157,0.7936630031821043,0.32906216912268627,0.008725712485290292
14,28,0.05600166320800781,-0.0005701718940710735,0.0006594138376010464,0.7936377609496015,0.3290641743244186,0.00917812054003348
15,30,0.0599973201751709,-0.0006391403378595741,0.0007412753330335702,0.7936108280182999,0.3290692974817297,0.00713152053202944
16,32,0.063995361328125,-0.0006752164692002652,0.0007837878818413783,0.7935966785615092,0.3290738793639948,0.008454912415894295
17,34,0.0680699348449707,-0.0007898267798044979,0.0009177223374533794,0.7935515367477445,0.32907555532713967,0.009576841357870606
18,36,0.07198643684387207,-0.0008723716845451777,0.0010130679328298582,0.7935185206062702,0.3290846414225786,0.00628109743160292
19,38,0.07599735260009766,-0.0009600692557783405,0.0011125187340696586,0.7934841077509478,0.329085965217332,0.007997381264054826
20,40,0.07998847961425781,-0.0010537110826293234,0.0012177256933848044,0.7934469766990376,0.3290885060901175,0.006736850522554897
21,42,0.08402299880981445,-0.00115100211206787,0.0013266315641225386,0.7934087182350246,0.32909342342513964,0.008419522162575018
22,44,0.08823585510253906,-0.0012529878979331205,0.0014408359490055592,0.7933685456033271,0.3290949169935755,0.007370399653405786
23,46,0.09398555755615234,-0.0014139322580300096,0.0016216773394252025,0.7933062480628669,0.3290934886980063,0.008784442094550067
24,48,0.09799742698669434,-0.0015260052049802125,0.001749199920294124,0.7932626506797433,0.3290919416427516,0.008324761009887504
25,50,0.10198974609375,-0.0016415455999542524,0.0018806196875449678,0.7932177170968886,0.3290949526246926,0.008555936926156926
26,52,0.10598993301391602,-0.0017619733113087893,0.002017199357168944,0.7931708751632387,0.32909767451126065,0.010300593089376545
27,54,0.10999011993408203,-0.0018954623895082448,0.0021675693140413895,0.7931198781905059,0.32913604312263234,0.023998047891554648
28,56,0.11398887634277344,-0.002016625029690549,0.0023029637084664785,0.7930738799206439,0.3291111124041169,0.009610286877683267
29,58,0.11798739433288574,-0.0021502618162516068,0.002451451040251126,0.7930230056431713,0.3290989345746468,0.016351379242380438
30,60,0.12198996543884277,-0.002286910556640459,0.0026061924556166293,0.7929697230954145,0.3290865256647772,0.012182318045484737
31,62,0.12600398063659668,-0.0024275430452187136,0.0027654539933294957,0.7929150397372083,0.32904916311461674,0.015653607352560515
32,64,0.13007259368896484,-0.0025726065153792036,0.0029290449721227616,0.7928584186574827,0.32899575611648696,0.020046720168842323
33,66,0.13399672508239746,-0.002723518054563937,0.0030987838212233132,0.7928006856478282,0.32895033373216426,0.021535507724459828
34,68,0.13798761367797852,-0.0028777649350063537,0.0032728822466574787,0.7927421233887451,0.3288925554109577,0.020742715191866816
35,70,0.14199090003967285,-0.0030359519270881565,0.0034520062402440643,0.7926831496307315,0.3288444059696209,0.02306378525200075
36,72,0.14599609375,-0.0031987810186035466,0.003634477587233307,0.7926283874768546,0.3287812175474065,0.022446179300835676
37,74,0.14998841285705566,-0.003367301636942392,0.003819562057494737,0.7925777065866109,0.32871262585655947,0.023115367921679442
38,76,0.15399456024169922,-0.0035439858231256674,0.004010043159298852,0.7925303584484622,0.32864065812940807,0.02552527334840557
39,78,0.15798521041870117,-0.003720876709773098,0.004199194738679629,0.7924886671018344,0.32855804592314786,0.02673302254848311
40,80,0.1619861125946045,-0.0039054522235852243,0.004394781081086472,0.7924499761435008,0.32845641712955165,0.027920806014725682
41,82,0.16598916053771973,-0.004096163045949642,0.004594714573731862,0.7924155533358375,0.3283705019476374,0.03526634992108327
42,84,0.17013311386108398,-0.004295166503600349,0.004800983931749998,0.792383085730126,0.3282758634043697,0.03773920594740675
43,86,0.17999792098999023,-0.0048163284851936725,0.00534267472120647,0.7923117524872165,0.3280040901495497,0.03847087864314431
44,88,0.18399620056152344,-0.0050357056153099424,0.005568224942474875,0.7922902440912731,0.3278912973674496,0.03982091477092613
45,90,0.18799901008605957,-0.0052621887937190455,0.005797609179231583,0.7922749918427212,0.3277821960268895,0.03763179989687944
46,92,0.19210386276245117,-0.0054938984201742015,0.00603344921446695,0.7922620765027428,0.327685528372591,0.03967570938202071
47,94,0.19599246978759766,-0.005727012216616191,0.006272105373837854,0.7922527619360582,0.3275934635392583,0.041421509436171115
