split	window_count	token_count	decoded_action_mse	teacher_action_mse	decoded_action_max_abs_error	kl_mean	latent_abs_mean	latent_std
train	64680	64680	0.2049703150987625	0.21197140216827393	1.8424266576766968	0.15176229178905487	0.4227568507194519	0.5274510979652405
validation	13860	13860	0.18614256381988525	0.1405620574951172	1.641535758972168	0.14241425693035126	0.4145581126213074	0.507966160774231
test	13860	13860	0.1814759373664856	0.17564669251441956	1.7734190225601196	0.15011967718601227	0.4269160032272339	0.5246955156326294
