split	window_count	token_count	noisy_tau_mse	pred_tau_mse	tau_mse_reduction_vs_noisy
train	3080	64680	0.06694602966308594	1.137083888053894	-15.985083264480469
validation	660	13860	0.06735885888338089	1.1037086248397827	-15.385500632524746
test	660	13860	0.06745404005050659	1.0785889625549316	-14.989983131437821
