split	window_count	token_count	decoded_action_mse	teacher_action_mse	decoded_action_max_abs_error	kl_mean	latent_abs_mean	latent_std
train	32340	32340	0.0365542434155941	0.08013473451137543	1.5314500331878662	0.5307703018188477	0.5268537998199463	0.69915372133255
validation	6930	6930	0.03171243146061897	0.05686027929186821	1.2564789056777954	0.45896974205970764	0.44952383637428284	0.5663372874259949
test	6930	6930	0.03800620883703232	0.06892282515764236	0.9663515090942383	0.5368359684944153	0.49525538086891174	0.6261400580406189
