split	window_count	token_count	noisy_tau_mse	pred_tau_mse	tau_mse_reduction_vs_noisy
train	1540	32340	0.06716860830783844	0.00997717585414648	0.8514607328408476
validation	330	6930	0.06716172397136688	0.00779705448076129	0.8839062784617409
test	330	6930	0.06730807572603226	0.008011135272681713	0.8809780968142682
