seed	kl_loss	reparameterization_max_abs_error	mean_latent_std	interpolation_endpoint_start_error	interpolation_endpoint_end_error	max_neighbor_action_delta	mean_neighbor_action_delta	curvature_mean
20260915	0.18512773513793945	0.0	1.0026994943618774	1.613770024277983e-07	1.437446002228171e-07	0.0025686093140393496	0.002563874702900648	1.2012714250886347e-05
20260916	0.15746080875396729	0.0	1.0005834102630615	1.583577073915876e-07	1.6862082929947064e-07	0.003117605345323682	0.003107238095253706	1.2926116141898092e-05
20260917	0.15711632370948792	0.0	0.9986274242401123	1.2892679990272882e-07	1.2762858148107625e-07	0.0024939810391515493	0.002491074614226818	6.4400774135719985e-06
