seed	train_baseline_loss	train_prediction_loss	train_loss_reduction_ratio	validation_baseline_loss	validation_prediction_loss	validation_loss_reduction_ratio	test_baseline_loss	test_prediction_loss	test_loss_reduction_ratio	motion_count	window_count	sample_count	feature_dim	paper_state_dim	token_dim
20260911	0.06795054585133276	0.013992778144063207	0.7940740877243629	0.06610149404036221	0.030197348642920434	0.5431669271426506	0.06511901426400574	0.03338779974210115	0.48728032634615426	3	84	1764	175	99	131
20260912	0.07062343691868807	0.013613224283556413	0.8072421156842037	0.06816406058219762	0.030083752077195297	0.5586566906336525	0.06708497757359015	0.034748334464957	0.4820251012704126	3	84	1764	175	99	131
20260913	0.06673905804173494	0.013729900624579535	0.7942748814945274	0.06629281114185004	0.030445831099325714	0.5407370637190321	0.06643360898683812	0.03332029162053179	0.49844224740020926	3	84	1764	175	99	131
