frame,motion_time_step,video_time_s,root_x,root_y,root_z,joint_abs_mean,contact_count_after_forward
0,286550,0.0,0.0,0.0,0.7903743982315063,0.22839203458590482,0
1,286551,0.03333333333333333,0.0008378028869628906,0.0005855560302734375,0.7904356122016907,0.2288642749461297,0
2,286552,0.06666666666666667,0.0016927719116210938,0.0011773109436035156,0.7904580235481262,0.22931097146798055,0
3,286553,0.1,0.0025568008422851562,0.0017714500427246094,0.790461003780365,0.22975013716595954,0
4,286554,0.13333333333333333,0.0034542083740234375,0.0023021697998046875,0.7904387712478638,0.23024346160598036,0
5,286555,0.16666666666666666,0.004364013671875,0.0027899742126464844,0.7904137969017029,0.23084183575400827,0
6,286556,0.2,0.005300998687744141,0.003193378448486328,0.7903832197189331,0.2313760124334608,0
7,286557,0.23333333333333334,0.006255626678466797,0.0035200119018554688,0.7903445959091187,0.23186897993908698,0
8,286558,0.26666666666666666,0.007219791412353516,0.0038084983825683594,0.7903019785881042,0.2323405160026721,0
9,286559,0.3,0.008185386657714844,0.004040241241455078,0.7902359962463379,0.2327189503101118,0
10,286560,0.3333333333333333,0.009141921997070312,0.004266262054443359,0.7901601791381836,0.23306545052789793,0
11,286561,0.36666666666666664,0.010080814361572266,0.004481792449951172,0.790064811706543,0.2335212557167136,0
12,286562,0.4,0.010997295379638672,0.004696369171142578,0.7899466156959534,0.2340113240302187,0
13,286563,0.43333333333333335,0.01190185546875,0.004910469055175781,0.7898169755935669,0.23447334333242656,0
14,286564,0.4666666666666667,0.012776851654052734,0.005125999450683594,0.7896574139595032,0.23489334305009707,0
15,286565,0.5,0.013643741607666016,0.005340576171875,0.7894909977912903,0.23565043777966038,0
16,286566,0.5333333333333333,0.014495372772216797,0.005553722381591797,0.7893109917640686,0.23663108275625214,0
17,286567,0.5666666666666667,0.015334606170654297,0.005760669708251953,0.7891281843185425,0.23768899957488837,0
18,286568,0.6,0.01616811752319336,0.005964756011962891,0.7889440059661865,0.23878555206164462,0
19,286569,0.6333333333333333,0.016983509063720703,0.0061550140380859375,0.7887724041938782,0.23986687170791215,0
20,286570,0.6666666666666666,0.017791748046875,0.006338596343994141,0.7886090278625488,0.24091315157872079,0
21,286571,0.7,0.018585205078125,0.0065097808837890625,0.7884619832038879,0.2418893318430617,0
22,286572,0.7333333333333333,0.019370079040527344,0.0066585540771484375,0.7883409857749939,0.24279010403451734,0
23,286573,0.7666666666666667,0.020150184631347656,0.006796836853027344,0.7882329821586609,0.24365317310881,0
24,286574,0.8,0.02092266082763672,0.0068645477294921875,0.7881687879562378,0.24449156046491757,0
25,286575,0.8333333333333334,0.021693706512451172,0.006895542144775391,0.7881163954734802,0.24533772417986444,0
26,286576,0.8666666666666667,0.022461414337158203,0.006853580474853516,0.7880876064300537,0.24619944992571555,0
27,286577,0.9,0.023220062255859375,0.006738185882568359,0.788072407245636,0.24702373760800553,0
28,286578,0.9333333333333333,0.023974895477294922,0.006585597991943359,0.7880640029907227,0.24799503531339095,0
29,286579,0.9666666666666667,0.024719715118408203,0.006363868713378906,0.7880405783653259,0.2488519125698327,0
