mode,task,task_label,window_count,scale_count,row_count,mean_base_cost,mean_best_cost,mean_best_cost_delta,median_best_cost_delta,positive_best_cost_delta_fraction,primary_improved_count,all_best_costs_improve,mean_best_gradient_norm
offline,joystick,Joystick,1320,7,9240,1.3631208822131158,1.3603960051681057,0.002724877045010075,,1.0,1320,True,1.5989806913968287
offline,waypoint,Waypoint,1320,7,9240,0.6174192042682659,0.615660644429877,0.0017585598383889054,,1.0,765,True,1.2189383715165385
offline,obstacle_avoidance,Obstacle,1320,7,9240,1900.6584928570371,1639.7083324085581,260.9501604484789,,1.0,1320,True,523.6979736559318
offline,inpainting,Inpainting,1320,7,9240,0.000930919799421562,0.0009309019227354535,1.7876686108524374e-08,,1.0,1320,True,0.0041256765752085344
offline,composed_objectives,Composed,1320,7,9240,1902.6390316125119,1641.6832794189454,260.9557521935665,,1.0,1320,True,523.7033147176106
reverse,joystick,Joystick,1320,5,6600,,,-0.0008358747867698019,-0.0025222226977348328,0.47045454545454546,621,False,1.3848351420778218
reverse,waypoint,Waypoint,1320,5,6600,,,0.15158434480880245,0.15188342332839966,0.9734848484848485,1209,False,1.5338143754637603
reverse,obstacle_avoidance,Obstacle,1320,5,6600,,,77.59966291947798,83.2110595703125,1.0,1319,True,505.36315159653174
reverse,inpainting,Inpainting,1320,5,6600,,,0.00020350172636262077,0.00019145506666973233,0.9856060606060606,1301,False,0.003905260046656512
reverse,composed_objectives,Composed,1320,5,6600,,,77.77570736046994,83.409423828125,1.0,1319,True,505.3683301289876
