task,seed_count,guided_reward_mean,guided_reward_std,guided_target_body_error_mean,guided_target_body_error_std,guided_done_count_total_mean,guided_done_count_total_std,guidance_cost_delta_mean,guidance_cost_delta_std,guided_teacher_action_mse_mean,guided_teacher_action_mse_std
joystick,3,0.026750468158909645,0.0001871472342015636,0.08046085387468338,0.0016702591036752118,25.0,0.816496580927726,8.419073013424739e-05,1.6217759054057021e-06,0.008906193448873308,0.0003267631962946673
waypoint,3,0.025070973195409695,0.0008490551516976444,0.08036413292090099,0.0007431390693449054,24.666666666666668,0.4714045207910317,1.8331717487960356e-05,2.3346982315579046e-07,0.009301533464678755,0.0004836569265878149
obstacle_avoidance,3,0.02468773125543144,0.0008306684579533571,0.08021580427885056,0.0014151914038824092,25.0,0.816496580927726,1.1612672603781539e-05,1.1491620771696265e-06,0.009815890980010214,0.00030243031869265957
composed,3,0.027051134261332762,0.0005037564036055388,0.0780883530775706,0.0008886979674000316,24.333333333333332,0.4714045207910317,8.528829949888232e-05,3.1665008517303727e-06,0.009145899565211406,0.0004690740391555156
