component	sample_index	input_shape	output_shape	torch_metric_mse	max_abs_onnx_vs_torch	onnx_size_bytes	onnx_sha256
vae_decoder	1540	[[1, 32], [1, 99]]	[1, 29]	0.052795473486185074	2.384185791015625e-07	11634834	a4d6ba8ab119a4d06fc2cc272fea9fda065012a3c909d1abde35b023e447cdc5
diffusion_denoiser	1540	[[1, 21, 239], [1, 21, 2]]	[1, 21, 239]	0.0033518108539283276	2.771615982055664e-06	76924206	fae3011d4090588215019cdf397d189e576ee42d79f878ec2b82c0b4b89211cb
