frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.008347919108188431,-0.05364790655315092,0.08155528670935225,2.344907039221028,-0.9631488091721891,2.8418923273596595,0.16952945664196475,0.1685345682481673,0.9348552710164625,7.650236073883,0.16952945664196475,0.05123699828982353,0.06138196967790175,0.5353728354771301,2,True
1,0.03333333333333333,0.24000000000000013,-0.0053925291195609255,-0.05930020279543295,0.09298541201079838,-2.632689907992297,-0.7800678563934315,1.3829336945677673,0.19597422305150408,0.24462990923122066,1.1437705892532046,7.677299020314022,0.19597422305150408,0.0516510009765625,0.06850337672441935,0.5878718944259049,2,True
2,0.06666666666666667,0.2600000000000001,-0.005321413908894589,-0.05222843008649129,0.12931553734250217,-2.096657171168056,-0.8465515327423535,0.1383761534692907,0.1984876178476277,0.25902892342340994,1.0581602244163573,12.558941739673328,0.1984876178476277,0.052117399871349335,0.08556493813379192,0.8807443370841368,0,True
3,0.1,0.28000000000000014,0.02372109096688874,-0.034207098880327864,0.18222233856126477,-0.8265564710500601,-0.9020257852880783,-1.5968373245756025,0.2249130553970114,0.33124511234530707,1.3410925972470267,7.427971817611305,0.2249130553970114,0.05260999873280525,0.12896338747853026,1.2745966067822052,0,True
4,0.13333333333333333,0.30000000000000016,0.024232170932765654,-0.0023928630970584362,0.1835536918705658,0.2454341047470844,-1.3969683827360706,-2.304827996989414,0.22383157691211092,0.2390742851375797,1.2238701399703102,12.516387421083177,0.22383157691211092,0.05321719869971275,0.14050383020479879,0.9637737988724345,3,True
5,0.16666666666666666,0.3200000000000002,-0.003655986892963904,0.0043753272825412205,0.17369921577499087,-2.7854169742904205,-0.6546114559289701,1.124538928751519,0.2171821272301805,0.28252282068645107,1.2509211305634342,7.111594544916852,0.2171821272301805,0.05381060019135475,0.11301383713514648,0.6692209051074179,2,True
6,0.2,0.3400000000000002,-0.02375279436213293,0.028431719658376122,0.2168222638846826,-2.4764194170228278,-0.0002474611910486112,0.6205997794916922,0.2116380403037491,0.3912766522390266,1.7177151815188811,8.694043965909698,0.2116380403037491,0.054376401007175446,0.15633979015271432,1.4474714239728217,9,True
7,0.23333333333333334,0.3600000000000002,-0.005419439513004954,0.05407373127401696,0.24979891659512365,-2.305885552698214,-0.5458370938900222,0.020240329437147167,0.21806937035555424,0.299997045852211,1.4683148428445396,9.62603879101448,0.21806937035555424,0.05438140034675598,0.19613193363797068,1.4627012538129314,2,True
8,0.26666666666666666,0.3800000000000002,0.012196153361604557,0.06867161474290667,0.28965996667927124,2.3009275843347776,-1.3587830310369053,1.8050939984690948,0.21275224150171151,0.24012507164698127,1.2442988856765105,9.203754122323206,0.21275224150171151,0.05410600081086159,0.23470965155614196,0.8352094093689177,0,True
9,0.3,0.40000000000000024,0.006161447669756511,0.09374186840547165,0.3248730402048619,1.5683781858747734,-0.5388697197711946,2.7315915594079603,0.19934534633426415,0.26544122338709675,1.1192542506438843,7.038498993486117,0.19934534633426415,0.05283519998192787,0.28160010613252345,1.0304377047241986,2,True
10,0.3333333333333333,0.42000000000000026,-0.018806273625927135,0.13210715372827103,0.329636394374932,2.036508121498766,0.15516241798097807,-3.085278296336289,0.20084886390570264,0.35702630263159835,1.1713071598661051,8.466537177329313,0.20084886390570264,0.05138780176639557,0.3093666871865243,1.5202065561450502,1,True
11,0.36666666666666664,0.4400000000000003,-0.06331200971352888,0.16935567743951177,0.33433192472193834,3.1251087139672746,0.602905747414853,-2.3291785731699086,0.21683348204188993,0.41751049587758193,1.290325693765257,4.425153883939438,0.21683348204188993,0.049587201327085495,0.33752041421950346,2.4825838089099337,13,True
12,0.4,0.4600000000000003,-0.12223947437329065,0.19779724013747468,0.30679457771981866,-2.695426931210798,0.5044710005728931,-1.802189079315133,0.2147105599323184,0.4227717418562348,1.3781203500026016,7.098689286731311,0.2147105599323184,0.048002999275922775,0.3513993016150316,3.034691484180081,11,True
13,0.43333333333333335,0.4800000000000003,-0.16983235715482617,0.2016749592406444,0.30185993199121847,-2.6056012884187463,0.6985399145251405,-1.2804842779943983,0.22147232459885996,0.3687611774344707,1.5103601214330522,9.782516255913878,0.22147232459885996,0.04652699828147888,0.3674683262722271,2.9790084653558013,2,True
14,0.4666666666666667,0.5000000000000003,-0.18859403178514547,0.18603987204042866,0.3435300337202551,-1.6536242347825447,1.455247141979963,0.18353404991445132,0.23878421860577342,0.39135186110676123,2.2035888490747477,14.672968055272992,0.23878421860577342,0.04608960077166557,0.39684380064692765,2.800101295456961,0,True
15,0.5,0.5200000000000004,-0.11405067456414181,0.16136502971118047,0.3643370324309578,1.4576191770639335,0.4971219035955522,3.0968036559722383,0.26673567635757733,0.5105577022669654,3.24740317887079,13.789620773719427,0.26673567635757733,0.04587579891085625,0.39552695944437016,2.4964757336929186,1,True
16,0.5333333333333333,0.5400000000000004,-0.03121717356781576,0.13476153788193945,0.3042688125662601,2.6677414748300086,-0.19281187316932644,-3.026209954843942,0.29449519331201907,0.6293951594529147,3.3982426911924715,12.21799072697706,0.29449519331201907,0.04610919952392578,0.31272306984510845,1.5891484879317452,2,True
17,0.5666666666666667,0.5600000000000004,0.05987773985876885,0.15095984926119052,0.30153476161881004,-3.0834748988754166,-0.4929471217004737,-2.9687802266164205,0.3139618413754246,0.6648116129274989,3.317503691499949,8.21143657639138,0.3139618413754246,0.046448200941085815,0.2958978730581733,1.777171106535066,1,True
18,0.6,0.5800000000000004,0.10231762592266022,0.203183995472305,0.3080457430687464,-2.7511003799841935,-0.5698035094928042,-3.1014501184353946,0.3337334329682368,0.615280144594986,3.3709465504428633,8.814615870469648,0.3337334329682368,0.04684000089764595,0.33682059224785105,1.9075018312039762,2,True
19,0.6333333333333333,0.6000000000000004,0.0980335686379045,0.25046904260135633,0.31116509152983973,-2.5964623616993747,-0.6313843539972515,2.9226099329869797,0.33980372490052263,0.5596394680744514,3.1772693166863237,8.856754226256292,0.33980372490052263,0.04712500050663948,0.37094077570966705,1.8695116774142886,0,True
20,0.6666666666666666,0.6200000000000004,0.07290215172939941,0.2964429006235183,0.32173013235514947,-2.4977579788232105,-0.7279149920284818,2.4073847290967474,0.34087912214194865,0.5174352075906538,2.4076481119174393,8.506169911046179,0.34087912214194865,0.04738239943981171,0.40348346648373334,1.511012499226445,0,True
21,0.7,0.6400000000000005,0.06465555917157026,0.32080744319322685,0.33917468249641236,-2.6603488160939506,-0.907914404218548,2.2147130879456767,0.3289161778325447,0.5347714131368041,1.5184918889162637,7.264985090464531,0.3289161778325447,0.04758460074663162,0.4374159919240765,1.0949191982659987,0,True
