step,reward,action_abs_mean,target_body_error_mean
0,0.010048133321106434,0.04686907306313515,0.3435799181461334
1,0.01224182453006506,0.035259172320365906,0.3606709837913513
2,0.04302816465497017,0.030077533796429634,0.3377702534198761
3,0.022320441901683807,0.024977855384349823,0.3380410373210907
4,0.034320659935474396,0.02663194015622139,0.3408125042915344
5,0.020853035151958466,0.043681301176548004,0.3303968608379364
6,0.005289468914270401,0.045414503663778305,0.3344389796257019
7,0.023994415998458862,0.03728067874908447,0.33581095933914185
8,0.013325040228664875,0.026372121647000313,0.352824866771698
9,0.039176810532808304,0.03310783952474594,0.3445253372192383
10,0.02343278005719185,0.03306353837251663,0.3434886038303375
11,0.02173190750181675,0.04171959310770035,0.33232584595680237
12,0.03666476532816887,0.03357541933655739,0.3355056643486023
13,0.008573846891522408,0.03868170827627182,0.34831568598747253
14,0.02887294813990593,0.04002734646201134,0.3518640697002411
15,0.03638477623462677,0.030574427917599678,0.3300986588001251
16,0.030922412872314453,0.02545357495546341,0.3293605446815491
17,0.03852347284555435,0.024860646575689316,0.3560759723186493
18,0.036076661199331284,0.02477564848959446,0.32835736870765686
19,0.040300752967596054,0.02597758173942566,0.34693267941474915
20,0.02823217585682869,0.034307073801755905,0.3302724361419678
21,0.012881754897534847,0.025576796382665634,0.33552780747413635
22,0.011652418412268162,0.02648884989321232,0.3318499028682709
23,0.022162318229675293,0.023415837436914444,0.35239261388778687
24,0.03635038435459137,0.040609028190374374,0.34024056792259216
25,0.028624121099710464,0.03467801585793495,0.3540840446949005
26,0.04441068321466446,0.031956788152456284,0.3363535404205322
27,0.03043137490749359,0.02684994414448738,0.3515184223651886
28,0.02235942706465721,0.02331020124256611,0.35169097781181335
29,0.011009019799530506,0.04479457810521126,0.3547512888908386
30,0.034061431884765625,0.024976249784231186,0.35361793637275696
31,0.008342333137989044,0.03687083348631859,0.3384196162223816
32,0.021501541137695312,0.033334922045469284,0.3355559706687927
33,0.038947105407714844,0.029289759695529938,0.32262659072875977
34,0.052245140075683594,0.03047342598438263,0.3357302248477936
35,0.013761146925389767,0.0389661081135273,0.3302976191043854
36,0.02786557748913765,0.033975373953580856,0.3551603853702545
37,-0.03626334294676781,0.04737845063209534,0.349335253238678
38,0.011896389536559582,0.03631902113556862,0.3562948703765869
39,0.03459888696670532,0.024289151653647423,0.33613958954811096
40,0.04026389494538307,0.025663096457719803,0.31845882534980774
41,0.027157679200172424,0.042436204850673676,0.3503875434398651
42,0.020288478583097458,0.04140203446149826,0.3541145324707031
43,0.016423817723989487,0.03302207216620445,0.35282638669013977
44,0.03513462468981743,0.029700402170419693,0.3557381331920624
45,0.037366241216659546,0.031789399683475494,0.32375460863113403
46,0.020970776677131653,0.02625410445034504,0.33435896039009094
47,0.025256820023059845,0.023463208228349686,0.33694320917129517
48,0.016793575137853622,0.038838617503643036,0.35924938321113586
49,0.02583160623908043,0.03819592297077179,0.3312142789363861
50,0.03685533255338669,0.019388528540730476,0.33916470408439636
51,0.013890930451452732,0.03361539915204048,0.3398284316062927
52,0.015421407297253609,0.03178451582789421,0.33805301785469055
53,0.042136602103710175,0.02653140015900135,0.33553168177604675
54,-0.01609012857079506,0.033444859087467194,0.33981844782829285
55,0.018103517591953278,0.031830932945013046,0.3513873517513275
