task	mode	window_index	primary_metric	root_xy_final_x	root_xy_final_y	finite
joystick	clean	1540	0.06027974147409307	0.0023633033226077905	-0.002461988065690047	True
joystick	unguided	1540	0.03698639440093364	0.08819328321749026	-0.019712888207543557	True
joystick	offline	1540	0.03691246130707786	0.08839908023305444	-0.019693173339152808	True
joystick	reverse	1540	0.02365739146892491	0.14306439689845651	0.09696983095174191	True
waypoint	clean	1540	0.08848998305722636	0.0023633033226077905	-0.002461988065690047	True
waypoint	unguided	1540	0.06027237267578407	0.08819328321749026	-0.019712888207543557	True
waypoint	offline	1540	0.06022721233502275	0.08803813230853388	-0.019688403686465097	True
waypoint	reverse	1540	0.08463595781572535	0.14265260516991526	0.09690251682314191	True
obstacle_avoidance	clean	1540	-0.2100000073051579	0.0023633033226077905	-0.002461988065690047	True
obstacle_avoidance	unguided	1540	-0.2401716207120549	0.08819328321749026	-0.019712888207543557	True
obstacle_avoidance	offline	1540	-0.19615446052918245	0.08819327432422527	-0.019712888861717074	True
obstacle_avoidance	reverse	1540	-0.22481168165940907	0.1376773412396714	0.09649621573361762	True
inpainting	clean	1540	0.044634149786284404	0.0023633033226077905	-0.002461988065690047	True
inpainting	unguided	1540	0.023576572427016138	0.08819328321749026	-0.019712888207543557	True
inpainting	offline	1540	0.023576345163352806	0.08819348069383566	-0.019712980527887232	True
inpainting	reverse	1540	0.04349291501018025	0.1428137843136316	0.09705053988029443	True
composed_objectives	clean	1540	-0.2100000073051579	0.0023633033226077905	-0.002461988065690047	True
composed_objectives	unguided	1540	-0.2401716207120549	0.08819328321749026	-0.019712888207543557	True
composed_objectives	offline	1540	-0.19615446485223437	0.08824393981957089	-0.019668688144750517	True
composed_objectives	reverse	1540	-0.22481222406903545	0.13777574458356984	0.09626836900105609	True
