variant,step,reward,done,action_abs_mean,target_body_error_mean
base,0,-0.0019198767840862274,1,0.4689195454120636,0.0006694623152725399
base,1,0.02324489876627922,0,0.5009592175483704,0.005494177341461182
base,2,0.038465626537799835,0,0.6088945865631104,0.01434569712728262
base,3,0.029070407152175903,0,0.7422753572463989,0.02664574608206749
base,4,0.02832457795739174,0,0.7530685663223267,0.04345278814435005
base,5,0.02760077640414238,0,0.8039370775222778,0.06385761499404907
base,6,-0.027199704200029373,0,0.28916361927986145,0.08838505297899246
base,7,0.014805298298597336,0,0.2659499943256378,0.11703591793775558
base,8,0.01997874677181244,0,0.3084028363227844,0.14901073276996613
base,9,0.012411937117576599,0,0.38794276118278503,0.18549075722694397
base,10,0.006378183141350746,0,0.3735923767089844,0.22561241686344147
base,11,0.003263905644416809,1,0.4891463816165924,0.00527644157409668
base,12,0.02718348428606987,0,0.4544277787208557,0.0001925187389133498
base,13,0.03435809537768364,0,0.4724085032939911,0.008641958236694336
base,14,0.031128253787755966,0,0.5752306580543518,0.021737558767199516
base,15,0.02868359535932541,0,0.5905609130859375,0.03866969794034958
base,16,0.025243841111660004,0,0.6204553842544556,0.05940792337059975
base,17,-0.0011128969490528107,0,0.24729791283607483,0.08438895642757416
base,18,0.02113373577594757,0,0.2878926694393158,0.11279613524675369
base,19,0.018546003848314285,0,0.3006534278392792,0.14551959931850433
base,20,0.013183746486902237,0,0.3730544149875641,0.18215274810791016
guided,0,0.022880446165800095,0,0.4689195454120636,0.004587492905557156
guided,1,0.04298338666558266,0,0.5009592175483704,0.01232728362083435
guided,2,0.038232430815696716,0,0.6088945865631104,0.024333234876394272
guided,3,0.025235634297132492,0,0.7422753572463989,0.03987293317914009
guided,4,0.0282684825360775,0,0.7530685663223267,0.05934898927807808
guided,5,0.02643756940960884,0,0.8039370775222778,0.08285652101039886
guided,6,-0.02722027152776718,0,0.28916361927986145,0.11058114469051361
guided,7,0.013897132128477097,0,0.2659499943256378,0.1421617716550827
guided,8,0.01856502890586853,0,0.3084028363227844,0.1774376630783081
guided,9,0.011730782687664032,0,0.38794276118278503,0.21647249162197113
guided,10,0.00516924075782299,1,0.3735923767089844,0.0016369478544220328
guided,11,0.02213067188858986,0,0.4891463816165924,0.0007701686699874699
guided,12,0.03582838550209999,0,0.4544277787208557,0.006866753101348877
guided,13,0.030863162130117416,0,0.4724085032939911,0.017342964187264442
guided,14,0.028811734169721603,0,0.5752306580543518,0.03140304237604141
guided,15,0.024793948978185654,0,0.5905609130859375,0.05008404701948166
guided,16,0.018771130591630936,0,0.6204553842544556,0.07308737188577652
guided,17,-0.007386807352304459,0,0.24729791283607483,0.09966182708740234
guided,18,0.01396176964044571,0,0.2878926694393158,0.1301732361316681
guided,19,0.010951714590191841,0,0.3006534278392792,0.16483436524868011
guided,20,0.004776107147336006,0,0.3730544149875641,0.20389540493488312
teacher,0,0.005208935588598251,0,0.4705647826194763,0.0073532587848603725
teacher,1,0.04243556782603264,0,0.5344019532203674,0.0021449837367981672
teacher,2,0.03702927008271217,0,0.6280843615531921,0.0071855271235108376
teacher,3,0.03536248952150345,0,0.6952653527259827,0.02041410468518734
teacher,4,0.032480183988809586,0,0.7546279430389404,0.03803369775414467
teacher,5,0.030094735324382782,0,0.8229408264160156,0.059331245720386505
teacher,6,-0.032455071806907654,0,0.08743831515312195,0.08443265408277512
teacher,7,0.023773808032274246,0,0.1631108671426773,0.11313582956790924
teacher,8,0.020778190344572067,0,0.215934619307518,0.14655807614326477
teacher,9,0.0178670771420002,0,0.28480279445648193,0.1836155503988266
teacher,10,0.013527043163776398,0,0.32560449838638306,0.22434379160404205
teacher,11,0.008891450241208076,1,0.3877526819705963,0.0016560852527618408
teacher,12,0.028460443019866943,0,0.4430061876773834,0.0005072823842056096
teacher,13,0.04562518373131752,0,0.5045772194862366,0.0036331501323729753
teacher,14,0.04337162896990776,0,0.5602555871009827,0.0105431592091918
teacher,15,0.041799627244472504,0,0.6179301738739014,0.021428529173135757
teacher,16,0.03856595978140831,0,0.6829952597618103,0.03617159649729729
teacher,17,-0.006135296076536179,0,0.07906453311443329,0.05487613007426262
teacher,18,0.034006282687187195,0,0.15417957305908203,0.07745052129030228
teacher,19,0.029964376240968704,0,0.22911755740642548,0.10393118113279343
teacher,20,0.027465540915727615,0,0.3082568049430847,0.13433660566806793
