frame,motion_time_step,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,action_abs_mean,action_abs_max,target_abs_mean,joint_error_to_policy_target_abs_mean,joint_error_to_reference_abs_mean,joint_velocity_abs_mean,root_position_error_m,root_target_z,contact_count,fall_proxy,motion_anchor_pos_b_norm,base_lin_vel_b_norm,base_ang_vel_b_norm,joint_pos_rel_abs_mean,joint_vel_rel_abs_mean
0,286550,0.12000000000000004,0.002924071204141592,-0.00568061776284003,0.7747500957882142,0.019573862777402688,-0.004316974452986883,-1.3441915160954518,0.3758413891853957,1.7576348781585693,0.23522460864117514,0.24446075090295316,0.03302854315152243,1.5707403507880842,0.01589519706436063,0.7903743982315063,5,False,0.016266894495246213,0.13134072311518372,0.04762200990454104,0.21013105653186168,0.18171416124438436
1,286551,0.14000000000000004,0.00408286150339208,-0.008098537265053926,0.7754248270685986,0.013155540341796883,0.009851824184456131,-1.339848902879706,0.6601373303424696,3.866973400115967,0.2766035833786737,0.24648038715456172,0.06050997093699597,1.5167793206911928,0.015315437850882435,0.7904356122016907,2,False,0.016290381365267136,0.15212610590120715,1.4133972736091307,0.18633903278415334,1.5707403507880842
2,286552,0.16000000000000006,0.005662796058883426,-0.010249516863117975,0.776164779247431,0.0064507388291815335,0.02288767574480941,-1.3400820790255925,0.885413938041391,5.244487285614014,0.3225618688665563,0.254613744239451,0.09034321973527346,1.4777828413272238,0.014615229651224726,0.7904580235481262,2,False,0.016319116543555036,0.1511536840276091,0.8652707363414834,0.16939689906432853,1.5167793206911928
3,286553,0.18000000000000008,0.007571189010721445,-0.01196147085824774,0.7768653364971779,0.0039520495193454755,0.034943554139248205,-1.3422642563655285,1.019884914673608,5.719656944274902,0.34517513469665845,0.24512816738136442,0.1180567381674349,1.3476938817635469,0.013914484833847395,0.790461003780365,2,False,0.016560314671562194,0.13610181995905285,0.6310927546976939,0.15895824629206434,1.4777828413272238
4,286554,0.2000000000000001,0.00998840036412746,-0.013286089584547632,0.7776207331790376,0.004844608258807265,0.04806901099688446,-1.3439104640972026,1.110574561524494,5.805764675140381,0.36052512646179635,0.2322549508147009,0.14246672227453958,1.214670062855469,0.013191709890180144,0.7904387712478638,2,False,0.01696198326563351,0.13312659064747853,0.48143463638973555,0.15223161828046955,1.3476938817635469
5,286555,0.2200000000000001,0.012794106549546696,-0.014351215846890402,0.7785038479677581,0.00790782760888627,0.06254236858485868,-1.345260655659557,1.169481943907409,5.833530426025391,0.3715891507341723,0.22134663805568752,0.163818336288174,1.1536460282920695,0.012359738120752892,0.7904137969017029,1,False,0.017502872024359482,0.14635090183965177,0.5751416838677796,0.1477975358582286,1.214670062855469
6,286556,0.24000000000000013,0.015741941129206,-0.015320823350962512,0.7795218134737889,0.01173330380018826,0.07784369331581542,-1.346820544939285,1.2032703107287144,5.7551703453063965,0.3788716864480531,0.2090668604852877,0.1838763655087585,1.1201994879677608,0.011376758784186137,0.7903832197189331,1,False,0.018264249601989108,0.15837883308464173,0.6953462427692837,0.14900074170809105,1.1536460282920695
7,286557,0.2600000000000001,0.01866378107857455,-0.016357819865625546,0.7805968975977194,0.015942175416981008,0.09254584876560429,-1.3487362385363246,1.2205438845116516,5.578577995300293,0.3844326588403336,0.19961514519262477,0.20278506849062372,1.0808208371629768,0.010288122413150684,0.7903445959091187,1,False,0.019283723549135066,0.16357150875454785,0.7644447646512313,0.1502748721513715,1.1201994879677608
8,286558,0.28000000000000014,0.02158604116078536,-0.017595546306345307,0.7815845274240344,0.019987525833563318,0.10571968897081482,-1.351058593516084,1.2237850779603268,5.389542579650879,0.38795576260484504,0.19338750880205194,0.2219170016718453,1.0303979605548876,0.009263179722967193,0.7903019785881042,1,False,0.02057091042453044,0.1640544175555897,0.7393113331366138,0.15409341114986083,1.0808208371629768
9,286559,0.30000000000000016,0.024650122193152102,-0.019149932125523097,0.7823732829853981,0.023262192133978694,0.11654547754573583,-1.3540461603924991,1.223258567781284,5.250397205352783,0.3898970267094658,0.19019470545309472,0.24088415719922873,0.9684570182313751,0.008432039979029275,0.7902359962463379,1,False,0.02222831471655038,0.16846785348579207,0.6703659218445783,0.16230171576888067,1.0303979605548876
