joint_index	joint_name	default_joint_pos	action_scale	raw_action_mean	raw_action_abs_mean	raw_action_abs_max	teacher_target_mean	reference_target_mean	target_abs_gap_mean	target_abs_gap_max	target_signed_gap_mean	corr_teacher_reference	corr_action_reference_delta	corr_teacher_delta_reference_delta	best_linear_gain_teacher_delta_to_ref_delta	sign_flip_improves_mean_abs_gap	ctrl_min	ctrl_max
3	left_knee_joint	0.669	0.3506614663788243	2.5689642429351807	2.5689642429351807	3.9334042072296143	1.4749419108567154	0.2456833725174268	1.2292585383392889	1.4789333937730085	1.2292585383392889	0.5814848881792869	0.5335593556055795	0.5814848881792867	-0.45843058647464824	True	-0.087267	2.8798
8	right_hip_yaw_joint	0.0	0.5475464652142303	-2.1926255226135254	2.9953672885894775	7.017084121704102	-0.6384305104217963	0.014305406607066591	1.105486257316078	1.6231699992716313	-0.6527359170288629	-0.9357409225590029	-0.9665571912998852	-0.9357409225590029	-0.02594111356216856	True	-1.57	1.57
22	right_shoulder_pitch_joint	0.2	0.43857731392336724	-3.976008176803589	3.976008176803589	4.962553977966309	-1.0617430549840197	0.015692473229622313	1.0774355282136419	1.1669257415936243	-1.0774355282136419	-0.2695884619589317	0.2055912001923233	-0.26958846195893144	0.1422429602395645	False	-3.0892	1.149
24	right_shoulder_yaw_joint	0.0	0.43857731392336724	-1.0067447423934937	1.0067447423934937	1.7714418172836304	-0.44153539229047567	0.44936102628707886	0.8908964185775544	1.2341576067288609	-0.8908964185775544	-0.20787702924940085	-0.20787702924940085	-0.20787702924940085	-0.848056325857136	True	-2.0	1.4
0	left_hip_pitch_joint	-0.312	0.5475464652142303	-1.333366870880127	1.5332945585250854	4.0115838050842285	-0.877716977662305	0.00821005340355138	0.8899584108996338	1.5777757998369635	-0.8859270310658565	0.6873296929694027	0.6609592980297269	0.6873296929694028	-0.2632087414897137	True	-1.57	1.57
17	left_shoulder_yaw_joint	0.0	0.43857731392336724	0.5857011079788208	0.5857011079788208	1.0678032636642456	0.2568752208777284	-0.596246353785197	0.8531215746629253	1.0967732639220755	0.8531215746629253	-0.8401763302524032	-0.8401763302524035	-0.8401763302524032	-1.9865864329972038	True	-1.4	2.0
19	left_wrist_roll_joint	0.0	0.43857731392336724	-0.08813201636075974	0.28501665592193604	0.7637335062026978	-0.03865269889435224	0.7191499670346578	0.7578026659290099	0.9496544232753484	-0.7578026659290099	-0.36984818175863077	-0.3698481817586309	-0.36984818175863077	-1.162968019739188	True	-1.97222	1.97222
1	left_hip_roll_joint	0.0	0.3506614663788243	2.085157632827759	2.1160645484924316	3.8509347438812256	0.6677347016720013	-0.04821544686953227	0.7180479439236999	1.1057667988802682	0.7159501485415336	-0.81797828054012	-0.7553129863637618	-0.81797828054012	-0.05020130507979087	True	-0.5236	1.57
12	waist_yaw_joint	0.0	0.5475464652142303	0.6588499546051025	1.1459249258041382	1.977357029914856	0.3607509632066415	0.0014915866777300835	0.6258280657629524	1.0813418521385272	0.35925937652891143	0.9343822544198818	0.9343822544198819	0.9343822544198818	0.00256293611503831	False	-1.57	1.57
4	left_ankle_pitch_joint	-0.33	0.43857731392336724	-2.1722261905670166	2.1722261905670166	2.9440975189208984	-0.865751590550607	-0.26921610633532206	0.5965354842152849	0.6144008092117309	-0.5965354842152849	0.27168155154114626	0.36251469672747544	0.27168155154114637	-0.11279952613362694	True	-0.87267	0.5236
25	right_elbow_joint	0.6	0.43857731392336724	1.8188327550888062	1.8188327550888062	2.4053781032562256	1.3976987266919472	0.8229867915312449	0.5781032596134957	0.8320198919621418	0.5747119351607026	0.16081005287922467	0.16081005287922467	0.16081005287922465	0.25310263903309715	False	-1.0472	1.7
10	right_ankle_pitch_joint	-0.33	0.43857731392336724	-2.4548776149749756	2.4548776149749756	4.057704925537109	-0.8252653913898698	-0.2665042062600454	0.5587611851298245	0.6078665904235839	-0.5587611851298245	0.692401342268231	0.39182002646852326	0.6924013422682309	-0.12342872488507285	True	-0.87267	0.5236
26	right_wrist_roll_joint	0.0	0.43857731392336724	-0.6586948037147522	0.6586948037147522	0.8105383515357971	-0.2888885924802466	-0.8152729451656342	0.5263843526853874	0.7055037180611169	0.5263843526853874	0.6390989641538554	0.6390989641538554	0.6390989641538554	2.7035719662862903	False	-1.97222	1.97222
6	right_hip_pitch_joint	-0.312	0.5475464652142303	1.0279878377914429	1.0414628982543945	2.084406852722168	0.25087118264336233	-0.07587491342176994	0.42474756658181595	0.938566701018327	0.32674609606513233	0.2142673866081185	0.2142673866081185	0.21426738660811864	0.2839536923378704	False	-1.57	1.57
15	left_shoulder_pitch_joint	0.2	0.43857731392336724	0.4820757806301117	0.4820757806301117	0.7691497802734375	0.41142750075842116	-0.013095039967447519	0.4245225407258687	0.5495130449584964	0.4245225407258687	0.06484620782016061	0.0648462078201606	0.06484620782016061	-0.8764281634479372	True	-3.0892	1.149
2	left_hip_yaw_joint	0.0	0.5475464652142303	-0.4848261773586273	0.5122426748275757	1.5972967147827148	-0.26546485669837805	0.15218880027532578	0.4176536569737039	0.9851501690585772	-0.4176536569737039	0.6476089497724149	0.6476089497724152	0.6476089497724149	-0.24440029140785582	True	-1.57	1.57
9	right_knee_joint	0.669	0.3506614663788243	-4.023237705230713	4.023237705230713	6.8523850440979	0.01023061983852585	0.4051519642273585	0.40250876253988616	0.5460305993957519	-0.3949213443888326	0.6492559025526926	0.6727154028457136	0.6492559025526927	0.38227962422055717	False	-0.087267	2.8798
7	right_hip_roll_joint	0.0	0.3506614663788243	-1.1713500022888184	1.2828829288482666	2.347358226776123	-0.41074726590157756	-0.10915758709112804	0.38028819107739353	0.7132064809733799	-0.30158967881044957	0.04991130266638552	0.04991130266638549	0.04991130266638552	0.16888754287497376	False	-1.57	0.5236
23	right_shoulder_roll_joint	-0.2	0.43857731392336724	0.8169839978218079	0.8169839978218079	1.4423930644989014	0.1583106668889964	-0.14767814725637435	0.3059888141453707	0.5788898817252097	0.3059888141453707	0.6030407266064284	0.6030407266064287	0.6030407266064284	0.1175999059892857	False	-2.2515	0.6
18	left_elbow_joint	0.6	0.43857731392336724	0.07488945126533508	0.1760549247264862	0.42358800768852234	0.6328448206946131	0.9369335571924845	0.3040887364978715	0.4443580581231672	-0.3040887364978715	-0.7801100604060012	-0.7801100604060007	-0.7801100604060013	1.2220912178230672	False	-1.0472	1.7
27	right_wrist_pitch_joint	0.0	0.07450087032950714	-0.31450381875038147	0.3764450252056122	0.7921338677406311	-0.023430805707143794	0.2253726214170456	0.2488034271241894	0.2861056620482179	-0.2488034271241894	-0.7733723214367504	-0.7733723214367504	-0.7733723214367504	-4.734261626461747	True	-1.61443	1.61443
11	right_ankle_roll_joint	0.0	0.43857731392336724	-0.17040462791919708	0.8201791644096375	1.8606789112091064	-0.08174615592828843	0.06758314706385135	0.24713419641486362	0.3304696022748947	-0.14932930299213978	0.49561324715690175	0.49759991508228335	0.49561324715690175	-0.09541193851295567	True	-0.2618	0.2618
5	left_ankle_roll_joint	0.0	0.43857731392336724	-1.1039142608642578	1.1244633197784424	2.777219295501709	-0.18224593509215295	0.04158888676514228	0.2251262299797286	0.3066804013431072	-0.22383482185729522	0.7840667492669084	0.5987974198551395	0.7840667492669084	-0.15326189682297142	True	-0.2618	0.2618
13	waist_roll_joint	0.0	0.43857731392336724	-0.2826535105705261	0.4666026830673218	1.1298625469207764	-0.12396543475560626	-0.025336946857472262	0.19431263219423867	0.45867328013247405	-0.098628487898134	0.8210211296989415	0.8210211296989415	0.8210211296989415	0.06682213335922209	False	-0.52	0.52
21	left_wrist_yaw_joint	0.0	0.07450087032950714	-5.419120788574219	5.419120788574219	7.006052017211914	-0.21372696314269485	-0.020978673246766753	0.1927482898959281	0.23827421124240145	-0.1927482898959281	0.16537494015433837	-0.21779797099103537	0.16537494015433837	0.09976296854815968	False	-1.61443	1.61443
16	left_shoulder_roll_joint	0.2	0.43857731392336724	0.19383907318115234	0.19383907318115234	0.45334962010383606	0.28501342936200336	0.15933829347292583	0.1256751358890775	0.24279285422922425	0.1256751358890775	-0.46045972870522534	-0.46045972870522534	-0.46045972870522545	-0.3489453210443432	True	-0.6	2.2515
14	waist_pitch_joint	0.0	0.43857731392336724	0.2572883665561676	0.37928035855293274	0.5803255438804626	0.11284083242987375	0.11730124031503995	0.12433411288481262	0.3775190148922469	-0.004460407885166172	-0.23057736000839385	-0.23057736000839393	-0.23057736000839385	0.3761269208741723	False	-0.52	0.52
28	right_wrist_yaw_joint	0.0	0.07450087032950714	-0.9673592448234558	0.9705116748809814	1.417372226715088	-0.0720691049667988	0.04199481380249684	0.11406391876929564	0.16507095387362167	-0.11406391876929564	0.3462252861590984	0.3462252861590986	0.3462252861590984	-0.4412729531031352	True	-1.61443	1.61443
20	left_wrist_pitch_joint	0.0	0.07450087032950714	1.363305687904358	1.363305687904358	1.766741156578064	0.10156746715696886	0.04324066005647183	0.05930263745839891	0.08660328798693795	0.05832680710049704	0.17788135718464593	0.17788135718464593	0.17788135718464593	0.40397702998738444	False	-1.61443	1.61443
