item_name	detected_path	type	size	git_remote	git_commit	git_branch	archive_hash	usable	duplicate	selected_copy	notes
sphinxemoji-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/sphinxemoji-license.txt	documentation	1568					unknown	no	yes	isaaclab
stable-baselines3-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/stable-baselines3-license.txt	documentation	1096					unknown	no	yes	isaaclab
tensorboard-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/tensorboard-license.txt	documentation	11619					unknown	yes	yes	isaaclab; duplicate_name
tensordict-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/tensordict-license.txt	documentation	1119					unknown	yes	yes	isaaclab; duplicate_name
tinyxml-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/tinyxml-license.txt	documentation	826					unknown	no	yes	isaaclab
toml-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/toml-license.txt	documentation	1280					unknown	no	yes	isaaclab
torch-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/torch-license.txt	documentation	1560					unknown	yes	no	isaaclab; duplicate_name
torchvision-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/torchvision-license.txt	documentation	1545					unknown	yes	yes	isaaclab; duplicate_name
transformers-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/transformers-license.txt	documentation	11621					unknown	no	yes	isaaclab
trimesh-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/trimesh-license.txt	documentation	1111					unknown	no	yes	isaaclab
urdfdom-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/urdfdom-license.txt	documentation	1803					unknown	no	yes	isaaclab
walk-these-ways-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/walk-these-ways-license.txt	documentation	1291					unknown	no	yes	isaaclab
wandb-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/wandb-license.txt	documentation	1102					unknown	no	yes	isaaclab
warp-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/warp-license.txt	documentation	4108					unknown	no	yes	isaaclab
zlib-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/zlib-license.txt	documentation	1133					unknown	no	yes	isaaclab
requirements.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/requirements.txt	documentation	332					unknown	yes	yes	isaaclab; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab/docs/README.md	documentation	843					unknown	yes	no	isaaclab; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_assets/docs/README.md	documentation	1948					unknown	yes	no	isaaclab; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/docs/README.md	documentation	2944					unknown	yes	no	isaaclab; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/README.md	documentation	1406					unknown	yes	no	isaaclab; duplicate_name
humanoid_dance.npz	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/humanoid_dance.npz	data_or_checkpoint	910662					unknown	no	yes	isaaclab
humanoid_run.npz	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/humanoid_run.npz	data_or_checkpoint	87382					unknown	no	yes	isaaclab
humanoid_walk.npz	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/direct/humanoid_amp/motions/humanoid_walk.npz	data_or_checkpoint	159670					unknown	no	yes	isaaclab
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/manager_based/locomotion/velocity/config/spot/README.md	documentation	565					unknown	yes	no	isaaclab; duplicate_name
