variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.009245825931429863,1,0.09671317040920258,0.004336182493716478,0.0008314326405525208,0.004169757477939129,0.004169659223407507,0.0034488236997276545,0.3740706145763397,0.3740016222000122
teacher,1,0.040852468460798264,0,0.12016147375106812,0.0005268327076919377,0.0015227122930809855,0.013555478304624557,0.013555290177464485,0.009937318041920662,0.42764338850975037,0.4276103079319
teacher,2,0.03436523303389549,0,0.2220364362001419,0.007099087815731764,0.005397902335971594,0.010646789334714413,0.010646697133779526,0.004773563705384731,1.380906581878662,1.3808485269546509
teacher,3,0.03362488001585007,0,0.2827659845352173,0.018460724502801895,0.0021369438618421555,0.011525655165314674,0.011525572277605534,0.007541351020336151,1.2921233177185059,1.292063593864441
teacher,4,0.02877146005630493,0,0.3604309558868408,0.03376350179314613,0.0019145808182656765,0.006764038000255823,0.0067640128545463085,0.004866336937993765,0.7304655313491821,0.7304221391677856
teacher,5,0.025600720196962357,0,0.43183261156082153,0.05266052857041359,0.004167092032730579,0.00954178161919117,0.009541712701320648,0.0037160099018365145,1.4469276666641235,1.4468590021133423
teacher,6,0.021966073662042618,0,0.5091754794120789,0.07604854553937912,0.00349948788061738,0.009389535523951054,0.00938951876014471,0.006339152343571186,0.8573156595230103,0.8572602272033691
teacher,7,0.018266964703798294,0,0.5946382880210876,0.10374204069375992,0.0011755158193409443,0.010202009230852127,0.010201768949627876,0.006591430865228176,0.7835234999656677,0.7834625840187073
teacher,8,0.014381330460309982,0,0.6705612540245056,0.13767899572849274,0.003078906796872616,0.018880875781178474,0.01888069324195385,0.011851503513753414,0.995064377784729,0.9949997663497925
teacher,9,0.011424530297517776,0,0.7345333695411682,0.17630444467067719,0.0035011174622923136,0.006923037115484476,0.0069230301305651665,0.007663254626095295,1.6151820421218872,1.6151236295700073
teacher,10,0.006983671337366104,0,0.8182361125946045,0.21611420810222626,0.002713424153625965,0.006426688749343157,0.006426610983908176,0.004207502119243145,0.8920930624008179,0.8920380473136902
