mode	action_mode	done_rate	reward_mean	before_endpoint_done_rate	after_endpoint_done_rate	after_body_error_mean	after_joint_pos_error_mean	after_joint_vel_error_mean	after_action_abs_mean
official_reset	zero	1.0	0.0237712562084198	1.0	0.26953125	0.1509433537721634	0.9327948689460754	0.644939661026001	0.0
official_reset	policy	0.5078125	0.027123596519231796	0.5	0.1796875	0.14942720532417297	0.9564528465270996	12.31811809539795	0.07051043957471848
official_reset_target_refresh	zero	0.28515625	0.033379875123500824	0.26171875	0.078125	0.14974839985370636	0.998088002204895	16.9989013671875	0.0
official_reset_target_refresh	policy	0.33203125	0.032367199659347534	0.31640625	0.11328125	0.14815855026245117	0.9855404496192932	15.347245216369629	0.09735707938671112
deterministic_reset_target_refresh	zero	0.3984375	0.038006480783224106	0.390625	0.1171875	0.14359880983829498	0.8943828344345093	11.851893424987793	0.0
deterministic_reset_target_refresh	policy	0.453125	0.03521870821714401	0.4375	0.17578125	0.1480797678232193	0.8861483335494995	11.510969161987305	0.08164672553539276
deterministic_motion_state	zero	0.4921875	-0.02209804207086563	0.46875	0.21484375	0.15324905514717102	0.8386430144309998	17.332820892333984	0.0
deterministic_motion_state	policy	0.55078125	-0.024065259844064713	0.51953125	0.28125	0.1534680277109146	0.8028693199157715	14.773418426513672	0.08018557727336884
