frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.01623998676592372,-0.05455537855328125,0.07985687884532956,2.316351259471414,-0.8206497435712187,3.0387542335946702,0.17214339687716718,0.19230404087997024,0.953804408894362,6.290995761990063,0.17214339687716718,0.05123699828982353,0.05972780465330536,0.7368807971466126,2,True
1,0.03333333333333333,0.24000000000000013,0.002619937366452162,-0.0559845731807104,0.09780383109470638,-2.9983340445547277,-0.8947429611245827,1.916071538851955,0.19745035826808002,0.24438438144787641,1.120108031478693,6.5924213828444715,0.19745035826808002,0.0516510009765625,0.07044920622192996,0.6702287597781251,4,True
2,0.06666666666666667,0.2600000000000001,0.0008582070491978703,-0.045425902283621346,0.1269654532184125,-2.073491621510459,-1.1796482933801802,0.3012157672962781,0.20532399429033832,0.20102506247785612,0.9200006754906895,12.1259110578972,0.20532399429033832,0.052117399871349335,0.07877988585905547,0.49842524251216475,0,True
3,0.1,0.28000000000000014,0.006673763141471232,-0.037777645337169534,0.19477821470504691,-0.2792770821552301,-0.7514486929744347,-1.9543088215931241,0.2098315729764921,0.2852550923686352,1.5426486165432967,8.244894096380547,0.2098315729764921,0.05260999873280525,0.13682714374595223,1.1816712426865428,0,True
4,0.13333333333333333,0.30000000000000016,0.001479490155816866,-0.010341671385584906,0.20799412311629858,0.9781031300969043,-1.084694916283697,-2.7343808370618587,0.21749559181282774,0.21101035199879029,1.5735238802392706,12.373436969195554,0.21749559181282774,0.05321719869971275,0.15763080782791652,0.8994944228461643,1,True
5,0.16666666666666666,0.3200000000000002,-0.027140796818900848,-0.005244291984307384,0.21835329235167003,2.984283409195459,-0.7060649794841009,1.7733286301782538,0.2042464839983167,0.2716171513570572,1.2270343980605771,7.855771610662533,0.2042464839983167,0.05381060019135475,0.15724470221981304,0.5827882681437317,0,True
6,0.2,0.3400000000000002,-0.07890674156334038,0.010104803134216472,0.2563935475386484,-2.7142117534368553,0.019822928236375183,1.0625811694813132,0.19970497343072272,0.3730405062958825,1.5482502843151695,9.997890567391513,0.19970497343072272,0.054376401007175446,0.2052148295781494,1.2971143232026525,0,True
7,0.23333333333333334,0.3600000000000002,-0.12974303281066948,0.026089197798835992,0.29114478099867463,-2.4893604922218557,0.40838154940371274,0.4107140048428003,0.20191393622698434,0.4304371356198814,1.9047651311116742,7.047531830691389,0.20191393622698434,0.05438140034675598,0.25856150410644974,1.9018773858707991,3,True
8,0.26666666666666666,0.3800000000000002,-0.1473212521531564,0.015813239991616775,0.33598097267949883,-2.464241553036413,-0.12522971422877516,-0.6206088882102351,0.19286589047615035,0.3670375621951826,1.5585977168354672,12.864627154955247,0.19286589047615035,0.05410600081086159,0.31018732662289716,2.0901705713974628,1,True
9,0.3,0.40000000000000024,-0.1421298904090665,0.005621657112800205,0.3875140112015923,-2.2876205476074443,-0.5459189504452505,-1.577160361380413,0.18504187716813364,0.47156517696440353,1.7356654920885988,7.97120520666843,0.18504187716813364,0.05283519998192787,0.3530145384799749,2.4487996345177865,0,True
10,0.3333333333333333,0.42000000000000026,-0.12791342058447747,0.035290422493753866,0.4522146957290442,-2.620068723899865,0.0890507792696602,-2.101721013030866,0.19049075972843846,0.5285785836169447,2.282980922360883,7.345835523831496,0.19049075972843846,0.05138780176639557,0.4089734949130965,3.117010057890995,0,True
11,0.36666666666666664,0.4400000000000003,-0.08754655249042305,0.06184445990373352,0.5415536337101345,2.506802994964835,0.5698736081241934,3.0372463498291813,0.19587117051798833,0.565778798550406,2.213093364587569,7.050880983038637,0.19587117051798833,0.049587201327085495,0.4840888450079958,2.287672912443028,3,True
12,0.4,0.4600000000000003,-0.05573826552885398,0.025210307064933345,0.579069542969492,1.7536650069052386,0.39503099046036577,1.6001662114499249,0.20228290077708846,0.5488237950701552,1.835434789265519,11.603222769934312,0.20228290077708846,0.048002999275922775,0.540573596147392,2.110031355616767,0,True
13,0.43333333333333335,0.4800000000000003,-0.049302700803280315,0.06622508307065586,0.523694625242072,2.9314132150712813,1.305739639357268,1.796634816403215,0.21231008000782484,0.5787417673416096,2.0047713908570057,22.00715126380126,0.21231008000782484,0.04652699828147888,0.4971964120797789,2.6447918524909415,0,True
14,0.4666666666666667,0.5000000000000003,-0.01973146718520901,0.16724391261136579,0.49197074498876847,-1.8464718497174586,0.7847494849807392,2.7727293294262685,0.23224571348465894,0.6009874203176802,2.8307849694071603,10.281608833942649,0.23224571348465894,0.04608960077166557,0.4761023147877388,2.7570940763495493,8,True
15,0.5,0.5200000000000004,0.01541254632225805,0.24837217344418927,0.49966340573707635,-1.9807514669472273,0.5653462861081443,1.805254861598304,0.2647828640120135,0.560141491416146,2.2953410223355335,12.105358306834667,0.2647828640120135,0.04587579891085625,0.5065160298230694,2.347503664240787,4,True
16,0.5333333333333333,0.5400000000000004,0.1454999794161649,0.29224298972897067,0.5201859293735704,-2.3315386238315297,0.6588096987136106,-0.013027271955547887,0.2918799140322577,0.5166854735333315,2.180736480880399,16.021254461795934,0.2918799140322577,0.04610919952392578,0.5695102806744361,2.123570621370777,0,True
17,0.5666666666666667,0.5600000000000004,0.22479028302409906,0.2834840100935194,0.4904000564597029,1.5459877981192,1.0054322242232814,3.1088974359420747,0.2986512378821099,0.4457474659740667,2.148208766791594,27.033650352961857,0.2986512378821099,0.046448200941085815,0.5542274213483556,3.1070566266589754,0,True
18,0.6,0.5800000000000004,0.17011180364585826,0.34030178249580556,0.4475467809482431,2.012772078059675,-0.046400205108875575,2.574793277255975,0.3196248710457155,0.5918522181323795,2.361077383246011,29.677287383106293,0.3196248710457155,0.04684000089764595,0.5311387368045609,1.5836085472090746,10,True
19,0.6333333333333333,0.6000000000000004,0.5231909716557688,0.5212313430281222,0.6573007668869193,0.9569803080233573,1.1174038610586958,-0.9057512210884717,0.32211908755703467,0.9432432091577166,2.593848989870568,76.83614478842846,0.32211908755703467,0.04712500050663948,0.7856304489526688,2.926515226146736,8,False
20,0.6666666666666666,0.6200000000000004,0.844172188799853,1.3804116339908143,0.5178234337131343,-1.7768504851588962,-0.5287354608465438,1.8108495036926213,0.3147667241024712,2.2604438013157604,10.61105231470097,140.28072436991266,0.3147667241024712,0.04738239943981171,1.6016720326338418,2.20027032753193,48,True
