micro_step	scaled_total_loss	unscaled_total_loss	reconstruction_loss	kl_loss	teacher_action_norm	grad_norm_after_backward
1	0.0008996786782518029	0.013495179824531078	0.013426147401332855	0.006903252564370632	0.7438312768936157	0.016434190794825554
2	0.0012488928623497486	0.018733393400907516	0.018682701513171196	0.005069230683147907	0.7584776282310486	0.028155002743005753
3	0.0008784333476796746	0.013176499865949154	0.013130181469023228	0.004631873220205307	0.7939789295196533	0.03403064236044884
4	0.0011885090498253703	0.017827635630965233	0.01777687482535839	0.005076062399893999	0.7457473278045654	0.04153963550925255
5	0.0009561951155774295	0.014342926442623138	0.014292211271822453	0.00507154269143939	0.6618261933326721	0.046202272176742554
6	0.0013155967462807894	0.01973395049571991	0.019681354984641075	0.005259480327367783	0.721376359462738	0.05295063555240631
7	0.0010652452474460006	0.015978679060935974	0.01592959649860859	0.004908272065222263	0.6309074759483337	0.057563088834285736
8	0.0013759430730715394	0.020639145746827126	0.020579207688570023	0.005993890576064587	0.8377156257629395	0.0635441467165947
9	0.0009204030502587557	0.013806045986711979	0.01375561859458685	0.005042749457061291	0.6604068875312805	0.06674498319625854
10	0.000984927057288587	0.014773906208574772	0.014714439399540424	0.005946674849838018	0.5895657539367676	0.07083916664123535
11	0.0010811049723997712	0.016216574236750603	0.016151882708072662	0.00646906066685915	0.7781924605369568	0.07522482424974442
12	0.0011972052743658423	0.017958078533411026	0.017900878563523293	0.005720007698982954	0.7884439826011658	0.07946760207414627
13	0.0013093421002849936	0.019640130922198296	0.019574414938688278	0.006571582052856684	0.7599501609802246	0.08308675140142441
14	0.0011652230750769377	0.017478346824645996	0.0174147617071867	0.006358563434332609	0.726169764995575	0.08733644336462021
15	0.0010467086685821414	0.015700630843639374	0.015629198402166367	0.007143180351704359	0.8447147607803345	0.09209133684635162
