step,reward,action_abs_mean,target_body_error_mean
0,0.027829967439174652,0.1881285309791565,0.18428990244865417
1,0.018861431628465652,0.18368031084537506,0.187378391623497
2,-0.009385506622493267,0.399398535490036,0.19003260135650635
3,-0.013988719321787357,0.583938479423523,0.19128727912902832
4,-0.010500355623662472,0.7467363476753235,0.18929241597652435
5,-0.013680550269782543,0.9103694558143616,0.18781466782093048
6,-0.015609310008585453,1.0392214059829712,0.18817290663719177
7,-0.017980601638555527,1.1513019800186157,0.19137950241565704
8,-0.020522136241197586,1.2371021509170532,0.19889946281909943
9,-0.02690398320555687,1.320879578590393,0.11025775223970413
10,0.044653646647930145,0.20364496111869812,0.1060023382306099
11,0.04279503598809242,0.35527440905570984,0.10709228366613388
12,0.04523422569036484,0.481521338224411,0.10825955867767334
13,0.04539838433265686,0.5973391532897949,0.10960077494382858
14,0.04540292173624039,0.690278172492981,0.11203298717737198
15,0.042335815727710724,0.7628010511398315,0.11621012538671494
16,0.039304956793785095,0.8320720195770264,0.12278997153043747
17,0.0362476110458374,0.9122007489204407,0.1321595460176468
18,0.029326181858778,0.9695104956626892,0.14479754865169525
19,0.030283022671937943,1.0263715982437134,0.16280321776866913
20,0.026547884568572044,1.06740403175354,0.18741296231746674
21,0.022879192605614662,1.1127077341079712,0.21728913486003876
22,0.019330346956849098,1.1576555967330933,0.2515406906604767
23,0.015601614490151405,1.195953369140625,0.13730333745479584
24,0.046490203589200974,0.14703954756259918,0.13707783818244934
25,0.042706478387117386,0.28317609429359436,0.13569295406341553
26,0.03596368432044983,0.37627339363098145,0.13654938340187073
27,0.0216897651553154,0.4533739984035492,0.13804486393928528
28,0.002115952782332897,0.5233579277992249,0.14057695865631104
29,-0.00561304297298193,0.5762270092964172,0.1445247232913971
30,-0.0066412342712283134,0.5991321802139282,0.1594037264585495
31,0.016925804316997528,0.04677143692970276,0.18428988754749298
32,0.016197681427001953,0.1141841784119606,0.09945382177829742
33,0.042533621191978455,0.15237495303153992,0.0979594960808754
34,0.04563063755631447,0.3041059076786041,0.09760615974664688
35,0.04683903232216835,0.4563450217247009,0.09739674627780914
36,0.02588621899485588,0.600509524345398,0.10059729963541031
37,0.03381093218922615,0.7328004240989685,0.1074916273355484
38,0.03547670692205429,0.8651740550994873,0.11418046057224274
39,0.03195568919181824,0.9719138741493225,0.15579703450202942
40,0.0533188134431839,0.08693154901266098,0.15714327991008759
41,0.047836240381002426,0.1822039783000946,0.15890419483184814
42,0.03164166212081909,0.26270097494125366,0.16206346452236176
43,0.03040945902466774,0.3267553448677063,0.16697479784488678
44,0.032864637672901154,0.38509657979011536,0.1742151528596878
45,0.028416205197572708,0.42015746235847473,0.18372108042240143
46,0.028102893382310867,0.472062349319458,0.19616127014160156
47,0.018010206520557404,0.5168769955635071,0.21148613095283508
48,0.013524842448532581,0.5531383156776428,0.18008163571357727
49,0.02663755789399147,0.17568162083625793,0.18168552219867706
50,0.026722285896539688,0.32339754700660706,0.18516995012760162
51,0.019193269312381744,0.4412251114845276,0.18963371217250824
52,0.018157508224248886,0.504061222076416,0.19535279273986816
53,0.0071890465915203094,0.568596601486206,0.19695518910884857
54,0.031873319298028946,0.08813031017780304,0.15836241841316223
55,0.03128549084067345,0.11146583408117294,0.15529415011405945
56,0.032399438321590424,0.24087557196617126,0.15453635156154633
57,0.030060216784477234,0.3602413833141327,0.1560547649860382
58,0.022858094424009323,0.4610476493835449,0.17891749739646912
59,0.022875912487506866,0.14746396243572235,0.18093983829021454
60,0.029528915882110596,0.28555765748023987,0.18400968611240387
61,0.03602391481399536,0.41238632798194885,0.18761244416236877
62,0.031942300498485565,0.5172421336174011,0.1924695074558258
63,0.027957100421190262,0.6295732259750366,0.19882185757160187
64,0.024914473295211792,0.7073907256126404,0.20735003054141998
65,0.01948043704032898,0.7808272242546082,0.21877707540988922
66,0.014416039921343327,0.8476265072822571,0.20556513965129852
67,0.0355447493493557,0.10499898344278336,0.15712539851665497
68,0.028523432090878487,0.17325665056705475,0.14652080833911896
69,0.02966323122382164,0.31685012578964233,0.13644127547740936
70,0.029558617621660233,0.47151440382003784,0.12676303088665009
71,0.02997717820107937,0.6188995242118835,0.11888301372528076
72,0.031052419915795326,0.7167875170707703,0.11447574198246002
73,0.03292283043265343,0.7714620232582092,0.2200230062007904
74,0.0037271096371114254,0.7884576916694641,0.19647932052612305
75,0.020970862358808517,0.16914676129817963,0.197599858045578
76,0.010534965433180332,0.3247322738170624,0.1972712129354477
77,0.012751157395541668,0.42567065358161926,0.19768430292606354
78,0.014623762108385563,0.5203675627708435,0.19869543612003326
79,-0.007304525934159756,0.5976662039756775,0.14987574517726898
80,0.012281428091228008,0.08290380984544754,0.2170514017343521
81,0.005789398215711117,0.08437230437994003,0.11925589293241501
82,0.049433641135692596,0.18684746325016022,0.1195221096277237
83,0.050774529576301575,0.3660627603530884,0.12221158295869827
84,0.04939514398574829,0.532803475856781,0.1265537440776825
85,0.045271746814250946,0.6619622707366943,0.1317281275987625
86,0.04154757037758827,0.7492151856422424,0.13888834416866302
87,0.0393502339720726,0.8119574189186096,0.1483355462551117
88,0.03722412884235382,0.8735102415084839,0.16023831069469452
89,0.03480532392859459,0.9127706289291382,0.1757519692182541
90,0.03143908083438873,0.9479719400405884,0.1957910805940628
91,0.02840297669172287,0.995081901550293,0.2204342633485794
92,0.025475841015577316,1.0190008878707886,0.2489246129989624
93,0.02236882597208023,1.034564733505249,0.17022216320037842
94,0.023743268102407455,0.1800418645143509,0.1696726530790329
95,0.02844398096203804,0.3449001908302307,0.169317364692688
96,0.012687630020081997,0.47572219371795654,0.1700691133737564
97,0.018079977482557297,0.59034663438797,0.17441964149475098
98,0.011469612829387188,0.7173672318458557,0.18154148757457733
99,-0.04857337847352028,0.8249154090881348,0.1877770721912384
100,-0.05200447887182236,0.8657240271568298,0.26379480957984924
101,0.00230257585644722,0.1700214147567749,0.09865812212228775
102,0.05403810739517212,0.186418354511261,0.099351666867733
103,0.05096117779612541,0.3649085462093353,0.10015694797039032
104,0.05047285929322243,0.5019824504852295,0.1017487496137619
105,0.046606920659542084,0.6470838189125061,0.10303429514169693
106,0.0425296388566494,0.7852405905723572,0.10553954541683197
107,0.03973905369639397,0.9015318751335144,0.10995131731033325
108,0.036957547068595886,1.0066759586334229,0.11748240143060684
109,0.03350141644477844,1.0948055982589722,0.12873998284339905
110,0.018665861338377,1.1730272769927979,0.14474670588970184
111,0.012731652706861496,1.2361016273498535,0.1656164824962616
112,0.000652683898806572,1.289201259613037,0.19189588725566864
113,0.002092307433485985,1.3018503189086914,0.22256089746952057
114,0.011081293225288391,1.289015531539917,0.14458689093589783
115,0.04721789062023163,0.15077033638954163,0.1456817388534546
116,0.05025191605091095,0.26931992173194885,0.14676804840564728
117,0.04694667086005211,0.36095935106277466,0.14875701069831848
118,0.042945582419633865,0.45449650287628174,0.15211249887943268
119,0.03940434753894806,0.5290353298187256,0.15813878178596497
120,0.035347141325473785,0.58823561668396,0.16724681854248047
121,0.02701214700937271,0.6527521014213562,0.1800936907529831
122,0.008798119612038136,0.6882108449935913,0.2961389124393463
123,0.013955628499388695,0.6653121113777161,0.1049109697341919
124,0.0566926971077919,0.1674976497888565,0.10571309179067612
125,0.055175695568323135,0.31234586238861084,0.10662372410297394
126,0.054334260523319244,0.42370468378067017,0.10729203373193741
127,0.05075273662805557,0.5460622310638428,0.10852295160293579
128,0.05061124265193939,0.6647365093231201,0.11028903722763062
129,0.04629474878311157,0.7799859046936035,0.11361080408096313
130,0.04241260513663292,0.8710224628448486,0.11976355314254761
131,0.0381435826420784,0.9774094820022583,0.13011561334133148
132,0.035537928342819214,1.0717025995254517,0.1469097137451172
133,0.026644062250852585,1.1568360328674316,0.16814681887626648
134,0.006766676902770996,1.2321213483810425,0.1931692212820053
135,0.016349518671631813,1.2909945249557495,0.22138485312461853
136,0.015981877222657204,1.3376920223236084,0.0980926901102066
137,0.05996314436197281,0.15734663605690002,0.09692031145095825
138,0.059988390654325485,0.27745914459228516,0.09446104615926743
139,0.05794530361890793,0.38441306352615356,0.09267013520002365
140,0.05491171404719353,0.47671300172805786,0.09247935563325882
141,0.051749251782894135,0.5673712491989136,0.09546201676130295
142,0.04903264716267586,0.6619276404380798,0.10161848366260529
143,0.045772042125463486,0.7772858738899231,0.11094933748245239
144,0.043228939175605774,0.8427354693412781,0.12390311062335968
145,0.03408832848072052,0.9041521549224854,0.1410403549671173
146,0.02845672145485878,0.9438261985778809,0.16266286373138428
147,0.026064885780215263,0.9675419330596924,0.18832872807979584
148,0.021883336827158928,1.0152174234390259,0.21889819204807281
149,0.01754048652946949,1.0516043901443481,0.1466912180185318
150,0.039308078587055206,0.16864587366580963,0.152022123336792
151,0.030100394040346146,0.3730704188346863,0.15887998044490814
152,0.02051054686307907,0.5732004642486572,0.162974014878273
153,0.011885955929756165,0.7611783742904663,0.16356919705867767
154,0.01613450236618519,0.9091847538948059,0.16235925257205963
155,0.02951279655098915,1.0037519931793213,0.15981771051883698
156,0.03010692447423935,1.0699385404586792,0.1560121476650238
157,0.028265878558158875,1.1091045141220093,0.15173213183879852
158,0.027181748300790787,1.1281520128250122,0.1529795378446579
159,0.026286209002137184,1.1352604627609253,0.15966175496578217
160,0.01988948881626129,1.1423189640045166,0.17071673274040222
161,0.017768781632184982,1.1381561756134033,0.18605685234069824
162,0.008089656010270119,1.1687803268432617,0.2057826817035675
163,-0.02785046398639679,1.2310322523117065,0.22833430767059326
164,-0.035245735198259354,1.3261593580245972,0.13865062594413757
165,0.02914237231016159,0.0973983034491539,0.13866738975048065
166,0.01889992505311966,0.18575496971607208,0.13927452266216278
167,0.01924218237400055,0.3158731162548065,0.14273211359977722
168,0.026652295142412186,0.4324162006378174,0.1408492773771286
169,0.05556470528244972,0.18483497202396393,0.14080536365509033
170,0.05273011699318886,0.3331027328968048,0.14043432474136353
171,0.04841519519686699,0.4705749452114105,0.1402764767408371
172,0.04417388141155243,0.5935940146446228,0.1411515474319458
173,0.04052256792783737,0.6921585202217102,0.14461280405521393
174,0.03716576099395752,0.7663172483444214,0.1515844166278839
175,0.032183196395635605,0.8239823579788208,0.16279514133930206
176,0.02855665609240532,0.8684298992156982,0.17860043048858643
177,0.025810606777668,0.9021298885345459,0.19913800060749054
178,0.019057245925068855,0.935901403427124,0.2244568169116974
179,0.013203954324126244,0.976646900177002,0.13148878514766693
180,0.03817255049943924,0.17726972699165344,0.13376665115356445
181,0.03206758201122284,0.31199944019317627,0.13753794133663177
182,0.03364848345518112,0.40234604477882385,0.14221081137657166
183,0.02987229824066162,0.47661715745925903,0.14847910404205322
