motion	split	window_index	paper_start_frame	recorded_start_timestep	state_max_abs_error	target_decoded_action_max_abs_error	latent_abs_mean	teacher_action_abs_mean	decoded_action_abs_mean	logvar_mean
walk1_subject1_frames_1_180_state_fixture	train	0	4	0	2.9358078745822525e-08	0.0	0.12447293801718236	0.2468287486620079	0.2480605095655509	-1.0791147557929868
walk1_subject1_frames_1_180_state_fixture	train	1	14	10	2.978736801662052e-08	0.0	0.12688306412088596	0.2442473335274188	0.24624448713092578	-1.08873127267829
walk1_subject1_frames_1_180_state_fixture	train	2	24	20	2.9717313054788974e-08	0.0	0.1271083095537809	0.24482792677978674	0.24610677470372033	-1.088989010701577
walk1_subject1_frames_1_180_state_fixture	train	3	34	30	2.9376431953664905e-08	0.0	0.12808557490158515	0.2442856473520961	0.24563742128670313	-1.0887072288564272
walk1_subject1_frames_1_180_state_fixture	train	4	44	40	2.9376431953664905e-08	0.0	0.12842189674986348	0.24284803859999615	0.2451057917452211	-1.0877487380944548
walk1_subject1_frames_1_180_state_fixture	train	5	54	50	2.9498035347685914e-08	0.0	0.12708274230854363	0.24239982963709408	0.24520130680601782	-1.0869680229751837
walk1_subject1_frames_1_180_state_fixture	train	6	64	60	2.9590848438232342e-08	0.0	0.126834543039357	0.2422430736665753	0.24509790671870038	-1.0866552776701393
walk1_subject1_frames_1_180_state_fixture	train	7	74	70	2.8870343449227676e-08	0.0	0.1274901861837688	0.2419984854378528	0.24478449653497666	-1.0880863424390554
walk1_subject1_frames_1_180_state_fixture	train	8	84	80	2.9616805785614986e-08	0.0	0.1276490795675532	0.2419961697998501	0.2447539051422736	-1.0893007268508275
walk1_subject1_frames_1_180_state_fixture	train	9	94	90	2.896415807196462e-08	0.0	0.12797108714723782	0.24225859333300728	0.24512022175200662	-1.0902290191678774
walk1_subject1_frames_1_180_state_fixture	train	10	104	100	2.8718553313211714e-08	0.0	0.12835446589105276	0.24463142775081723	0.2475940797214927	-1.0929296316490287
walk1_subject1_frames_1_180_state_fixture	train	11	114	110	2.973757950996969e-08	0.0	0.12970251748560085	0.26356830897057437	0.2665294614790255	-1.1035494196805216
walk1_subject1_frames_1_180_state_fixture	train	12	124	120	2.9762949882439216e-08	0.0	0.1284942282072734	0.2781925994945573	0.2807792386924007	-1.126340680001747
walk1_subject1_frames_1_180_state_fixture	train	13	134	130	2.9259561884487084e-08	0.0	0.12647011087115279	0.25683119844171	0.25942510359405196	-1.152172507629508
walk1_subject1_frames_1_180_state_fixture	train	14	144	140	2.9259561884487084e-08	0.0	0.133889503121498	0.2257270530127723	0.22810654444329453	-1.1663821871791566
walk1_subject1_frames_1_180_state_fixture	train	15	154	150	2.9568124060297407e-08	0.0	0.1469316755094388	0.21429675857690186	0.21510786568969242	-1.1619055831716174
walk1_subject1_frames_1_180_state_fixture	train	16	164	160	2.9708108639781017e-08	0.0	0.15575165242106387	0.21188957983796516	0.21170743620894814	-1.1791202528845697
walk1_subject1_frames_1_180_state_fixture	train	17	174	170	2.9751083485685115e-08	0.0	0.1640598666715613	0.21306019735002427	0.21338808478570387	-1.229807020475467
walk1_subject1_frames_1_180_state_fixture	train	18	184	180	2.9797687650656712e-08	0.0	0.15541457052209548	0.218056661258444	0.2190042888494866	-1.2000524461091984
walk1_subject1_frames_1_180_state_fixture	train	19	194	190	2.9797687650656712e-08	0.0	0.1360904421883225	0.21174268443473845	0.2144804925692982	-1.1078446270631892
walk1_subject1_frames_1_180_state_fixture	train	20	204	200	2.9797687650656712e-08	0.0	0.13108528535147862	0.20350226073815258	0.20624516069375234	-1.0863130864288126
walk1_subject1_frames_1_180_state_fixture	train	21	214	210	2.9658363098761242e-08	0.0	0.1412871926953639	0.22035143621358982	0.22236680251673133	-1.1015590192484004
walk1_subject1_frames_1_180_state_fixture	train	22	224	220	5.525807389439308e-08	0.0	0.206828830932777	0.25610586503826077	0.25726145145916096	-1.2291021440178156
walk1_subject1_frames_1_180_state_fixture	train	23	234	230	5.525807389439308e-08	0.0	0.25402539274710717	0.27338782718919535	0.27251461949597044	-1.3672856631733121
walk1_subject1_frames_1_180_state_fixture	train	24	244	240	5.481573683852048e-08	0.0	0.20080107364836813	0.2491220662154124	0.2485563264997624	-1.3028132170438766
walk1_subject1_frames_1_180_state_fixture	train	25	254	250	4.3408166838787565e-08	0.0	0.15159002865991733	0.23709572769932974	0.23587038463412835	-1.180306507363206
walk1_subject1_frames_1_180_state_fixture	train	26	264	260	5.464533114896142e-08	0.0	0.15182710015713902	0.24384631860079106	0.24495177316725597	-1.117593469896487
walk1_subject1_frames_1_180_state_fixture	train	27	274	270	5.697222360545595e-08	0.0	0.143777865441128	0.22641257120440492	0.22926211928297294	-0.9961553313547656
run2_subject1_frames_1_180_state_fixture	validation	0	4	0	2.9439039650469567e-08	0.0	0.13159196848365745	0.24457221982379562	0.24614398708729127	-1.1018365066321123
run2_subject1_frames_1_180_state_fixture	validation	1	14	10	2.9789883004838202e-08	0.0	0.12486404331173703	0.23710626842184926	0.23812864275193468	-1.0853989699944144
run2_subject1_frames_1_180_state_fixture	validation	2	24	20	2.9789883004838202e-08	0.0	0.12330183161871641	0.23455099413884048	0.23614147910465944	-1.08158639374943
run2_subject1_frames_1_180_state_fixture	validation	3	34	30	2.9713927762742287e-08	0.0	0.1229953603705369	0.2333966768583763	0.23556819348328414	-1.0812707547807978
run2_subject1_frames_1_180_state_fixture	validation	4	44	40	2.9678252300158192e-08	0.0	0.12337643432103851	0.23300257287093717	0.23533112979348755	-1.0825575505871148
run2_subject1_frames_1_180_state_fixture	validation	5	54	50	2.9608286933324734e-08	0.0	0.1239351249574351	0.23222809140562817	0.23443146568091436	-1.083471459913112
run2_subject1_frames_1_180_state_fixture	validation	6	64	60	2.903848916879781e-08	0.0	0.1236619466106363	0.23155520295560642	0.2337938314869584	-1.082513711016093
run2_subject1_frames_1_180_state_fixture	validation	7	74	70	2.9625425113088966e-08	0.0	0.12307027595428129	0.23139158956177397	0.23355477106603006	-1.0817744023210945
run2_subject1_frames_1_180_state_fixture	validation	8	84	80	2.9625425113088966e-08	0.0	0.12269332963790346	0.23133674695054054	0.23340740293564124	-1.081532427686311
run2_subject1_frames_1_180_state_fixture	validation	9	94	90	2.9762523889864667e-08	0.0	0.12255401622747913	0.23158997326037176	0.23364800943921157	-1.08181675337255
