frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.0083864891509846,-0.016150378121865393,0.772163249466415,0.032042262042593396,-0.004716341694785717,-1.3464269310414563,0.22839203458590482,0.021317239865393304,0.0936918344729048,0.09079946607927387,0.22839203458590482,0.7903743982315063,0.025220424680230027,0.015625420144514044,10,False
1,0.03333333333333333,0.24000000000000013,0.009424964208221798,-0.01846896184854813,0.7716918033308489,0.032803979724871854,-0.0012977610810324988,-1.34695571566306,0.2288642749461297,0.02206920048944187,0.10019964703657008,0.08399468880613167,0.2288642749461297,0.7904356122016907,0.027524080676210868,0.016311010310478685,9,False
2,0.06666666666666667,0.2600000000000001,0.010451126011735727,-0.020775424098230022,0.7711964529079072,0.033437298023353636,0.0025317105763490557,-1.3475796507640874,0.22931097146798055,0.023043089934667457,0.10606882971245934,0.08412714769582029,0.22931097146798055,0.7904580235481262,0.029926790057750816,0.017330961892205867,9,False
3,0.1,0.28000000000000014,0.011486524708647985,-0.02304327394499268,0.7706965722273484,0.03398857338944434,0.0066997545468875964,-1.3484158467508716,0.22975013716595954,0.024025835764299716,0.11153554885162464,0.0905966116963308,0.22975013716595954,0.790461003780365,0.0323872772703873,0.018822897490289228,9,False
4,0.13333333333333333,0.30000000000000016,0.0125848277390984,-0.025296357660936637,0.770198883200758,0.03440956860578638,0.011227491054802839,-1.3494874445713132,0.23024346160598036,0.024981383611605186,0.11668770783148286,0.09658414918276984,0.23024346160598036,0.7904387712478638,0.034843577318024635,0.020720692186355527,9,False
5,0.16666666666666666,0.3200000000000002,0.013738641743451966,-0.02748348495242189,0.769690491820791,0.03481100308334263,0.015832012849381023,-1.350741252974648,0.23084183575400827,0.025879546296274942,0.12171544366172121,0.10446579685825919,0.23084183575400827,0.7904137969017029,0.03729378810122407,0.023229416258407833,9,False
6,0.2,0.3400000000000002,0.014935530723774737,-0.029580651537829628,0.7691794380198421,0.035139133416865684,0.020352790994354192,-1.3522393973540192,0.2313760124334608,0.02682663985919117,0.12669990775520773,0.1114198103115293,0.2313760124334608,0.7903832197189331,0.03964704523499594,0.02630641635585737,9,False
7,0.23333333333333334,0.3600000000000002,0.016171380433754948,-0.03159153306124077,0.7686731532054907,0.03536498926897747,0.024773373358645684,-1.3540071397183844,0.23186897993908698,0.02816824087561306,0.13241545407446773,0.11634850602410078,0.23186897993908698,0.7903445959091187,0.04188992815264578,0.02983437974627109,9,False
8,0.26666666666666666,0.3800000000000002,0.017429060290503524,-0.033508651886971254,0.7681715618597986,0.03551302649427902,0.02903866043334455,-1.356005960032437,0.2323405160026721,0.02962053590099229,0.14716900777691855,0.12062042552030876,0.2323405160026721,0.7903019785881042,0.044042744836085536,0.033590202434651585,9,False
9,0.3,0.40000000000000024,0.018702960787230716,-0.03533472741253207,0.7676741413774749,0.03558391985963002,0.03310903652508349,-1.3582633080997708,0.2327189503101118,0.03096740136299137,0.16287431927150003,0.12380073160918596,0.2327189503101118,0.7902359962463379,0.046072760683027854,0.037500627408043365,9,False
10,0.3333333333333333,0.42000000000000026,0.019977096764893724,-0.037083361508028274,0.767183075845204,0.035646219450292324,0.03707328718777139,-1.36082379495053,0.23306545052789793,0.03218819604771818,0.17882946870820932,0.13177246894185451,0.23306545052789793,0.7901601791381836,0.04803480179302987,0.041374490248922396,9,False
11,0.36666666666666664,0.4400000000000003,0.021261209073552872,-0.038752847432133225,0.7666844051835648,0.03559701682561776,0.04071820170074326,-1.3634949277980608,0.2335212557167136,0.033487885198845574,0.19533287042436887,0.13012023331962494,0.2335212557167136,0.790064811706543,0.04992647677819971,0.044985035652050455,9,False
12,0.4,0.4600000000000003,0.022541614839876475,-0.04034565046719071,0.7661789005051598,0.03557559412765677,0.04417735720918623,-1.3663409302839697,0.2340113240302187,0.03471305458101255,0.2121797771022645,0.13474244828865464,0.2340113240302187,0.7899466156959534,0.051755278371729004,0.04843866082869526,9,False
13,0.43333333333333335,0.4800000000000003,0.023809483073765368,-0.04186366397928096,0.7656669350740928,0.035553342314835215,0.047386965872202896,-1.369324089976099,0.23447334333242656,0.0362116936096386,0.2291511467285421,0.13632558786320556,0.23447334333242656,0.7898169755935669,0.053521294966338485,0.05170465791869287,9,False
14,0.4666666666666667,0.5000000000000003,0.02503836596847845,-0.043288523751052736,0.765138808489611,0.035562645561545286,0.050235179398657286,-1.3723995643367455,0.23489334305009707,0.03797366490885112,0.24651858216689837,0.1328400458750418,0.23489334305009707,0.7896574139595032,0.05521180600407613,0.05469896368403088,9,False
15,0.5,0.5200000000000004,0.026202686324198025,-0.04462794398521174,0.7646079020514085,0.035667542507069466,0.052960380791347135,-1.375630089050725,0.23565043777966038,0.039785656362840635,0.26372588568743455,0.1412030576643737,0.23565043777966038,0.7894909977912903,0.05681344585039322,0.05755404315366358,10,False
16,0.5333333333333333,0.5400000000000004,0.027319532568221255,-0.04585852525494613,0.764064203741484,0.035788464913596635,0.055310594433211104,-1.3789226055885553,0.23663108275625214,0.041691074212886266,0.28122875158666627,0.13763424923613557,0.23663108275625214,0.7893109917640686,0.05832017134102377,0.06015036709052969,8,False
17,0.5666666666666667,0.5600000000000004,0.02834761431250904,-0.04696779122057854,0.7635171378263143,0.03608033331159191,0.05747693191296341,-1.3823227494985875,0.23768899957488837,0.043509260912926714,0.2988137963482576,0.14945765013295598,0.23768899957488837,0.7891281843185425,0.05970046182078465,0.0625386681440151,9,False
18,0.6,0.5800000000000004,0.02931951006857994,-0.04798014100297078,0.7629689065114176,0.036361342698063126,0.05944628858065425,-1.385888527811161,0.23878555206164462,0.045304463842811685,0.31630045885970137,0.15403428400104138,0.23878555206164462,0.7889440059661865,0.06097349390490413,0.06470023117249799,10,False
19,0.6333333333333333,0.6000000000000004,0.03023004044248065,-0.04891502044201603,0.7624144613414853,0.036760801196408496,0.0612776260824255,-1.3895409603694833,0.23986687170791215,0.0469158792636515,0.33327897890187286,0.1476117149087245,0.23986687170791215,0.7887724041938782,0.06216882083051579,0.06680864695896203,9,False
20,0.6666666666666666,0.6200000000000004,0.031099346553840432,-0.04978194476095183,0.7618542022223566,0.0372419229617528,0.06310024138608399,-1.3933111092436226,0.24091315157872079,0.04848407678040969,0.34963285395831306,0.15266042086299664,0.24091315157872079,0.7886090278625488,0.0632903545355765,0.06872242432556669,10,False
21,0.7,0.6400000000000005,0.031948564975041054,-0.050570242245123694,0.7612891976909999,0.03772731166626798,0.06465182515584612,-1.3970611328554066,0.2418893318430617,0.050258864596768656,0.36552725752745374,0.1391939138247918,0.2418893318430617,0.7884619832038879,0.06434599952862767,0.07048886831848387,8,False
22,0.7333333333333333,0.6600000000000005,0.032763638019530236,-0.051306545613275543,0.7607272339822213,0.03834527009707829,0.06634445145698369,-1.400758951021716,0.24279010403451734,0.0520300242051841,0.38043586887522285,0.15478613803750868,0.24279010403451734,0.7883409857749939,0.06533020252088725,0.07206784639603772,10,False
23,0.7666666666666667,0.6800000000000005,0.03356619281538872,-0.051962928897577754,0.7601662955217847,0.03891256394708312,0.06763057724882353,-1.4043125251835367,0.24365317310881,0.05379608360030747,0.3950144053821323,0.13959950107459984,0.24365317310881,0.7882329821586609,0.06624865802920198,0.07343062311539408,10,False
24,0.8,0.7000000000000005,0.034397560215995694,-0.05282158020514303,0.7595764107534836,0.039967997752197615,0.0720006185974915,-1.4074945985182998,0.24449156046491757,0.055186669767815735,0.40364154760061677,0.14258815413080964,0.24449156046491757,0.7881687879562378,0.06719112209968653,0.07635932219075374,9,False
25,0.8333333333333334,0.7200000000000005,0.03527182284906094,-0.054140521948747036,0.7588952292284235,0.04203661584915796,0.07851292225424315,-1.4097254275859334,0.24533772417986444,0.05610169263955291,0.40358493892535985,0.12809744487313077,0.24533772417986444,0.7881163954734802,0.0685870715765136,0.08328942489219263,8,False
26,0.8666666666666667,0.7400000000000005,0.03618335213975171,-0.05556145217990191,0.7581652026119371,0.04351337347074336,0.08273556545813006,-1.4123353161440522,0.24619944992571555,0.056867149301512175,0.40165655680683077,0.1075857608140603,0.24619944992571555,0.7880876064300537,0.07013508062975585,0.08867607344736325,10,False
27,0.9,0.7600000000000006,0.03709781525422469,-0.05684335257154514,0.7574750193360623,0.04402120575089356,0.08462948782042203,-1.415081250618875,0.24702373760800553,0.05781298733785869,0.4000564810330608,0.09010482565783595,0.24702373760800553,0.788072407245636,0.07153207015349815,0.09167805169289193,9,False
28,0.9333333333333333,0.7800000000000006,0.03800679409417339,-0.05788835465454492,0.756860203269687,0.0438950611360562,0.08512512201068496,-1.417932703078689,0.24799503531339095,0.058855916601913805,0.3991987403746775,0.08754228532144723,0.24799503531339095,0.7880640029907227,0.07267583621318163,0.09307083801952794,10,False
29,0.9666666666666667,0.8000000000000006,0.03887127047141055,-0.058681380509257725,0.756292804305334,0.04365450259089884,0.08484385343229511,-1.420514317845511,0.2488519125698327,0.05994717348210148,0.3988946713841045,0.08774280499203334,0.2488519125698327,0.7880405783653259,0.07349643487315234,0.09391678216574867,9,False
