backend	status	returncode	log_path	summary_path	mp4_path	keyframe_path	checks	error
egl	ok	0	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/logs/smoke/backend_probe_egl.log	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/smoke/minimal_scene_egl_summary.json	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/smoke/minimal_scene_egl.mp4	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/smoke/minimal_scene_egl_keyframe.png	{'data_created': True, 'import_mujoco': True, 'keyframe_png_exists': True, 'model_created': True, 'mp4_exists': True, 'renderer_created': True, 'rgb_frame_rendered': True}	{}
osmesa	ok	0	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/logs/smoke/backend_probe_osmesa.log	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/smoke/minimal_scene_osmesa_summary.json	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/smoke/minimal_scene_osmesa.mp4	/mnt/infini-data/test/BeyondMimic/mujoco_mp4/res/smoke/minimal_scene_osmesa_keyframe.png	{'data_created': True, 'import_mujoco': True, 'keyframe_png_exists': True, 'model_created': True, 'mp4_exists': True, 'renderer_created': True, 'rgb_frame_rendered': True}	{}
