frame,time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,0.0,0.05153439939022064,-0.013383599929511547,0.7818329930305481,0.15646254397318538,2.058369107745138
1,0.02,0.057341739535331726,-0.014529000036418438,0.7674137949943542,0.1811029577089859,1.902020133525968
2,0.04,0.06307445466518402,-0.01416965015232563,0.7551828026771545,0.20500244906750217,1.5056274984842808
3,0.06,0.06865793466567993,-0.010800801217556,0.7473282217979431,0.22225485701146053,1.245096437873897
4,0.08,0.0731440931558609,-0.0059868027456104755,0.7410376071929932,0.23691053317602853,1.2891839171061292
5,0.1,0.077081598341465,-0.0004502311930991709,0.7355290055274963,0.24988281828399492,1.2410316580167875
6,0.12,0.08071489632129669,0.006764724384993315,0.729989767074585,0.25801359451022643,1.1524070538018412
7,0.14,0.08486286550760269,0.01336841844022274,0.7239198088645935,0.26509971034729146,1.0825422158914393
8,0.16,0.09004013985395432,0.018749577924609184,0.7167882323265076,0.2700999506331723,1.057085948735315
9,0.18,0.09649913758039474,0.02213325724005699,0.7099425792694092,0.27276039928005175,1.093755371402949
10,0.2,0.10359898954629898,0.024518197402358055,0.7032399773597717,0.2745414207817922,1.169424674650333
11,0.22,0.11124659329652786,0.023298639804124832,0.6965638399124146,0.2785193021248641,1.3676644178460642
12,0.24,0.12062019109725952,0.020799366757273674,0.6905015707015991,0.2877268835516839,1.494184075373
13,0.26,0.13344578444957733,0.015740646049380302,0.6856673955917358,0.29906191545185346,1.59554833160906
14,0.28,0.14780858159065247,0.009750563651323318,0.6839251518249512,0.3085617012633332,1.7541588990595833
15,0.3,0.16293998062610626,0.0032948104199022055,0.6837289929389954,0.3161761486132083,1.8673370953585053
16,0.32,0.17880158126354218,0.006181097589433193,0.6884204149246216,0.32360565678441316,1.8298814498723066
17,0.34,0.1947035938501358,0.010045018047094345,0.6909185647964478,0.332898964013519,1.5695718638920064
18,0.36,0.21068637073040009,0.015864172950387,0.6890304088592529,0.3394992567341903,1.3467037961978852
19,0.38,0.2330583930015564,0.016560740768909454,0.6860321760177612,0.3440008242132849,1.2959303137653604
20,0.4,0.25862497091293335,0.014696002937853336,0.6824790239334106,0.35349050088753475,1.5155206731488478
21,0.42,0.2898819148540497,0.002642714651301503,0.6826691627502441,0.35633541219707193,2.0185632225736203
22,0.44,0.3205445408821106,-0.007625414989888668,0.6865332126617432,0.3638357578551975,2.073098700654147
23,0.46,0.35001832246780396,-0.014323113486170769,0.6977447867393494,0.36883980450059833,2.3449278324200162
24,0.48,0.3803233504295349,-0.01063926424831152,0.7125043869018555,0.3723403609775264,2.467325149136114
25,0.5,0.41104400157928467,-0.0017645600019022822,0.7290380001068115,0.3750561385832984,2.53223966132721
26,0.52,0.4392373263835907,0.013217557221651077,0.7430809736251831,0.3742693978008525,2.603180848607986
27,0.54,0.4643211364746094,0.02729947492480278,0.7555054426193237,0.37361736052894384,2.6257105203795024
28,0.56,0.4831857681274414,0.03958088159561157,0.7646925449371338,0.37421039511160603,2.5267857134920257
29,0.58,0.4942875802516937,0.042558662593364716,0.771682620048523,0.3703335321283546,2.424032094984733
30,0.6,0.5015079975128174,0.040884602814912796,0.7775740027427673,0.3620896756905934,2.4856907259351733
31,0.62,0.5044065713882446,0.03189428150653839,0.7824411988258362,0.34606986688771124,2.381176544064335
32,0.64,0.5126639604568481,0.02370671182870865,0.7870255708694458,0.3422767375114149,2.175584693182388
33,0.66,0.5316389799118042,0.017124708741903305,0.7910444140434265,0.3566042599749976,1.946253270906364
34,0.68,0.5491779446601868,0.013437261804938316,0.7927027940750122,0.3713903883150939,1.8312671462651984
35,0.7,0.565998911857605,0.011197107844054699,0.7931810021400452,0.38640576710217983,1.6326291133360615
36,0.72,0.5826471447944641,0.006638449616730213,0.7926632165908813,0.3966390683219351,1.4240787220026911
37,0.74,0.5988892316818237,0.0004375721327960491,0.7919915914535522,0.4070065099874447,1.3638628678845948
38,0.76,0.6143187880516052,-0.009047641418874264,0.7910124063491821,0.4176420912403485,1.2126943562179804
39,0.78,0.6307511329650879,-0.018819082528352737,0.7895532250404358,0.42815539838168126,1.0431683622300625
40,0.8,0.6476849317550659,-0.028733670711517334,0.787854015827179,0.43860759663170784,1.1057686301526324
41,0.82,0.6636173725128174,-0.037702325731515884,0.7831062078475952,0.44466303905536386,1.198945082081803
