task,seed_count,guided_reward_mean,guided_reward_std,guided_target_body_error_mean,guided_target_body_error_std,guided_done_count_total_mean,guided_done_count_total_std,guidance_cost_delta_mean,guidance_cost_delta_std,guided_teacher_action_mse_mean,guided_teacher_action_mse_std
joystick,5,0.022807253612653917,0.0015358951681498903,0.34388601779937744,0.00099088331372648,299.0,0.0,6.663306525917755e-05,1.3760021002313997e-06,4.961693120425979e-05,3.411933325089049e-06
waypoint,5,0.022766795185983284,0.0011960213259662716,0.3439153075218201,0.000974308746325587,299.0,0.0,7.592937768901072e-06,4.9477521509945e-08,4.734983296541859e-05,1.568762014116097e-06
obstacle_avoidance,5,0.022796624001850653,0.0006765163960239049,0.34403362274169924,0.0012933861462231392,299.0,0.0,3.1522746169846194e-07,1.7707775582696378e-08,4.9104962733225845e-05,1.940833617620853e-06
composed,5,0.023558438572577854,0.0007146416648521052,0.3442098379135132,0.0006650723987186208,299.0,0.0,6.324915732428381e-05,5.825539111071657e-07,4.959852153828203e-05,5.356898530474439e-06
