experiment,directory,scope,metric,mean,min,max
arma0,arma0_rosbag2_2025_10_22-00_29_58,global,pos_err,0.2200662461202945,0.17811611925165638,0.2689374420551215
arma0,arma0_rosbag2_2025_10_22-00_29_58,global,ori_err,0.37776853265523364,0.35499439067579597,0.3965999629178448
arma0,arma0_rosbag2_2025_10_22-00_29_58,local,pos_err,0.05032312428143543,0.05021767832146926,0.050499157408908604
arma0,arma0_rosbag2_2025_10_22-00_29_58,local,ori_err,0.27129197855511383,0.2693676579404856,0.2731531712394937
arma0,arma0_rosbag2_2025_10_22-00_29_58,local,lin_vel_err,0.5270444919210259,0.523905107052506,0.5325315171930436
arma0,arma0_rosbag2_2025_10_22-00_29_58,local,ang_vel_err,2.669598013832243,2.6273069955823782,2.7258098056840936
arma0.1,arma0.1_rosbag2_2025_10_22-00_44_01,global,pos_err,0.3482215640855004,0.3042339585318238,0.4256967921847881
arma0.1,arma0.1_rosbag2_2025_10_22-00_44_01,global,ori_err,0.3327759913073721,0.31633143563446087,0.36469311688590883
arma0.1,arma0.1_rosbag2_2025_10_22-00_44_01,local,pos_err,0.05201897932601385,0.049497297714216494,0.05354509103573459
arma0.1,arma0.1_rosbag2_2025_10_22-00_44_01,local,ori_err,0.2756846381969358,0.26261508648563575,0.28299237009360523
arma0.1,arma0.1_rosbag2_2025_10_22-00_44_01,local,lin_vel_err,0.5205549820841177,0.5107489982262368,0.5331017831670666
arma0.1,arma0.1_rosbag2_2025_10_22-00_44_01,local,ang_vel_err,2.58568962580826,2.514469091538577,2.6491002921234768
origin,origin_rosbag2_2025_10_22-01_35_46,global,pos_err,0.23501607996794827,0.1654526865951076,0.305123961391055
origin,origin_rosbag2_2025_10_22-01_35_46,global,ori_err,0.22605174319050073,0.15952862056970496,0.2841214457099341
origin,origin_rosbag2_2025_10_22-01_35_46,local,pos_err,0.0433532576673678,0.041615631106963084,0.04459320755780103
origin,origin_rosbag2_2025_10_22-01_35_46,local,ori_err,0.21081941875933233,0.20358978510172918,0.21506104533262352
origin,origin_rosbag2_2025_10_22-01_35_46,local,lin_vel_err,0.42950932257871166,0.4166715744073563,0.43910975494998306
origin,origin_rosbag2_2025_10_22-01_35_46,local,ang_vel_err,2.2021686769121027,2.0568967486725307,2.273323736094242
arma10,arma10_rosbag2_2025_10_22-00_48_58,global,pos_err,0.31149948831557034,0.24583945426906112,0.3742424927891789
arma10,arma10_rosbag2_2025_10_22-00_48_58,global,ori_err,0.33383918187398104,0.26215170142716654,0.39489744479147537
arma10,arma10_rosbag2_2025_10_22-00_48_58,local,pos_err,0.046546642572247075,0.045294721529676646,0.047279823046001486
arma10,arma10_rosbag2_2025_10_22-00_48_58,local,ori_err,0.22862738850211226,0.22145226052276812,0.23371457075934987
arma10,arma10_rosbag2_2025_10_22-00_48_58,local,lin_vel_err,0.4387899406859499,0.42484776168585414,0.4488113110450371
arma10,arma10_rosbag2_2025_10_22-00_48_58,local,ang_vel_err,2.235206192800936,2.1999107325293994,2.271503152801859
