task,row_count,completion_rate_299,guidance_signal_positive_rate,action_changed_rate,reward_improved_vs_denoised_rate,tracking_error_not_worse_vs_denoised_rate,local_proxy_pass_rate,reward_delta_vs_denoised_mean,error_delta_vs_denoised_mean,reward_delta_vs_vae_base_mean,error_delta_vs_vae_base_mean,guidance_cost_delta_mean,guided_base_action_mse_mean
composed,5,1.0,1.0,1.0,0.4,1.0,1.0,-0.001175178763110901,-0.001858881115913391,-9.777655071239454e-05,0.0001956760883331299,5.491330073429988e-05,0.007170087088718636
joystick,5,1.0,1.0,1.0,0.6,0.6,0.8,0.0001347833260096437,9.248256683349609e-05,-0.0009444708720995829,0.0009965181350708007,6.341645151476398e-05,0.007180212005306297
obstacle_avoidance,5,1.0,1.0,1.0,0.8,0.8,1.0,0.0029722271169408112,-0.000681343674659729,0.0029079416847747315,0.0006819635629653931,1.0189124971727862e-05,0.007051323433749278
waypoint,5,1.0,1.0,1.0,0.2,0.8,0.8,-0.0018419905033049764,0.00022692680358886718,-0.0012739364693196732,0.0016485437750816344,1.65683369971438e-05,0.00719836402597236
