variant	state_dim	latent_dim	token_dim	parameter_count	paper_reference_count	absolute_delta	relative_delta	passed_local_arch_checks	notes
fixture_181d_state_tau213	181	32	213	19164373	19800000	-635627	-0.032102373737373735	True	Older debug fixture state uses 181-D candidate token plus 32-D synthetic latent.
paper_state_99d_tau131	99	32	131	19080323	19800000	-719677	-0.03634732323232323	True	Paper-formula 99-D state windows plus 32-D synthetic latent.
