task,row_count,seed_group_count,recorded_299_step_completion_rate,guidance_signal_positive_rate,endpoint_proxy_pass_rate,target_body_mean_proxy_pass_rate,reward_improved_vs_denoised_rate,tracking_error_not_worse_vs_denoised_rate,local_task_protocol_proxy_pass_rate,guided_body_error_frame_success_rate_under_0p36_mean,root_final_xy_error_m_mean,root_final_xy_error_m_max,root_mean_xy_error_m_mean,guided_target_body_error_mean_mean,guidance_cost_delta_mean,reward_delta_vs_denoised_mean,tracking_error_delta_vs_denoised_mean,root_path_length_ratio_mean,mp4_present_rate,trace_npz_present_rate
composed,5,5,1.0,1.0,1.0,1.0,0.6,0.4,0.6,0.9752508361204013,0.009425721725137568,0.019182748277039276,0.0056094983367443035,0.34478229886313344,6.378355831605534e-05,0.00012264474572295999,9.977289266809297e-05,0.9993676416984385,1.0,1.0
joystick,5,5,1.0,1.0,1.0,1.0,0.4,0.6,0.8,0.9812709030100335,0.00503201567504115,0.006941766496613563,0.005573556679179093,0.34421273784892614,6.761318415303693e-05,-7.189064859770764e-05,2.5435056176059677e-05,0.9994598727507629,1.0,1.0
obstacle_avoidance,5,5,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.9872909698996656,0.005335347037898263,0.011238506078623306,0.005709679904229591,0.34325423348308803,9.161286230470026e-07,0.0003519562155593903,-0.00013697047696065168,1.0000112021826602,1.0,1.0
waypoint,5,5,1.0,1.0,1.0,1.0,0.6,0.4,0.8,0.9692307692307692,0.004627220996704471,0.007636966753137768,0.005843258494483718,0.3445222992761478,8.2449968841961e-06,0.00038151711219280225,0.0006339087534110388,0.9986470025154374,1.0,1.0
