task,seed_group,seed,summary_json,trace_npz,mp4,trace_npz_exists,mp4_exists,rollout_steps,recorded_299_step_completion,guided_done_flag_sum,denoised_done_flag_sum,guided_reward_mean,denoised_reward_mean,reward_delta_vs_denoised,guided_target_body_error_mean,denoised_target_body_error_mean,tracking_error_delta_vs_denoised,guided_body_error_frame_success_rate_under_0p36,guidance_cost_before_mean,guidance_cost_after_mean,guidance_cost_delta_mean,guidance_signal_positive,root_final_xy_error_m,root_mean_xy_error_m,root_path_length_xy_m,reference_path_length_xy_m,root_path_length_ratio,root_height_mean_m,root_height_min_m,root_height_max_m,endpoint_proxy_pass,target_body_mean_proxy_pass,reward_improved_vs_denoised,tracking_error_not_worse_vs_denoised,local_task_protocol_proxy_pass,claim_level
obstacle_avoidance,seed_group_2,20260913,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/receding_latent_guidance_rollout_20260620_223058_seed20260913/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.021549430694493363,0.02337294661698483,-0.0018235159224914664,0.3415643991435252,0.34246509140949183,-0.0009006922659666183,0.9933110367892977,0.030790791008932932,0.030789851139371213,9.398695617216487e-07,True,0.003646958204509453,0.005916111184159329,144.47911920074978,144.32236038742303,1.0010861713521448,0.7726771195596676,0.632066547870636,0.8161600232124329,True,True,False,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_2,20260914,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/receding_latent_guidance_rollout_20260620_223330_seed20260914/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023540223699474214,0.023811165243387222,-0.0002709415439130086,0.3450607314556339,0.3448847596063263,0.0001759718493075657,0.979933110367893,0.10518496296676903,0.10512185824355952,6.310472320952144e-05,True,0.005227640079423642,0.0058303548368151235,123.09632094802842,123.12781672201407,0.9997442026113663,0.7784086044217432,0.22514721751213074,0.8074885606765747,True,True,False,False,False,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_3,20260921,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/joystick/receding_latent_guidance_rollout_20260620_223600_seed20260921/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02294631136649827,0.02298258788288761,-3.627651638933929e-05,0.34336237434958133,0.34199043669828205,0.001371937651299282,0.9832775919732442,0.09498275863785409,0.09491292990270665,6.982873514743155e-05,True,0.006890973057553131,0.005688883615941252,116.56823724415514,116.783716125609,0.9981548893235929,0.7674998584200308,0.21115052700042725,0.8084510564804077,True,True,False,False,False,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_3,20260922,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/waypoint/receding_latent_guidance_rollout_20260620_223830_seed20260922/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022336919463386007,0.02398755299674976,-0.0016506335333637545,0.3445313957622617,0.3447361875537247,-0.0002047917914629882,0.9531772575250836,0.05852059499176848,0.058512245046354855,8.349945413627753e-06,True,0.0062530078659758116,0.005499072738603017,92.70789679164366,92.79171037185954,0.9990967557351838,0.7781756430565314,0.5104495882987976,0.8163790702819824,True,True,False,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_3,20260923,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/obstacle_avoidance/receding_latent_guidance_rollout_20260620_224058_seed20260923/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022616903781953166,0.02242174691810307,0.0001951568638500975,0.3434344708520832,0.3437650800748015,-0.0003306092227183255,0.9866220735785953,0.029827593785265217,0.02982667142705973,9.223582054859021e-07,True,0.011238506078623306,0.0057191042325907306,121.19786125653972,121.17913658719195,1.0001545205707445,0.775397524785836,0.48711609840393066,0.8088939189910889,True,True,True,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_3,20260924,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/composed/receding_latent_guidance_rollout_20260620_224329_seed20260924/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.024115927125729096,0.024104184255371475,1.1742870357621393e-05,0.3450976969007664,0.34541042612547856,-0.00031272922471214937,0.9832775919732442,0.1063062275532496,0.10624134014781103,6.488740543856669e-05,True,0.00826071871910159,0.005746474235017876,99.55023023130407,99.65459119866443,0.9989527731125571,0.7769382529234806,0.3063792288303375,0.817138135433197,True,True,True,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_4,20260931,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/joystick/receding_latent_guidance_rollout_20260620_224600_seed20260931/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02134917930460046,0.02199279177734585,-0.0006436124727453897,0.34345787006078354,0.3442321826383023,-0.0007743125775187543,0.9899665551839465,0.0935054206753455,0.09343742874503932,6.799193030615714e-05,True,0.006941766496613563,0.005452894256960451,126.72031254169644,126.83503301161193,0.9990955143291919,0.7725873272554532,0.5966265797615051,0.8080618977546692,True,True,False,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_4,20260932,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/waypoint/receding_latent_guidance_rollout_20260620_224832_seed20260932/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02566090313076076,0.024470582057762404,0.001190321072998355,0.34421762235985953,0.34484032892861893,-0.0006227065687594013,0.9832775919732442,0.05809184404270705,0.05808378989032678,8.054152380263926e-06,True,0.004777565418440573,0.005666867967178175,85.42065528305861,85.64755827326762,0.9973507360305001,0.7803149494439064,0.5556623339653015,0.8142542839050293,True,True,True,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_4,20260933,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/obstacle_avoidance/receding_latent_guidance_rollout_20260620_225101_seed20260933/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022895247924661757,0.02279674683317517,9.85010914865865e-05,0.343402559143245,0.34482359357900844,-0.001421034435763413,0.9899665551839465,0.029515388132038724,0.02951447260145559,9.155305831328683e-07,True,0.005399604761727164,0.00536525952826494,106.01487989261288,106.17584674376769,0.9984839598073254,0.7723734168503994,0.4974651038646698,0.8062960505485535,True,True,True,True,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_4,20260934,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/composed/receding_latent_guidance_rollout_20260620_225333_seed20260934/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.024092267423145547,0.02298855314647972,0.0011037142766658278,0.344460141299959,0.3444275128402838,3.262845967522132e-05,0.9866220735785953,0.10405600360005994,0.10399214873545146,6.385486460848397e-05,True,0.007998693964030051,0.005440641884330361,75.79872038647505,75.99681540621583,0.9973933773582232,0.7749192282108958,0.22119837999343872,0.8171746134757996,True,True,True,False,True,local_virtual_official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy_not_paper_level
