metric	value
mesh_defs	105
capsule_defs	56
xform_defs	364
physics_revolute_joints	29
physics_fixed_joints	10
physics_prismatic_joints	0
rigid_body_api	40
articulation_root_api	1
physics_drive_api	29
joint_state_api	29
export_size_bytes	311027678
action_joint_hit_count	29
target_body_hit_count	18
latest_blocker	official_g1_importer_exports_physics_stage_but_vulkan_device_lost_before_payload_or_replay
