component	sample_index	input_shape	output_shape	torch_metric_mse	max_abs_onnx_vs_torch	onnx_size_bytes	onnx_sha256
vae_decoder	1540	[[1, 32], [1, 99]]	[1, 29]	0.08320638537406921	1.1920928955078125e-07	11634669	bb0b37621b7231457d74c030bbcf06747af8e4a4673c00783198280711026c6d
diffusion_denoiser	1540	[[1, 21, 239], [1, 21, 2]]	[1, 21, 239]	0.002763733034953475	2.251937985420227e-06	76924041	66a04543b4a6042bd2a981ebe8f5848c17e481c0972fd1ec74566c3fc09d1d8a
