task	scale_sweep_task	primary_metric	direction	before	after	delta	improved	best_scale	best_cost_delta	gradient_norm	offline_full_split_mean_best_cost_delta	offline_full_split_primary_improved_count	offline_full_split_window_count	offline_full_split_row_count	reverse_full_split_mean_best_cost_delta	reverse_full_split_primary_improved_count	reverse_full_split_window_count	reverse_full_split_row_count	status
joystick	joystick	velocity_command_mse	lower_is_better	0.12435979371656938	0.05254195714655683	0.07181783657001256	True	1e-05	2.0925944100191884e-05	1.4465838631278132	0.002724877045010075	1320	1320	9240	-0.0008358747867698019	621	1320	6600	public_data_reverse_guidance_metrics
waypoint	waypoint	terminal_goal_distance	lower_is_better	0.09053375319717637	0.06804232128257154	0.02249143191460483	True	1e-05	4.105169410864584e-07	0.20261307809142703	0.0017585598383889054	765	1320	9240	0.15158434480880245	1209	1320	6600	public_data_reverse_guidance_metrics
obstacle_avoidance	obstacle_avoidance	min_obstacle_clearance	higher_is_better	-0.1598505830727198	0.03950747084636402	0.19935805391908382	True	1e-05	1.2331344537504947	351.24751373773285	260.9501604484789	1320	1320	9240	77.59966291947798	1319	1320	6600	public_data_reverse_guidance_metrics
inpainting	inpainting	keyframe_error	lower_is_better	0.04599400237472454	0.013521512305151584	0.03247249006957296	True	1e-05	1.6731278190164345e-10	0.004090388610656431	1.7876686108524374e-08	1320	1320	9240	0.00020350172636262077	1301	1320	6600	public_data_reverse_guidance_metrics
composed	composed_objectives	min_obstacle_clearance	higher_is_better	-0.1598505830727198	-0.06329020028220764	0.09656038279051216	True	1e-05	1.2331578715416072	351.2508472856662	260.9557521935665	1320	1320	9240	77.77570736046994	1319	1320	6600	public_data_reverse_guidance_metrics
