step,reward,action_abs_mean,target_body_error_mean
0,0.010090548545122147,0.08182364702224731,0.003974216524511576
1,0.04357852414250374,0.06813451647758484,0.003920018672943115
2,0.04089325666427612,0.1590612232685089,0.00017173800733871758
3,0.040016014128923416,0.2388513833284378,0.007719141896814108
4,0.04007551819086075,0.2946082055568695,0.019061816856265068
5,0.03976285085082054,0.3614448606967926,0.034853141754865646
6,0.03458385542035103,0.4375763237476349,0.054632749408483505
7,0.03233470767736435,0.5012758374214172,0.07812152802944183
8,0.029955510050058365,0.571148157119751,0.10526369512081146
9,0.02784685045480728,0.6228873133659363,0.13633675873279572
10,0.023629430681467056,0.6632644534111023,0.1716482937335968
11,0.01961115375161171,0.6828456521034241,0.2109168916940689
12,0.014827046543359756,0.7488370537757874,0.005994933191686869
13,0.03224920853972435,0.12490196526050568,0.007488769944757223
14,0.01532016322016716,0.2718922793865204,0.013788359239697456
15,0.024684417992830276,0.3671607971191406,0.024911705404520035
16,0.02109486237168312,0.4781494438648224,0.038968686014413834
17,0.020305391401052475,0.5402517318725586,0.05625345930457115
18,0.012460771948099136,0.5814106464385986,0.07739179581403732
19,0.008917875587940216,0.6379173398017883,0.10139350593090057
20,0.005708545446395874,0.7029355764389038,0.12930014729499817
21,0.005162155255675316,0.7274444103240967,0.16086126863956451
22,-0.009285857900977135,0.7622928023338318,0.19633908569812775
23,-0.008347798138856888,0.8200156688690186,0.23574677109718323
24,-0.01577043905854225,0.8349273204803467,0.005636530462652445
25,0.04933444783091545,0.09967726469039917,0.00018418261606711894
26,0.04780438914895058,0.18682290613651276,0.010444879531860352
27,0.0454644151031971,0.27587994933128357,0.024326877668499947
28,0.04030320793390274,0.3084721267223358,0.04236205294728279
29,0.0378657765686512,0.3607856333255768,0.0642009824514389
30,0.03520490229129791,0.4078686237335205,0.09030849486589432
31,0.03204601630568504,0.4538187086582184,0.11986536532640457
32,0.027936793863773346,0.4940066933631897,0.15374301373958588
33,0.02360616624355316,0.5770567655563354,0.19155976176261902
34,0.02018258348107338,0.6332007050514221,0.23292768001556396
35,0.015532206743955612,0.6879006028175354,0.003712151665240526
36,0.04564428701996803,0.10060261189937592,0.0020213511306792498
37,0.03882123902440071,0.23701275885105133,0.0031721380073577166
38,0.02416645735502243,0.31332865357398987,0.011523510329425335
39,0.022212889045476913,0.41710782051086426,0.024745622649788857
40,0.018702629953622818,0.5104712843894958,0.04224188253283501
41,0.012977797538042068,0.5735242962837219,0.0642707496881485
42,0.025471769273281097,0.6154118180274963,0.09050571918487549
43,0.011801507323980331,0.6653429269790649,0.12105704098939896
44,-0.015454621985554695,0.7075621485710144,0.15590240061283112
45,-0.018658090382814407,0.7269052863121033,0.1933097094297409
46,-0.018955295905470848,0.7432031035423279,0.23328068852424622
47,-0.027462145313620567,0.7914020419120789,0.0021073308307677507
48,0.013177502900362015,0.19412490725517273,0.005218714475631714
49,-0.0063726939260959625,0.4101724326610565,0.01274466048926115
50,-0.003411218523979187,0.5081833004951477,0.01859159581363201
51,-0.007422603666782379,0.6038004159927368,0.029289696365594864
52,-0.01204194501042366,0.6834219694137573,0.04521024227142334
53,-0.012737123295664787,0.7488182187080383,0.06725437939167023
54,-0.023028014227747917,0.8254549503326416,0.09482196718454361
55,-0.03364236652851105,0.845851480960846,0.13153542578220367
56,-0.04307829588651657,0.857443630695343,0.17285099625587463
57,-0.03748006373643875,0.8961055874824524,0.2231626659631729
58,-0.05212125554680824,0.9340559840202332,0.0052482313476502895
59,0.03523075953125954,0.0998946949839592,0.012559844180941582
60,0.03794659674167633,0.209468275308609,0.020626941695809364
61,0.03707275539636612,0.3011370599269867,0.03318006545305252
62,0.03211474418640137,0.3874645233154297,0.050369810312986374
63,0.026638291776180267,0.4568893611431122,0.07071367651224136
64,0.024577002972364426,0.5044059753417969,0.09518767893314362
65,0.020807497203350067,0.566033124923706,0.12351078540086746
66,0.015726331621408463,0.6325448155403137,0.15620987117290497
67,0.010973677039146423,0.7005621790885925,0.1922857016324997
68,0.006777746602892876,0.7350621223449707,0.23248550295829773
69,0.001525186002254486,0.7750216722488403,0.002484466414898634
70,0.034868113696575165,0.05927269160747528,0.006294016260653734
71,0.032702285796403885,0.17154279351234436,0.013180873356759548
72,0.02903609722852707,0.24911154806613922,0.024149689823389053
73,0.028898421674966812,0.3566569983959198,0.03917742520570755
74,0.024171430617570877,0.4461400806903839,0.05820270627737045
75,0.020624257624149323,0.535542368888855,0.08195388317108154
76,0.01761413738131523,0.6270811557769775,0.10906442254781723
77,0.013808906078338623,0.7030590772628784,0.1401136964559555
78,0.010570598766207695,0.7658377289772034,0.17551350593566895
79,0.0056196823716163635,0.8557175397872925,0.21445463597774506
80,0.0025255419313907623,0.9116982817649841,0.0034219196531921625
81,0.020883556455373764,0.24910837411880493,0.012853388674557209
82,0.014299590140581131,0.4896261692047119,0.02607262134552002
83,0.015930596739053726,0.626422643661499,0.04024803638458252
84,0.009712256491184235,0.7675107717514038,0.09094823896884918
85,-0.013015273958444595,0.7486968040466309,0.10680253058671951
86,-0.010089326649904251,0.8229714632034302,0.12677904963493347
87,-0.009177681989967823,0.8831049203872681,0.15057282149791718
