variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,guided_base_mse,guided_teacher_mse
teacher,0,0.006630215793848038,1,0.09947893768548965,0.0010907395044341683,0.0013516077306121588,0.00016557196795474738,0.0005710542900487781
teacher,1,0.04081255942583084,0,0.10690973699092865,0.004842259921133518,0.001011910499073565,0.0001239590346813202,0.0004275322426110506
teacher,2,0.030955273658037186,0,0.3151625990867615,0.014780746772885323,0.0056500243954360485,0.0006921277963556349,0.0023871357552707195
teacher,3,0.028616059571504593,0,0.45487457513809204,0.028808483853936195,0.007678382098674774,0.0009406018652953207,0.0032441166695207357
teacher,4,0.025964658707380295,0,0.6595986485481262,0.04648984596133232,0.016711607575416565,0.0020471715833991766,0.007060653995722532
teacher,5,0.025222066789865494,0,0.8274610042572021,0.06766978651285172,0.016882862895727158,0.002068151021376252,0.007133008912205696
teacher,6,0.02147277072072029,0,0.8871148228645325,0.09294349700212479,0.012422485277056694,0.0015217551263049245,0.0052484991028904915
teacher,7,0.019010882824659348,0,0.9897328615188599,0.12213313579559326,0.01343847718089819,0.001646213117055595,0.0056777577847242355
teacher,8,0.008668480440974236,0,1.0412170886993408,0.15531492233276367,0.009408695623278618,0.0011525660520419478,0.003975173458456993
teacher,9,0.012653011828660965,0,1.0857511758804321,0.19200365245342255,0.012323965318500996,0.0015096861170604825,0.005206874571740627
teacher,10,0.008711384609341621,0,1.1464306116104126,0.23296712338924408,0.005838389508426189,0.0007152025355026126,0.0024667198304086924
teacher,11,0.0038361139595508575,1,1.188629150390625,0.0072015440091490746,0.00603092135861516,0.0007387876394204795,0.0025480645708739758
teacher,12,0.03713821619749069,0,0.13035985827445984,0.0021357196383178234,0.0022769898641854525,0.0002789311984088272,0.0009620283381082118
teacher,13,0.0319892093539238,0,0.22810137271881104,0.006762687582522631,0.0075795468874275684,0.0009284945554099977,0.003202358726412058
teacher,14,0.0291934572160244,0,0.3171120584011078,0.019758356735110283,0.002306294161826372,0.00028252083575353026,0.0009744096896611154
teacher,15,0.02544524148106575,0,0.39859798550605774,0.03650890663266182,0.0019316872349008918,0.0002366316330153495,0.0008161379955708981
teacher,16,0.02233630046248436,0,0.4317808449268341,0.05725060775876045,0.0037545578088611364,0.0004599331587087363,0.0015863007865846157
teacher,17,0.020246107131242752,0,0.4895995557308197,0.08259930461645126,0.0055724321864545345,0.000682622950989753,0.0023543527349829674
teacher,18,0.016202952712774277,0,0.5598582625389099,0.11413602530956268,0.0032087713479995728,0.0003930745297111571,0.001355706132017076
teacher,19,0.011841602623462677,0,0.6415407061576843,0.1507551372051239,0.00489998422563076,0.0006002479349263012,0.0020702434703707695
teacher,20,0.0073056574910879135,0,0.7339459657669067,0.18795904517173767,0.0029861312359571457,0.0003658008936326951,0.0012616406893357635
teacher,21,0.0027320124208927155,0,0.8052226305007935,0.22941602766513824,0.004226492717862129,0.0005177449202165008,0.0017856939230114222
teacher,22,-0.0012922808527946472,1,0.8918973207473755,0.0070988875813782215,0.004844328388571739,0.0005934302462264895,0.0020467285066843033
teacher,23,0.04869568720459938,0,0.07918408513069153,0.0019899308681488037,0.0002616394485812634,3.205082975910045e-05,0.00011054268543375656
teacher,24,0.04472966864705086,0,0.1920623779296875,0.00637392932549119,0.002255904022604227,0.0002763482625596225,0.000953119364567101
teacher,25,0.03839090093970299,0,0.24380312860012054,0.019074389711022377,0.000978740630671382,0.00011989573249593377,0.00041351793333888054
teacher,26,0.03498365357518196,0,0.2676396071910858,0.035266049206256866,0.0016516218893229961,0.00020232368842698634,0.0006978100864216685
teacher,27,0.03202731907367706,0,0.3088664412498474,0.0564194954931736,0.0008100233972072601,9.922785829985514e-05,0.0003422349109314382
teacher,28,0.02843138948082924,0,0.37272563576698303,0.08106376230716705,0.002434591529890895,0.00029823736986145377,0.0010286150500178337
teacher,29,0.025343507528305054,0,0.404228538274765,0.10957945138216019,0.0025450109969824553,0.00031176366610452533,0.0010752674425020814
teacher,30,0.02206115797162056,0,0.44884395599365234,0.14208804070949554,0.0013104317476972938,0.0001605277502676472,0.0005536577082239091
teacher,31,0.01791469380259514,0,0.4833057224750519,0.1785942167043686,0.0028920776676386595,0.00035427926923148334,0.001221903134137392
teacher,32,0.013723399490118027,0,0.5521077513694763,0.21903575956821442,0.0011665655765682459,0.00014290434774011374,0.0004928737762384117
teacher,33,0.010334696620702744,1,0.6141262650489807,0.008211041800677776,0.0030614309944212437,0.0003750252944882959,0.0012934546684846282
teacher,34,0.04185044392943382,0,0.11193457990884781,0.009352807886898518,0.0015858170809224248,0.00019426258222665638,0.000670007721055299
