variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.01201343908905983,1,0.11464659869670868,0.005096388515084982,0.0012906829360872507,0.003603539662435651,0.003603497287258506,0.0017969690961763263,0.35500138998031616,0.3549318313598633
teacher,1,0.05142141506075859,0,0.0868481770157814,0.010113353841006756,0.00035691660013981164,0.004602321423590183,0.004602276720106602,0.0035772882401943207,0.4321005344390869,0.4320395290851593
teacher,2,0.044836271554231644,0,0.14985176920890808,0.01916186325252056,0.000836942985188216,0.010419451631605625,0.010419243946671486,0.007530445232987404,0.7533976435661316,0.7533226013183594
teacher,3,0.041515547782182693,0,0.1966392546892166,0.03192821517586708,0.0012038889108225703,0.002840882632881403,0.002840839559212327,0.001934185391291976,0.76751309633255,0.7674322724342346
teacher,4,0.03665724769234657,0,0.2764846086502075,0.049321532249450684,0.002200514078140259,0.006146477069705725,0.006146364379674196,0.005097327753901482,1.436139702796936,1.436042070388794
teacher,5,0.033568840473890305,0,0.3431612253189087,0.06991852074861526,0.0008303074864670634,0.008061882108449936,0.008061775006353855,0.00653473287820816,1.0537279844284058,1.0536532402038574
teacher,6,0.02989376336336136,0,0.40875887870788574,0.09497667849063873,0.0011676803696900606,0.01074276678264141,0.010742646642029285,0.008801632560789585,0.7568486332893372,0.756769061088562
teacher,7,0.02609393000602722,0,0.4768912196159363,0.1240433007478714,0.0010877508902922273,0.00653892382979393,0.006538813933730125,0.004394239746034145,1.3911101818084717,1.3910388946533203
teacher,8,0.0217595137655735,0,0.5482692122459412,0.15658150613307953,0.0013723192969337106,0.0060875630006194115,0.0060874661430716515,0.005805583670735359,1.1785447597503662,1.1784595251083374
teacher,9,0.018141616135835648,0,0.6364579200744629,0.1934310644865036,0.0016645417781546712,0.009113747626543045,0.009113640524446964,0.007461865898221731,1.1885254383087158,1.1884434223175049
teacher,10,0.013349488377571106,0,0.7001983523368835,0.23435424268245697,0.0018979092128574848,0.01125889178365469,0.011258715763688087,0.009184864349663258,1.4101059436798096,1.4100154638290405
teacher,11,0.008983679115772247,1,0.7724429368972778,0.008590476587414742,0.000962875026743859,0.00683527672663331,0.006835253909230232,0.008132467046380043,1.1518633365631104,1.1517949104309082
teacher,12,0.04935372993350029,0,0.08606067299842834,0.003167182207107544,0.00042144174221903086,0.00474300654605031,0.004742909222841263,0.0053244223818182945,0.3219093680381775,0.32185953855514526
teacher,13,0.046915169805288315,0,0.17037104070186615,0.007067463360726833,0.0013824437046423554,0.008655359037220478,0.008655223064124584,0.007706193719059229,0.6825265884399414,0.6824640035629272
teacher,14,0.04172512888908386,0,0.24519270658493042,0.020858582109212875,0.0009963975753635168,0.006457098759710789,0.006456965114921331,0.006400442216545343,0.8905295133590698,0.8904618620872498
teacher,15,0.038281332701444626,0,0.31120947003364563,0.03895077109336853,0.0009799450635910034,0.00803255382925272,0.008032413199543953,0.006770695559680462,0.8649351596832275,0.8648481369018555
