label,seed,segment,start_step,end_step,step_count,done_count,done_rate,error_body_pos_mean,error_joint_pos_mean,error_anchor_pos_mean,reward_mean,action_abs_mean,sampling_top1_bin_mean,sampling_entropy_mean
non_warmup_seed20260721,20260721,step0,0,0,1,2048.0,1.0,43.294166564941406,0.8668185472488403,0.03885740414261818,0.020213397219777107,0.1424887776374817,0.0,1.0000001192092896
non_warmup_seed20260721,20260721,early_1_2,1,2,2,754.0,0.18408203125,0.21864818036556244,1.0518646538257599,0.0416531004011631,0.03284316696226597,0.19751864671707153,0.44583335518836975,0.98738032579422
non_warmup_seed20260721,20260721,early_3_10,3,10,8,1904.0,0.1162109375,0.1910492144525051,1.6011573374271393,0.07412660447880626,0.024639585055410862,0.5634165741503239,0.44583335518836975,0.9813159853219986
non_warmup_seed20260721,20260721,post_reset_11_50,11,50,40,14675.0,0.17913818359375,0.21925402171909808,1.5919146209955215,0.07878630999475718,0.020685426192358136,0.5658959895372391,0.44583335518836975,0.9838758528232574
non_warmup_seed20260721,20260721,mid_51_100,51,100,50,17900.0,0.1748046875,0.21734681785106658,1.577512457370758,0.07885500252246856,0.020650806166231633,0.5646554493904113,0.44583335518836975,0.9836328506469727
non_warmup_seed20260721,20260721,mid_101_200,101,200,100,36053.0,0.1760400390625,0.21717360481619835,1.5777225935459136,0.07828064635396004,0.020408167447894813,0.5612428510189056,0.44583335518836975,0.9833965629339219
non_warmup_seed20260721,20260721,late_201_298,201,298,98,35836.0,0.1785514987244898,0.21802757726031907,1.5744677830715568,0.07812927815378928,0.02056764699138549,0.5595206204725771,0.44583335518836975,0.9826683414225675
warmup_seed20260741,20260741,step0,0,0,1,568.0,0.27734375,0.2640186548233032,0.9918327927589417,0.04030584543943405,0.031985171139240265,0.14210747182369232,0.0,1.0000001192092896
warmup_seed20260741,20260741,early_1_2,1,2,2,378.0,0.09228515625,0.18898171186447144,1.2573225498199463,0.045042214915156364,0.032600345090031624,0.3001658096909523,0.33750002086162567,0.8941510915756226
warmup_seed20260741,20260741,early_3_10,3,10,8,2949.0,0.17999267578125,0.2245657742023468,1.666364148259163,0.07879663864150643,0.02367435651831329,0.5701440274715424,0.4385416880249977,0.9178958460688591
warmup_seed20260741,20260741,post_reset_11_50,11,50,40,19238.0,0.2348388671875,0.24590970799326897,1.5484086871147156,0.0740473223850131,0.020686025265604258,0.5136900693178177,0.823854199051857,0.9420652717351914
warmup_seed20260741,20260741,mid_51_100,51,100,50,23459.0,0.229091796875,0.2434641221165657,1.5446117329597473,0.07487158134579658,0.020992225855588912,0.5176525974273681,0.9625000357627869,0.9411674296855926
warmup_seed20260741,20260741,mid_101_200,101,200,100,47184.0,0.230390625,0.2444303159415722,1.5402516341209411,0.07505132727324963,0.021027315109968185,0.5175343939661979,0.9625000357627869,0.9409158033132553
warmup_seed20260741,20260741,late_201_298,201,298,98,46235.0,0.23036411830357142,0.2446380354920212,1.5397918783888525,0.07475976912038666,0.020889133975213886,0.5148654777784737,0.9625000357627869,0.9405429399743372
warmup_seed_matched_20260721,20260721,step0,0,0,1,596.0,0.291015625,0.26491862535476685,0.9875504970550537,0.039771419018507004,0.03187435865402222,0.14281846582889557,0.0,1.0000001192092896
warmup_seed_matched_20260721,20260721,early_1_2,1,2,2,397.0,0.096923828125,0.19617966562509537,1.2635194063186646,0.04460292309522629,0.03227753005921841,0.3006742373108864,0.44583335518836975,0.8933531045913696
warmup_seed_matched_20260721,20260721,early_3_10,3,10,8,2840.0,0.17333984375,0.2219169270247221,1.6996650248765945,0.07857246976345778,0.022237394005060196,0.5817392244935036,0.44583335518836975,0.9151404052972794
warmup_seed_matched_20260721,20260721,post_reset_11_50,11,50,40,18786.0,0.2293212890625,0.2483383048325777,1.5554529190063477,0.07339277081191539,0.019890178041532636,0.514588401466608,0.44583335518836975,0.9442311614751816
warmup_seed_matched_20260721,20260721,mid_51_100,51,100,50,23000.0,0.224609375,0.2450327455997467,1.5527702736854554,0.07416264191269875,0.019804198443889618,0.5195721793174743,0.44583335518836975,0.944522510766983
warmup_seed_matched_20260721,20260721,mid_101_200,101,200,100,45614.0,0.222724609375,0.2453875608742237,1.543014131784439,0.07417522706091403,0.02020674981176853,0.5182458919286728,0.44583335518836975,0.9453583389520646
warmup_seed_matched_20260721,20260721,late_201_298,201,298,98,44426.0,0.2213508450255102,0.24261174381387476,1.5479627239460847,0.07452444306441716,0.02024656207281716,0.5208877732559126,0.44583335518836975,0.945972139738044
