step,old_done_count,warmup_done_count,done_count_delta,old_error_body_pos,warmup_error_body_pos,error_body_pos_delta,old_error_joint_pos,warmup_error_joint_pos,error_joint_pos_delta,old_reward_mean,warmup_reward_mean,reward_mean_delta,old_sampling_top1_bin,warmup_sampling_top1_bin,sampling_top1_bin_delta
0,2048.0,596.0,-1452.0,43.294166564941406,0.26491862535476685,-43.02924793958664,0.8668185472488403,0.9875504970550537,0.12073194980621338,0.020213397219777107,0.03187435865402222,0.01166096143424511,0.0,0.0,0.0
1,549.0,194.0,-355.0,0.24989666044712067,0.19667725265026093,-0.05321940779685974,0.9668911099433899,1.178302526473999,0.21141141653060913,0.03268544748425484,0.03283271938562393,0.00014727190136909485,0.44583335518836975,0.44583335518836975,0.0
2,205.0,203.0,-2.0,0.1873997002840042,0.1956820785999298,0.008282378315925598,1.1368381977081299,1.34873628616333,0.2118980884552002,0.0330008864402771,0.03172234073281288,-0.0012785457074642181,0.44583335518836975,0.44583335518836975,0.0
3,145.0,251.0,106.0,0.17401470243930817,0.19565656781196594,0.021641865372657776,1.3028390407562256,1.4526264667510986,0.14978742599487305,0.031837232410907745,0.03021424636244774,-0.0016229860484600067,0.44583335518836975,0.44583335518836975,0.0
4,142.0,336.0,194.0,0.17046475410461426,0.2112724483013153,0.04080769419670105,1.4393064975738525,1.5175055265426636,0.07819902896881104,0.030233021825551987,0.026297198608517647,-0.00393582321703434,0.44583335518836975,0.44583335518836975,0.0
5,215.0,401.0,186.0,0.17577457427978516,0.22048673033714294,0.04471215605735779,1.520568609237671,1.5481549501419067,0.02758634090423584,0.026388809084892273,0.022595912218093872,-0.003792896866798401,0.44583335518836975,0.44583335518836975,0.0
6,311.0,408.0,97.0,0.19171713292598724,0.22130437195301056,0.029587239027023315,1.5412476062774658,1.6206254959106445,0.07937788963317871,0.022761086001992226,0.022102871909737587,-0.0006582140922546387,0.44583335518836975,0.44583335518836975,0.0
7,319.0,373.0,54.0,0.20053690671920776,0.2203540802001953,0.01981717348098755,1.5882747173309326,1.717688798904419,0.12941408157348633,0.022372713312506676,0.021229956299066544,-0.0011427570134401321,0.44583335518836975,0.44583335518836975,0.0
8,259.0,329.0,70.0,0.19760188460350037,0.22388145327568054,0.026279568672180176,1.6971304416656494,1.8445055484771729,0.14737510681152344,0.0221866462379694,0.019954318180680275,-0.0022323280572891235,0.44583335518836975,0.44583335518836975,0.0
9,271.0,347.0,76.0,0.20950546860694885,0.23256418108940125,0.023058712482452393,1.81264066696167,1.9393835067749023,0.12674283981323242,0.02108326368033886,0.018422871828079224,-0.002660391852259636,0.44583335518836975,0.44583335518836975,0.0
10,242.0,395.0,153.0,0.2087782919406891,0.24981558322906494,0.041037291288375854,1.9072511196136475,1.9568299055099487,0.04957878589630127,0.02025390788912773,0.01708177663385868,-0.0031721312552690506,0.44583335518836975,0.44583335518836975,0.0
11,332.0,545.0,213.0,0.23071375489234924,0.27352526783943176,0.04281151294708252,1.9090995788574219,1.7997454404830933,-0.10935413837432861,0.018851421773433685,0.01634036749601364,-0.002511054277420044,0.44583335518836975,0.44583335518836975,0.0
12,456.0,643.0,187.0,0.2418506145477295,0.28831973671913147,0.04646912217140198,1.7746591567993164,1.5880582332611084,-0.186600923538208,0.01860024407505989,0.01728450320661068,-0.0013157408684492111,0.44583335518836975,0.44583335518836975,0.0
13,527.0,599.0,72.0,0.25227510929107666,0.2862256169319153,0.03395050764083862,1.5797646045684814,1.5037403106689453,-0.07602429389953613,0.019818171858787537,0.01975928619503975,-5.8885663747787476e-05,0.44583335518836975,0.44583335518836975,0.0
14,443.0,511.0,68.0,0.25132885575294495,0.25979936122894287,0.008470505475997925,1.5228757858276367,1.480027437210083,-0.04284834861755371,0.021869318559765816,0.020737366750836372,-0.0011319518089294434,0.44583335518836975,0.44583335518836975,0.0
15,405.0,481.0,76.0,0.2309897541999817,0.2508193254470825,0.01982957124710083,1.49839448928833,1.4798407554626465,-0.018553733825683594,0.021931996569037437,0.021109048277139664,-0.0008229482918977737,0.44583335518836975,0.44583335518836975,0.0
16,374.0,449.0,75.0,0.21273097395896912,0.24392342567443848,0.03119245171546936,1.5079636573791504,1.4911093711853027,-0.016854286193847656,0.022036977112293243,0.021256782114505768,-0.0007801949977874756,0.44583335518836975,0.44583335518836975,0.0
17,349.0,451.0,102.0,0.21207895874977112,0.2353825569152832,0.023303598165512085,1.5271573066711426,1.5025084018707275,-0.02464890480041504,0.021601766347885132,0.021711135283112526,0.0001093689352273941,0.44583335518836975,0.44583335518836975,0.0
18,347.0,414.0,67.0,0.21054020524024963,0.23731058835983276,0.02677038311958313,1.5288727283477783,1.5232065916061401,-0.005666136741638184,0.021417206153273582,0.02115950547158718,-0.00025770068168640137,0.44583335518836975,0.44583335518836975,0.0
19,336.0,444.0,108.0,0.20923969149589539,0.2463199645280838,0.037080273032188416,1.5384361743927002,1.5341482162475586,-0.0042879581451416016,0.021595969796180725,0.02057700976729393,-0.001018960028886795,0.44583335518836975,0.44583335518836975,0.0
20,348.0,443.0,95.0,0.2098134458065033,0.24106313288211823,0.03124968707561493,1.5700793266296387,1.5491777658462524,-0.02090156078338623,0.021447256207466125,0.020818611606955528,-0.0006286446005105972,0.44583335518836975,0.44583335518836975,0.0
21,337.0,443.0,106.0,0.22465786337852478,0.2428799718618393,0.018222108483314514,1.5898308753967285,1.56473970413208,-0.025091171264648438,0.02153322845697403,0.020905962213873863,-0.0006272662431001663,0.44583335518836975,0.44583335518836975,0.0
22,332.0,452.0,120.0,0.2151951640844345,0.24668411910533905,0.03148895502090454,1.62706458568573,1.5797154903411865,-0.04734909534454346,0.020847655832767487,0.02078263834118843,-6.501749157905579e-05,0.44583335518836975,0.44583335518836975,0.0
23,343.0,475.0,132.0,0.21100139617919922,0.24533997476100922,0.03433857858181,1.6353204250335693,1.5705021619796753,-0.06481826305389404,0.020383495837450027,0.02044336497783661,5.986914038658142e-05,0.44583335518836975,0.44583335518836975,0.0
24,355.0,479.0,124.0,0.21561245620250702,0.24680933356285095,0.031196877360343933,1.645353078842163,1.5573689937591553,-0.08798408508300781,0.020677126944065094,0.020610693842172623,-6.643310189247131e-05,0.44583335518836975,0.44583335518836975,0.0
25,365.0,479.0,114.0,0.21462984383106232,0.25253117084503174,0.03790132701396942,1.627760648727417,1.5466645956039429,-0.08109605312347412,0.02058570832014084,0.020844725891947746,0.00025901757180690765,0.44583335518836975,0.44583335518836975,0.0
26,387.0,450.0,63.0,0.22113755345344543,0.2463611513376236,0.02522359788417816,1.5836049318313599,1.5724847316741943,-0.011120200157165527,0.02077982947230339,0.02089214324951172,0.00011231377720832825,0.44583335518836975,0.44583335518836975,0.0
27,372.0,460.0,88.0,0.22744043171405792,0.23204666376113892,0.004606232047080994,1.5781915187835693,1.562352180480957,-0.015839338302612305,0.021245844662189484,0.020194020122289658,-0.001051824539899826,0.44583335518836975,0.44583335518836975,0.0
28,368.0,466.0,98.0,0.21918568015098572,0.253856360912323,0.03467068076133728,1.571845531463623,1.5454356670379639,-0.02640986442565918,0.020751385018229485,0.02012099325656891,-0.0006303917616605759,0.44583335518836975,0.44583335518836975,0.0
29,347.0,457.0,110.0,0.21345475316047668,0.2480715811252594,0.034616827964782715,1.5780279636383057,1.5628383159637451,-0.015189647674560547,0.020309103652834892,0.020180853083729744,-0.00012825056910514832,0.44583335518836975,0.44583335518836975,0.0
30,338.0,437.0,99.0,0.2138786017894745,0.24449791014194489,0.030619308352470398,1.5755666494369507,1.5712008476257324,-0.004365801811218262,0.020268242806196213,0.019692040979862213,-0.0005762018263339996,0.44583335518836975,0.44583335518836975,0.0
31,365.0,458.0,93.0,0.21771763265132904,0.24199330806732178,0.024275675415992737,1.5764176845550537,1.5712852478027344,-0.005132436752319336,0.019768647849559784,0.019333716481924057,-0.00043493136763572693,0.44583335518836975,0.44583335518836975,0.0
32,348.0,448.0,100.0,0.21269258856773376,0.2404252290725708,0.027732640504837036,1.5799415111541748,1.5619220733642578,-0.018019437789916992,0.01964910700917244,0.019628698006272316,-2.0409002900123596e-05,0.44583335518836975,0.44583335518836975,0.0
33,366.0,473.0,107.0,0.22356753051280975,0.25332385301589966,0.029756322503089905,1.5875589847564697,1.5496025085449219,-0.03795647621154785,0.019940514117479324,0.01909293606877327,-0.0008475780487060547,0.44583335518836975,0.44583335518836975,0.0
34,400.0,446.0,46.0,0.2242514044046402,0.24065279960632324,0.016401395201683044,1.57315194606781,1.5490628480911255,-0.02408909797668457,0.019620196893811226,0.019978364929556847,0.00035816803574562073,0.44583335518836975,0.44583335518836975,0.0
35,378.0,454.0,76.0,0.21735413372516632,0.24897898733615875,0.03162485361099243,1.5753346681594849,1.555433988571167,-0.01990067958831787,0.020654339343309402,0.019472721964120865,-0.0011816173791885376,0.44583335518836975,0.44583335518836975,0.0
