body_name,body_index,official_loop_bundle_z_mean_m,urdf_fk_candidate_z_mean_m,z_mean_delta_fk_minus_bundle_m
pelvis,0,0.7737202889357622,0.7870843123745819,0.013364023438819705
left_ankle_roll_link,7,0.7737202890316978,0.054083834997340555,-0.7196364540343572
right_ankle_roll_link,13,0.7737202915982857,0.05807142947630243,-0.7156488621219833
torso_link,16,0.773720278122453,0.8311812177391754,0.057460939616722384
left_wrist_yaw_link,28,0.7737202209037383,0.912831019109802,0.13911079820606376
right_wrist_yaw_link,36,0.7737202218979796,0.8955039543028845,0.12178373240490492
