source,body_index,body_name,z_mean_m,z_min_m,z_p05_m,z_p50_m,z_p95_m,z_max_m
official_loop_bundle,0,pelvis,0.7737202889357622,0.19064557552337646,0.7114421278238297,0.7851643860340118,0.7989689826965332,0.8225724101066589
official_loop_bundle,1,pelvis_contour_link,0.7737202894378665,0.19064557552337646,0.7114421278238297,0.7851643860340118,0.7989690393209458,0.8225724101066589
official_loop_bundle,2,left_hip_pitch_link,0.7737202892709137,0.19064559042453766,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,3,left_hip_roll_link,0.7737202916182204,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989690423011779,0.8225724101066589
official_loop_bundle,4,left_hip_yaw_link,0.7737202890316978,0.19064557552337646,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,5,left_knee_link,0.7737203035927237,0.19064563512802124,0.7114421844482421,0.7851644456386566,0.7989690452814102,0.8225723505020142
official_loop_bundle,6,left_ankle_pitch_link,0.7737202890316978,0.19064557552337646,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,7,left_ankle_roll_link,0.7737202890316978,0.19064557552337646,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,8,right_hip_pitch_link,0.7737203063561665,0.19064556062221527,0.7114421308040619,0.7851644158363342,0.7989690393209458,0.8225724697113037
official_loop_bundle,9,right_hip_roll_link,0.7737203070277155,0.19064557552337646,0.7114421308040619,0.7851643562316895,0.7989690959453583,0.8225723505020142
official_loop_bundle,10,right_hip_yaw_link,0.7737202915982857,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989690423011779,0.8225724101066589
official_loop_bundle,11,right_knee_link,0.7737202810827506,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989689826965332,0.8225723505020142
official_loop_bundle,12,right_ankle_pitch_link,0.7737202816857741,0.19064559042453766,0.7114420682191849,0.7851643562316895,0.7989690393209458,0.8225724101066589
official_loop_bundle,13,right_ankle_roll_link,0.7737202915982857,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989690423011779,0.8225724101066589
official_loop_bundle,14,waist_yaw_link,0.7737203055824524,0.19064556062221527,0.7114421844482421,0.7851644158363342,0.7989690393209458,0.8225724697113037
official_loop_bundle,15,waist_roll_link,0.7737203063461991,0.19064557552337646,0.7114421308040619,0.7851643562316895,0.7989690929651261,0.8225723505020142
official_loop_bundle,16,torso_link,0.773720278122453,0.19064560532569885,0.7114420711994172,0.7851643562316895,0.7989689826965332,0.8225723505020142
official_loop_bundle,17,logo_link,0.7737202780377307,0.19064559042453766,0.7114420682191849,0.7851643562316895,0.7989690393209458,0.8225724101066589
official_loop_bundle,18,head_link,0.7737203010037093,0.19064557552337646,0.7114421278238297,0.7851644158363342,0.7989690363407135,0.8225724697113037
official_loop_bundle,19,imu_in_torso,0.7737203013039752,0.19064556062221527,0.7114421308040619,0.7851643264293671,0.7989690393209458,0.8225723505020142
