split	motion_names	window_count	token_count	direct_clean_full_action_mse	direct_noisy_full_action_mse	direct_predicted_full_action_mse	latent_predicted_full_action_mse	direct_clean_current_action_mse	direct_noisy_current_action_mse	direct_predicted_current_action_mse	latent_predicted_current_action_mse	latent_vs_direct_current_mse_ratio	latent_vs_direct_full_mse_ratio
train	walk1_subject1_frames_1_180_state_fixture	28	588	1.3615057899520581e-07	0.14269427432157528	0.01191825061879407	0.011460197791805758	1.2049792659644608e-07	0.1803770475528442	0.010686660284344484	0.010768048895771586	1.0076159070524897	0.9615671089961809
validation	run2_subject1_frames_1_180_state_fixture	28	588	0.0013641705937679884	0.15158865076169634	0.01216884223017339	0.011267543684383333	0.0008729032662794431	0.13428024996976193	0.009613393533001568	0.009111321118349816	0.9477736542326911	0.9259339114813049
test	jumps1_subject1_frames_1_180_state_fixture	28	588	0.0026454177374994675	0.14549878735787164	0.005894741902511572	0.0038238760195316544	0.003229409461563881	0.1456404050619673	0.006074739836526304	0.003937120162097986	0.6481133790166287	0.6486926964355159
