subset	window_count	baseline_loss	overfit_loss	loss_reduction_ratio
all_small_dataset_windows	84	0.06878844770150597	1.1634015638380633e-18	1.0
motion:walk1_subject1_frames_1_180_state_fixture	28	0.06800002268243284	1.155491819031813e-18	1.0
motion:run2_subject1_frames_1_180_state_fixture	28	0.06866095784238539	1.1685013402610443e-18	1.0
motion:jumps1_subject1_frames_1_180_state_fixture	28	0.06970436257969968	1.166211532221333e-18	1.0
