seed	baseline_loss	final_overfit_loss	loss_reduction_ratio	motion_count	window_count	sample_count	feature_dim
20260904	0.06878844770150597	1.1634015638380633e-18	1.0	3	84	1764	2021
20260905	0.06796966533282742	1.1884606938535748e-18	1.0	3	84	1764	2021
20260906	0.06833828179186782	1.195713782610965e-18	1.0	3	84	1764	2021
