phase_or_time,Fx_mean,Fx_min,Fx_max,Fy_mean,Fy_min,Fy_max,Fz_mean,Fz_min,Fz_max
0.0,-0.007659482696217767,-0.009474095090179286,-0.004418167011922541,-0.0003337791653301228,-0.011562192674918013,0.00568300740770986,0.006761813898581462,0.0028762260164074136,0.011988362355165882
1.0,-0.00911121766764607,-0.011098626826422786,-0.007480191630696627,0.0010629782983613805,-0.008003724015073545,0.006855890906890557,0.013963568293890076,0.0049226251433308384,0.021122568290751306
2.0,-0.010103144630325816,-0.012936980732113306,-0.007909599260313968,0.004415340198202451,-0.002201400907208295,0.009692589651866883,0.022160291599544007,0.007706690195583804,0.03186877792281863
3.0,-0.01044731842459892,-0.0147100482187238,-0.006695820974790161,0.009310649011502989,0.004784215997348243,0.013911035880947687,0.029157369591526688,0.009848473776068263,0.041073261078176763
4.0,-0.010131721801381008,-0.016069463883296876,-0.005432385996060034,0.014703946415118851,0.011134129742002003,0.01878972369115563,0.03281041700876552,0.009966191332769818,0.045836635556392724
5.0,-0.009404097709820078,-0.016553855603293515,-0.004626070644428123,0.019145692069086617,0.015160879700413405,0.02297146780828596,0.032419046493796476,0.008120022528683046,0.04483449726064209
6.0,-0.008740774281051817,-0.015698530650409406,-0.004926941509150302,0.021116128670000022,0.01600640898427271,0.024601267640894778,0.029978372410395308,0.006980552360811233,0.04272720295103048
7.0,-0.008606057341696236,-0.01302016159505392,-0.006027703162929054,0.019415232425024354,0.013910511672271688,0.0225249035859427,0.030679462769327787,0.012078068790164924,0.04146914541946846
8.0,-0.009010373027468585,-0.009768739440549852,-0.008052919960303813,0.013701264534593421,0.010294922904905357,0.017291304925211273,0.042312646854187265,0.030674723710179395,0.04995327264050836
9.0,-0.009075090117927209,-0.01500023655783159,2.9266330292874577e-05,0.004839627174999428,0.0001784453112568984,0.00737010409297177,0.0735202961188481,0.06459073276761158,0.08585002894176064
10.0,-0.007054648888433248,-0.02201190146594379,0.012226089069898409,-0.004807174601804277,-0.0155923305207903,0.0076003343988772735,0.13097030056558437,0.10373938354916155,0.15441306412170722
11.0,-0.0008844828694779282,-0.02789439317659319,0.029358111167121455,-0.011985109204949959,-0.029477474761114487,0.013018135803359296,0.21822775786833967,0.16951938232968278,0.2584628623535544
12.0,0.010825393008816263,-0.02991118480698519,0.051145389516360586,-0.013138284477978192,-0.03626564215170257,0.024515170477274938,0.3322905805881102,0.2630639747939553,0.39239936259389124
13.0,0.027866886791518174,-0.025995472178895286,0.07571707003238101,-0.0059275479043011696,-0.03211734699248947,0.04160506016288967,0.4638927945858113,0.3806617889046093,0.5417580905305518
14.0,0.04828641095104636,-0.015677986489571867,0.10002495105252839,0.009820290817920551,-0.016833257524406106,0.06256747836857651,0.5992878094920319,0.5128362166434186,0.6877040802934598
15.0,0.06842169922521447,-0.0005894345373455219,0.12008002401977376,0.03191070293975878,0.0021530562678714863,0.0852193434100168,0.7221818570218482,0.6465104320088833,0.809915014449556
16.0,0.08410651230838039,0.015668500837555922,0.13229406965165916,0.05641322410429406,0.025882553211026182,0.10728723922256443,0.818716042464534,0.7662880149874105,0.8937576538400913
17.0,0.09243173336237857,0.02972967522595164,0.13496043104824454,0.0796208009245113,0.04935362158500417,0.1281760715608857,0.8833223666187376,0.8491905274808964,0.9358164868302243
18.0,0.09195755190256356,0.037805713694519585,0.1282538076219005,0.09795784497228488,0.06805881657550739,0.14627475238619514,0.9143120029208996,0.8705268436789075,0.9402832424587122
19.0,0.08366479980678632,0.038458944242579084,0.114628454299161,0.10941028096844581,0.0790608724307541,0.16056649637234893,0.9171227115769301,0.8664688131552636,0.9664659857285159
20.0,0.0701455007640318,0.032548449444287274,0.09738572701387606,0.11396730027441275,0.08194317366179575,0.17053710695708368,0.9009463327798096,0.8466422272219222,0.9733841460100628
21.0,0.05470204269854756,0.02234111094401833,0.0800643788122688,0.11296843858626839,0.07849692289574657,0.17579492040285863,0.8754560547952019,0.820999242405389,0.9610960691993982
22.0,0.04032401097286984,0.010679987851035477,0.06532075464615605,0.10854591456980889,0.07170877019493893,0.17642068681010395,0.8489400364329475,0.7974687609401155,0.9391473471012128
23.0,0.028970042667241607,5.024202613037935e-05,0.05423993503531884,0.10283663991203512,0.06460967566094207,0.17307767794222484,0.827182139815506,0.781096960877093,0.916185264562969
24.0,0.021435496853256766,-0.007932953246158003,0.04704843734301633,0.09755055478529794,0.059195107849916835,0.1669561491781354,0.81372188929901,0.7689788376069951,0.8983439387147231
25.0,0.017376373820365196,-0.01264441307700148,0.0426256794685188,0.09379724160456528,0.056499949175110135,0.15968591371438715,0.8097092984690484,0.7645244776083974,0.8884759303691209
26.0,0.01595648348508724,-0.014181862245341879,0.04008441753027282,0.09224530941690683,0.05651911421647052,0.15308080495087856,0.8146823881663954,0.7706237875404843,0.8864269604577161
27.0,0.016221110988711825,-0.013063890214832457,0.03868984293236311,0.09305018884248516,0.058691069599068356,0.14860291723276,0.8266651799729935,0.7849396752533976,0.8899651427851517
28.0,0.017572937348891298,-0.009886079474432891,0.038406775868634446,0.09601615824736286,0.06221752528722896,0.14717697190375215,0.843103451048465,0.8043470971652512,0.8962872785359136
29.0,0.019778838472450804,-0.005185983505259597,0.03960747901499172,0.10060045747745826,0.06634840332713875,0.14894858352312612,0.8617035288171072,0.825612215591684,0.9033119100892207
30.0,0.022748731945654882,0.0005185434779045073,0.04258270063256872,0.10617566477075673,0.07051679193909102,0.15346342233754962,0.881034199947182,0.8471936943021525,0.910431451050112
31.0,0.02629968143624961,0.00668651557339584,0.04709486900925684,0.1122752093531089,0.07459454081856179,0.15999135644900567,0.9010404597352242,0.8695701642824986,0.9187962961514061
32.0,0.029954818374562733,0.012534580661691911,0.0522496790491934,0.1186208875160741,0.07873853626762164,0.1676261527758776,0.9228723700816275,0.8950722373876308,0.9429159514858056
33.0,0.03306824736820177,0.017295037314935542,0.05674466085985312,0.12495393365064444,0.0828764816513503,0.1756178437409396,0.9475555481332204,0.9258669976243873,0.9683553420031539
34.0,0.03510360594399556,0.020404456428276218,0.059561728310198195,0.13106537517266545,0.08683297282542031,0.18342256958972875,0.9758026554361244,0.9625887327878214,0.9910761762790761
35.0,0.03592377969264803,0.021781121132934695,0.06045258498567924,0.13681313746633497,0.09039869375067378,0.1908014151070909,1.0070593351852872,1.003138561114584,1.0117869354073925
