epoch,train_reconstruction_mse,train_kl_mean,train_total_loss
1,0.00397637696005404,0.028567774500697852,0.003979233714441459
5,0.0003046679679149141,0.2864345113436381,0.00033331141845944026
10,0.00018357289081905037,0.17490867773691812,0.0002010637574130669
15,0.00013650661664238822,0.155696502327919,0.00015207626662837962
20,0.00010965815211723869,0.13892363309860228,0.0001235505148846035
25,9.188531160665055e-05,0.12360792259375254,0.00010424610421371957
30,7.925242146787544e-05,0.10906225740909577,9.015864682927107e-05
35,7.005439838394522e-05,0.09512656976779302,7.956705376273021e-05
40,6.320310106578593e-05,0.08242147117853164,7.1445247643472e-05
