split,sample_count,action_mse,action_abs_error_mean,latent_mu_abs_mean,kl_mean
test,30618,5.362209958548192e-05,0.005292208399623632,0.08544102311134338,0.08206039294600487
train,244940,5.064014258095995e-05,0.005241518995414178,0.08496658156315486,0.08128408143917719
validation,30618,5.287555723043624e-05,0.005275788251310587,0.08504382148385048,0.08148843422532082
