scale	initial_guidance_cost	unguided_final_guidance_cost	guided_final_guidance_cost	improvement_vs_unguided_final	initial_mse	unguided_final_mse	guided_final_mse	guided_clamp_error	final_max_step	mean_gradient_norm	valid
0.0	4.187819789824388	1.0463021188199848	1.0463021188199848	0.0	0.1424472796758512	5.817391101379155e-10	5.817391101379155e-10	0.0	0	0.0	True
0.0005	4.187819789824388	1.0463021188199848	1.0453085418757277	0.0009935769442570574	0.1424472796758512	5.817391101379155e-10	6.940548186477281e-10	0.0	0	1.4587576882284858	True
0.001	4.187819789824388	1.0463021188199848	1.044315477587118	0.001986641232866848	0.1424472796758512	5.817391101379155e-10	1.0308536285729328e-09	0.0	0	1.458582700814027	True
0.002	4.187819789824388	1.0463021188199848	1.0423308869100696	0.003971231909915218	0.1424472796758512	5.817391101379155e-10	2.377871825333812e-09	0.0	0	1.4582329093136999	True
0.005	4.187819789824388	1.0463021188199848	1.0363894168786725	0.00991270194131233	0.1424472796758512	5.817391101379155e-10	1.1805774055194663e-08	0.0	0	1.457184999198149	True
0.01	4.187819789824388	1.0463021188199848	1.0265279654848747	0.019774153335110123	0.1424472796758512	5.817391101379155e-10	4.547165820474685e-08	0.0	0	1.4554433487159077	True
0.02	4.187819789824388	1.0463021188199848	1.006958747664373	0.039343371155611706	0.1424472796758512	5.817391101379155e-10	1.801002874448887e-07	0.0	0	1.4519781855657363	True
