variant,window,row_count,env_step_count,done_count_total,done_rate,reward_mean,action_abs_mean,action_abs_max,error_body_pos,error_body_ang_vel,error_body_lin_vel,error_joint_pos,error_joint_vel,error_anchor_pos,error_anchor_ang_vel,sampling_top1_bin,sampling_top1_prob
baseline,step0,1,2048,2048.0,1.0,0.020213397219777107,0.1424887776374817,1.413352608680725,43.294166564941406,1.5725736618041992,0.5540759563446045,0.8668185472488403,0.0,0.03885740414261818,1.0429258346557617,0.0,0.004166666883975267
baseline,step1,1,2048,549.0,0.26806640625,0.03268544748425484,0.14504745602607727,1.4923955202102661,0.24989666044712067,2.930398464202881,0.5819318890571594,0.9668911099433899,15.369620323181152,0.039921291172504425,1.7990342378616333,0.44583335518836975,0.009039416909217834
baseline,step2,1,2048,205.0,0.10009765625,0.0330008864402771,0.2499898374080658,3.0123026371002197,0.1873997002840042,3.376476764678955,0.6584272384643555,1.1368381977081299,18.087465286254883,0.04338490962982178,1.9497311115264893,0.44583335518836975,0.012021612375974655
baseline,first5,5,10240,3089.0,0.30166015625,0.029593997076153754,0.2688242018222809,2.782363939285278,8.815188476443291,3.03814492225647,0.654358446598053,1.1425386786460876,13.874491691589355,0.04495347887277603,1.8411239385604858,0.3566666841506958,0.010350550431758166
baseline,first20,20,40960,8275.0,0.2020263671875,0.02353697419166565,0.5098303243517875,6.026776492595673,2.365580227971077,3.4020931124687195,0.8247103214263916,1.5083515018224716,15.902049732208251,0.07154351957142353,1.9296443045139313,0.42354168742895126,0.012671832763589918
baseline,post_step0,298,610304,107122.0,0.17552236262583892,0.020735592350063708,0.5594908988115771,7.446626177170133,0.21707132513691116,3.4088612610861757,0.8606882861396611,1.5756218047350046,16.14195649895892,0.07803776998997934,1.9285696336887026,0.44583335518836975,0.01302288361081241
baseline,all,299,612352,109170.0,0.1782798129180602,0.02073384587805606,0.5580962428879179,7.426448004700268,0.36114187777839774,3.402719830988243,0.8596628268426876,1.5732512252785291,16.087970022373774,0.07790673197711191,1.9256076142939438,0.44434227373289026,0.012993264156876499
reset_command_warmup_seed_matched,step0,1,2048,596.0,0.291015625,0.03187435865402222,0.14281846582889557,1.373100996017456,0.26491862535476685,3.2565364837646484,0.6055662631988525,0.9875504970550537,17.904268264770508,0.039771419018507004,2.0666186809539795,0.0,0.004166666883975267
reset_command_warmup_seed_matched,step1,1,2048,194.0,0.0947265625,0.03283271938562393,0.24607400596141815,2.7918858528137207,0.19667725265026093,3.685392379760742,0.6879756450653076,1.178302526473999,20.201560974121094,0.04183081537485123,2.1419625282287598,0.44583335518836975,0.027897508814930916
reset_command_warmup_seed_matched,step2,1,2048,203.0,0.09912109375,0.03172234073281288,0.3552744686603546,3.555295944213867,0.1956820785999298,3.760385274887085,0.739175021648407,1.34873628616333,18.21706199645996,0.04737503081560135,2.3695521354675293,0.44583335518836975,0.027431480586528778
reset_command_warmup_seed_matched,first5,5,10240,1580.0,0.154296875,0.03058817274868488,0.3405051052570343,3.3794417858123778,0.21284139454364776,3.6958789348602297,0.7220446467399597,1.296944260597229,18.185510635375977,0.04832562431693077,2.2171677112579347,0.3566666841506958,0.023661274556070568
reset_command_warmup_seed_matched,first20,20,40960,8370.0,0.204345703125,0.022713178768754005,0.4984586238861084,6.538561427593232,0.23771196082234383,3.573680555820465,0.8320186048746109,1.5507147133350372,16.909861946105956,0.07022129762917757,2.034967488050461,0.42354168742895126,0.024582472187466918
reset_command_warmup_seed_matched,post_step0,298,610304,135063.0,0.2213044646602349,0.020245333289690064,0.5190905982115924,7.490413328145174,0.24385091007355875,3.3823959963433694,0.844444156293101,1.550277683158849,15.785051093005494,0.07410250556648977,1.915682433835612,0.44583335518836975,0.02189498473483844
reset_command_warmup_seed_matched,all,299,612352,135659.0,0.22153761235367894,0.020284226351109238,0.5178321629862322,7.469954089576185,0.24392137065978353,3.3819750615186916,0.8436452335737222,1.5483956524360938,15.792138775854207,0.07398768587903833,1.9161872373376803,0.44434227373289026,0.02183569270189241
reset_target_refresh_no_advance,step0,1,2048,595.0,0.29052734375,0.03188012167811394,0.14278434216976166,1.4016072750091553,0.26462867856025696,3.2580718994140625,0.606705904006958,0.9878477454185486,17.829124450683594,0.03934501111507416,2.069705009460449,0.0,0.004166666883975267
reset_target_refresh_no_advance,step1,1,2048,205.0,0.10009765625,0.03285367786884308,0.24639396369457245,2.775285243988037,0.1996120810508728,3.6654000282287598,0.6880775094032288,1.1758787631988525,19.891056060791016,0.0413389727473259,2.132175922393799,0.44583335518836975,0.027937650680541992
