action_abs_max_delta,action_abs_mean_delta,comparison,done_rate_delta,error_anchor_ang_vel_delta,error_anchor_pos_delta,error_body_ang_vel_delta,error_body_lin_vel_delta,error_body_pos_delta,error_joint_pos_delta,error_joint_vel_delta,reward_mean_delta,sampling_top1_bin_delta,window
-0.04025161266326904,0.0003296881914138794,reset_command_warmup_seed_matched_minus_baseline,-0.708984375,1.0236928462982178,0.0009140148758888245,1.6839628219604492,0.05149030685424805,-43.02924793958664,0.12073194980621338,17.904268264770508,0.01166096143424511,0.0,step0
1.2994903326034546,0.10102654993534088,reset_command_warmup_seed_matched_minus_baseline,-0.17333984375,0.34292829036712646,0.0019095242023468018,0.7549939155578613,0.1060437560081482,-0.05321940779685974,0.21141141653060913,4.831940650939941,0.00014727190136909485,0.0,step1
0.5429933071136475,0.10528463125228882,reset_command_warmup_seed_matched_minus_baseline,-0.0009765625,0.41982102394104004,0.0039901211857795715,0.3839085102081299,0.08074778318405151,0.008282378315925598,0.2118980884552002,0.12959671020507812,-0.0012785457074642181,0.0,step2
0.5970778465270996,0.07168090343475342,reset_command_warmup_seed_matched_minus_baseline,-0.14736328124999998,0.3760437726974488,0.0033721454441547408,0.6577340126037599,0.06768620014190674,-8.602347081899643,0.1544055819511414,4.311018943786621,0.000994175672531128,0.0,first5
0.511784934997559,-0.011371700465679146,reset_command_warmup_seed_matched_minus_baseline,0.0023193359375,0.10532318353652959,-0.0013222219422459602,0.1715874433517457,0.0073082834482193215,-2.1278682671487332,0.04236321151256561,1.0078122138977044,-0.0008237954229116454,0.0,first20
0.04378715097504138,-0.04040030059998467,reset_command_warmup_seed_matched_minus_baseline,0.04578210203439598,-0.012887199853090614,-0.003935264423489571,-0.026465264742806305,-0.016244129846560096,0.026779584936647588,-0.02534412157615562,-0.3569054059534249,-0.0004902590603736434,0.0,post_step0
0.043506084875916784,-0.04026407990168568,reset_command_warmup_seed_matched_minus_baseline,0.04325779943561875,-0.009420376956263521,-0.003919046098073586,-0.020744769469551283,-0.016017593268965347,-0.1172205071186142,-0.024855572842435336,-0.29583124651956716,-0.0004496195269468213,0.0,all
-0.011745333671569824,0.00029556453227996826,reset_target_refresh_no_advance_minus_baseline,-0.70947265625,1.0267791748046875,0.0004876069724559784,1.6854982376098633,0.052629947662353516,-43.02953788638115,0.12102919816970825,17.829124450683594,0.01166672445833683,0.0,step0
1.282889723777771,0.10134650766849518,reset_target_refresh_no_advance_minus_baseline,-0.16796875,0.3331416845321655,0.0014176815748214722,0.7350015640258789,0.10614562034606934,-0.050284579396247864,0.20898765325546265,4.521435737609863,0.00016823038458824158,0.0,step1
0.7839579582214355,0.105457603931427,reset_target_refresh_no_advance_minus_baseline,0.001953125,0.40416741371154785,0.002859346568584442,0.38500118255615234,0.08126038312911987,0.011750742793083191,0.2051851749420166,0.09021568298339844,-0.00120525062084198,0.0,step2
0.6166613101959229,0.07184725403785702,reset_target_refresh_no_advance_minus_baseline,-0.14794921874999997,0.3805591344833372,0.002811177074909209,0.6563890457153319,0.06903771162033079,-8.60253019630909,0.1499691486358643,4.209367942810058,0.0010982800275087384,0.0,first5
0.44069267511367816,-0.008430522680282548,reset_target_refresh_no_advance_minus_baseline,0.004345703124999989,0.07863035798072793,-0.0012543346732854926,0.13889336585998535,0.007944592833519004,-2.128228732943535,0.03724125027656555,0.7507472038269043,-0.0004496376961469657,0.0,first20
-0.004366485464493586,-0.044708794645414995,reset_target_refresh_no_advance_minus_baseline,0.047659854760906034,-0.011916673823491042,-0.004100972486522372,-0.033000410803212255,-0.02170589106194931,0.02468101120235136,-0.024628114180276883,-0.35210850094788704,-0.000600867579697361,0.0,post_step0
-0.004391163886589666,-0.04455827839398463,reset_target_refresh_no_advance_minus_baseline,0.045127639005016734,-0.008442774664199515,-0.0040856260669271255,-0.027252923684774277,-0.021457276216717447,-0.11931303193337939,-0.024140965978437512,-0.2913017017785524,-0.0005598388437842022,0.0,all
