task,seed_group,seed,summary_json,trace_npz,mp4,trace_npz_exists,mp4_exists,rollout_steps,recorded_299_step_completion,guided_done_flag_sum,denoised_done_flag_sum,guided_reward_mean,denoised_reward_mean,reward_delta_vs_denoised,guided_target_body_error_mean,denoised_target_body_error_mean,tracking_error_delta_vs_denoised,guided_body_error_frame_success_rate_under_0p36,guidance_cost_before_mean,guidance_cost_after_mean,guidance_cost_delta_mean,guidance_signal_positive,root_final_xy_error_m,root_mean_xy_error_m,root_path_length_xy_m,reference_path_length_xy_m,root_path_length_ratio,root_height_mean_m,root_height_min_m,root_height_max_m,endpoint_proxy_pass,target_body_mean_proxy_pass,reward_improved_vs_denoised,tracking_error_not_worse_vs_denoised,local_task_protocol_proxy_pass,claim_level
obstacle_avoidance,seed_group_2,20260813,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/receding_latent_guidance_rollout_20260620_144724_seed20260813/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023163235299351524,0.021769113237517932,0.0013941220618335914,0.3436843318285352,0.34490134584465154,-0.0012170140161163467,0.9665551839464883,0.010134932248663145,0.010134620797574321,3.1145108882400104e-07,True,0.006167680486646577,0.005573114596548597,102.29080493265712,102.04830114309738,1.0023763628286149,0.7758108050528179,0.5826566815376282,0.8105111122131348,True,True,True,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_2,20260814,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/receding_latent_guidance_rollout_20260620_145014_seed20260814/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.024590071183271132,0.02457179722491415,1.8273958356983255e-05,0.3444055629813153,0.34322069919228954,0.0011848637890257696,0.9698996655518395,0.08536959162922607,0.08530642707710681,6.316455211926463e-05,True,0.009843079212376697,0.0053720695972977245,73.26189324352686,73.29790439726408,0.9995087014556099,0.7731730074786821,0.30667608976364136,0.8110287189483643,True,True,True,False,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_3,20260821,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/joystick/receding_latent_guidance_rollout_20260620_173750_seed20260821/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02270910043088738,0.022490468024148492,0.00021863240673888895,0.34490221788651965,0.34394261171187845,0.0009596061746411921,0.9933110367892977,0.0738684437533585,0.0737997809655491,6.866278780941979e-05,True,0.0033192490306363717,0.006396728906520627,106.2107665390105,106.43821530637416,0.9978630911209009,0.7565697990731651,0.20644189417362213,0.8089751601219177,True,True,True,False,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_3,20260822,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/waypoint/receding_latent_guidance_rollout_20260620_174026_seed20260822/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.0228933349865361,0.023688498499762754,-0.0007951635132266537,0.3444884227071717,0.3434104130020907,0.00107800970508104,0.9732441471571907,0.03890753460169636,0.03889995736745887,7.577234237489094e-06,True,0.009917054263578175,0.005529561886834219,86.91991230339758,86.98997200894165,0.9991946231970639,0.7754150104761921,0.5583390593528748,0.8128946423530579,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_3,20260823,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/obstacle_avoidance/receding_latent_guidance_rollout_20260620_174303_seed20260823/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02234888298399622,0.023715724389887973,-0.0013668414058917548,0.34300430971244505,0.34415131298993346,-0.001147003277488401,0.9765886287625418,0.010036272971725782,0.01003595674877681,3.1622294897219806e-07,True,0.01089705844849968,0.005758443368798961,117.43871537447302,117.36082171370894,1.000663710935444,0.7710763329646261,0.5239681601524353,0.8113786578178406,True,True,False,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_3,20260824,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/composed/receding_latent_guidance_rollout_20260620_174542_seed20260824/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023803255512974034,0.023964979740351836,-0.0001617242273778026,0.34291734175139843,0.3432454499711958,-0.00032810821979739613,0.9765886287625418,0.086390799303916,0.0863268269867602,6.397231715578697e-05,True,0.005477779828198718,0.00567055157336227,117.08583621603593,117.29526027387665,0.9982145565187227,0.7717071456654016,0.5822767019271851,0.8162700533866882,True,True,False,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
joystick,seed_group_4,20260831,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/joystick/receding_latent_guidance_rollout_20260620_174822_seed20260831/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022843330344777042,0.022648518101427467,0.00019481224334957567,0.34206970469608755,0.34340542953548625,-0.0013357248393986998,0.9765886287625418,0.07001288098759675,0.0699478349769893,6.504601060746106e-05,True,0.003717468594828649,0.006323234093189372,97.90673723790073,97.96067441628105,0.9994493996830696,0.7668615410658827,0.20266200602054596,0.8142731189727783,True,True,True,True,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
waypoint,seed_group_4,20260832,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/waypoint/receding_latent_guidance_rollout_20260620_175115_seed20260832/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.02398994552862385,0.023007825034106755,0.000982120494517097,0.3444615115090756,0.3442552632910751,0.0002062482180005265,0.9832775919732442,0.03871334799531112,0.03870580927858185,7.538716729269379e-06,True,0.00496366103208435,0.005320576253164606,126.80171499468857,126.82677963351566,0.9998023710851958,0.7751243907871055,0.5014965534210205,0.8067798018455505,True,True,True,False,True,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
obstacle_avoidance,seed_group_4,20260833,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/obstacle_avoidance/receding_latent_guidance_rollout_20260620_175349_seed20260833/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.022600642028560606,0.022948908750403885,-0.00034826672184327945,0.34636680577510975,0.34424517665021,0.002121629124899771,0.9665551839464883,0.009881944560685684,0.00988164148838524,3.030723004436812e-07,True,0.006913808738258104,0.005906449939455614,85.66236089127297,86.00224260377333,0.9960479901196734,0.7745048139605634,0.22427067160606384,0.8085689544677734,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
composed,seed_group_4,20260834,res/level_c/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/composed/receding_latent_guidance_rollout_20260620_175623_seed20260834/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,299.0,299.0,0.023787550262197303,0.026370119557320375,-0.0025825692951230717,0.3448053797750569,0.3442655707083418,0.0005398090667150801,0.9765886287625418,0.08505298633340211,0.08499030073649907,6.268559690303228e-05,True,0.007539600855453238,0.0060607449143243826,125.39927154348199,125.54826269813574,0.9988132758554216,0.7735085911974061,0.197146475315094,0.8189345598220825,True,True,False,False,False,local_virtual_official_importer_export_fig5_fig6_task_protocol_proxy_not_paper_level
